Sample_ID	sample_type	tool	evalue
QGNH01000001.1	META_VIRAL	Metacerberus	2.8e-26
QGNH01000002.1	META_VIRAL	Metacerberus	1.4e-77
QGNH01000018.1	META_VIRAL	Metacerberus	1.6e-31
QGNH01000019.1	META_VIRAL	Metacerberus	1.3e-35
QGNH01000021.1	META_VIRAL	Metacerberus	3.6e-20
QGNH01000022.1	META_VIRAL	Metacerberus	1.7e-60
QGNH01000023.1	META_VIRAL	Metacerberus	3.1e-64
QGNH01000024.1	META_VIRAL	Metacerberus	7.8e-19
QGNH01000025.1	META_VIRAL	Metacerberus	3.2e-185
QGNH01000026.1	META_VIRAL	Metacerberus	1.1e-24
QGNH01000027.1	META_VIRAL	Metacerberus	1.8e-47
QGNH01000028.1	META_VIRAL	Metacerberus	4.3e-29
QGNH01000029.1	META_VIRAL	Metacerberus	1.7e-61
QGNH01000030.1	META_VIRAL	Metacerberus	9.3e-24
QGNH01000031.1	META_VIRAL	Metacerberus	3.2e-43
QGNH01000032.1	META_VIRAL	Metacerberus	2.1e-166
QGNH01000033.1	META_VIRAL	Metacerberus	4.1e-142
QGNH01000034.1	META_VIRAL	Metacerberus	3.5e-47
QGNH01000035.1	META_VIRAL	Metacerberus	7.9e-20
QGNH01000036.1	META_VIRAL	Metacerberus	1.4e-59
QGNH01000037.1	META_VIRAL	Metacerberus	8.1e-28
QGNH01000038.1	META_VIRAL	Metacerberus	8.8e-20
QGNH01000039.1	META_VIRAL	Metacerberus	5.8e-74
QGNH01000040.1	META_VIRAL	Metacerberus	5.1e-59
QGNH01000041.1	META_VIRAL	Metacerberus	5.2e-27
QGNH01000042.1	META_VIRAL	Metacerberus	2.8e-54
QGNH01000043.1	META_VIRAL	Metacerberus	1e-23
QGNH01000045.1	META_VIRAL	Metacerberus	1.3e-31
QGNH01000046.1	META_VIRAL	Metacerberus	1.9e-40
QGNH01000077.1	META_VIRAL	Metacerberus	1.2e-78
QGNH01000078.1	META_VIRAL	Metacerberus	3.2e-57
QGNH01000087.1	META_VIRAL	Metacerberus	1.1e-21
QGNH01000088.1	META_VIRAL	Metacerberus	1.4e-38
QGNH01000089.1	META_VIRAL	Metacerberus	6.1e-19
QGNH01000090.1	META_VIRAL	Metacerberus	4.4e-78
QGNH01000091.1	META_VIRAL	Metacerberus	1.4e-19
QGNH01000092.1	META_VIRAL	Metacerberus	2.6e-42
QGNH01000094.1	META_VIRAL	Metacerberus	9.1e-43
QGNH01000096.1	META_VIRAL	Metacerberus	4.5e-43
QGNH01000097.1	META_VIRAL	Metacerberus	1.7e-69
QGNH01000098.1	META_VIRAL	Metacerberus	1.6e-20
QGNH01000099.1	META_VIRAL	Metacerberus	1.1e-21
QGNH01000100.1	META_VIRAL	Metacerberus	4.1e-63
