#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG00001	2431	68	Xh	sp|Q5UR04|YR911_MIMIV Putative ankyrin repeat protein R911
VOG00002	1146	986	Xu	sp|Q5UR40|YR559_MIMIV Uncharacterized HTH-type transcriptional regulator R559
VOG00003	367	72	Xh	sp|Q5UPF8|YL088_MIMIV Putative ankyrin repeat protein L88
VOG00004	871	89	Xh	sp|Q5UPJ9|YL122_MIMIV Putative ankyrin repeat protein L122
VOG00005	693	29	Xu	sp|Q5UQL2|YL414_MIMIV Putative F-box and FNIP repeat-containing protein L414
VOG00006	1526	1133	Xr	sp|O22001|VXIS_BPMD2 Excisionase
VOG00007	940	693	XhXrXs	sp|P17766|POLG_PPVNA Genome polyprotein
VOG00008	204	140	Xu	sp|Q5UPT6|YL245_MIMIV Uncharacterized HNH endonuclease L245
VOG00009	113	46	Xu	REFSEQ 2OG-Fe(II) oxygenase
VOG00010	2002	908	Xu	sp|Q9YML3|BROJ_NPVLD Uncharacterized Bro-N domain-containing protein J
VOG00011	119	102	Xu	sp|P03795|Y28_BPT7 Protein 2.8
VOG00012	99	50	Xu	sp|Q5UPB3|YL037_MIMIV Putative KilA-N domain-containing protein L37
VOG00013	213	17	Xu	REFSEQ hypothetical protein
VOG00014	271	44	Xh	sp|Q5UQA7|YR542_MIMIV Putative F-box/LRR-repeat protein R542
VOG00015	79	54	Xh	sp|Q5UPU3|YL268_MIMIV Putative serine/threonine-protein kinase L268
VOG00016	233	19	Xu	sp|Q5UPH2|YL098_MIMIV Putative BTB/POZ domain-containing protein L98
VOG00017	210	208	XhXp	sp|Q8LTD0|SPAN2_BPP2 Probable spanin, outer lipoprotein subunit
VOG00018	431	144	XhXs	sp|Q5UP57|P4H_MIMIV Putative prolyl 4-hydroxylase
VOG00019	270	262	Xu	sp|Q6QGG9|D5_BPT5 Putative transcription factor D5
VOG00020	58	25	XhXs	sp|Q5UQ13|COLL2_MIMIV Collagen-like protein 2
VOG00021	178	139	Xu	sp|Q91F66|460R_IIV6 Uncharacterized protein 460R
VOG00022	435	310	XrXs	sp|P37988|TGB1_CVB Movement and silencing protein TGBp1
VOG00023	49	32	Xh	sp|Q6QGD3|ENDO1_BPT5 Putative endonuclease
VOG00024	151	29	Xu	REFSEQ putative virion structural protein
VOG00025	827	315	Xh	sp|Q5UQG7|YR818_MIMIV Putative serine/threonine-protein kinase/receptor R818
VOG00026	197	20	XhXs	sp|C0H677|UL298_HCMVA Protein UL29/UL28
VOG00027	229	39	Xu	REFSEQ virion structural protein
VOG00028	349	130	Xh	sp|P41436|IAP_GVCPM Apoptosis inhibitor IAP
VOG00029	371	167	Xs	sp|A7U6E9|MCP_POV01 Major capsid protein
VOG00030	945	431	Xh	sp|Q6QGD3|ENDO1_BPT5 Putative endonuclease
VOG00031	94	78	Xu	REFSEQ hypothetical protein
VOG00032	51	44	Xu	sp|P03796|Y77_BPT7 Protein 7.7
VOG00033	1873	1448	Xh	sp|P00276|GLRX_BPT4 Glutaredoxin
VOG00034	386	308	XhXpXrXs	sp|B9VUU3|POLG_HE71 Genome polyprotein
VOG00035	117	16	Xu	sp|Q5UPP5|YL181_MIMIV Uncharacterized protein L181
VOG00036	192	51	Xu	REFSEQ hypothetical protein
VOG00037	85	73	Xh	sp|Q8R5N7|KPTA_FUSNN Probable RNA 2'-phosphotransferase
VOG00038	57	44	Xu	sp|Q91FA5|420R_IIV6 Putative MSV199 domain-containing protein 420R
VOG00039	162	54	XhXp	sp|O72736|KBTB1_CWPXG Kelch repeat and BTB domain-containing protein 1
VOG00040	122	114	Xu	sp|P14107|Y8K6_BPP22 Uncharacterized 8.6 kDa protein in ral-gp17 intergenic region
VOG00041	62	21	Xu	sp|O55752|148R_IIV6 Putative MSV199 domain-containing protein 148R
VOG00042	226	190	XhXr	sp|Q64962|RDRP_ASPVP RNA replication polyprotein
VOG00043	191	165	Xu	REFSEQ hypothetical protein
VOG00044	103	97	Xu	REFSEQ Lar-like restriction alleviation protein
VOG00045	115	18	Xu	REFSEQ hypothetical protein
VOG00046	131	16	Xh	sp|Q9FN03|UVR8_ARATH Ultraviolet-B receptor UVR8
VOG00047	102	24	Xu	sp|Q5UP92|YL018_MIMIV Putative sel1-like repeat-containing protein L18
VOG00048	51	33	Xh	sp|P13299|TEV1_BPT4 Intron-associated endonuclease 1
VOG00049	37	34	Xu	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246
VOG00050	1300	444	XhXpXrXs	sp|P13333|TUBE_BPT4 Tail tube protein gp19
VOG00051	509	507	XhXs	sp|O64333|TIPK_BPN15 Tail tip assembly protein K
VOG00052	409	80	Xu	REFSEQ 2OG-Fe(II) oxygenase
VOG00053	734	733	Xu	sp|P13004|YLYS_BPPHV Uncharacterized protein near lysin gene (Fragment)
VOG00054	70	47	Xu	REFSEQ hypothetical protein
VOG00055	291	158	Xh	sp|Q9SYM5|RHM1_ARATH Trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1
VOG00056	1343	1255	XhXr	sp|P22877|INTR_SACER Integrase
VOG00057	61	51	Xu	REFSEQ hypothetical protein
VOG00058	58	52	Xh	sp|P07072|TEV2_BPT4 Intron-associated endonuclease 2
VOG00059	66	23	Xu	REFSEQ hypothetical protein
VOG00060	83	33	Xh	sp|Q5UQ27|RABL_MIMIV Probable Rab-related GTPase
VOG00061	686	195	Xu	sp|P13307|Y06B_BPT4 Uncharacterized 7.1 kDa protein in tk-vs intergenic region
VOG00062	106	106	Xs	sp|P15098|TGB3_NMV Movement protein TGBp3
VOG00063	90	12	Xu	REFSEQ hypothetical protein
VOG00064	123	20	Xu	sp|Q5UQ39|YL796_MIMIV Uncharacterized protein L796
VOG00065	95	95	Xu	REFSEQ Rz-like spanin
VOG00066	311	308	Xu	sp|P41039|YBII_ECOLI Uncharacterized protein YbiI
VOG00067	81	21	Xu	REFSEQ internal head protein
VOG00068	73	68	XhXr	sp|P25479|VPP_BPP2 Terminase, ATPase subunit
VOG00069	211	205	XhXs	sp|Q7Y5D9|FIBL2_BPT5 Collar protein p132
