locus_tag	ftype	length_bp	gene	EC_number	COG	product
NIKCMCME_00001	CDS	1452				hypothetical protein
NIKCMCME_00002	CDS	1500				hypothetical protein
NIKCMCME_00003	CDS	2055				hypothetical protein
NIKCMCME_00004	CDS	723				hypothetical protein
NIKCMCME_00005	CDS	402				hypothetical protein
NIKCMCME_00006	CDS	1182				hypothetical protein
NIKCMCME_00007	CDS	381				hypothetical protein
NIKCMCME_00008	CDS	228				hypothetical protein
NIKCMCME_00009	CDS	372				hypothetical protein
NIKCMCME_00010	CDS	357				hypothetical protein
NIKCMCME_00011	CDS	393				hypothetical protein
NIKCMCME_00012	CDS	396				hypothetical protein
NIKCMCME_00013	CDS	123				hypothetical protein
NIKCMCME_00014	CDS	546				hypothetical protein
NIKCMCME_00015	CDS	579				hypothetical protein
NIKCMCME_00016	CDS	4062				hypothetical protein
NIKCMCME_00017	CDS	2583				hypothetical protein
NIKCMCME_00018	CDS	1086				hypothetical protein
NIKCMCME_00019	CDS	846				hypothetical protein
NIKCMCME_00020	CDS	516				hypothetical protein
NIKCMCME_00021	CDS	459				hypothetical protein
NIKCMCME_00022	CDS	330				hypothetical protein
NIKCMCME_00023	CDS	1011				hypothetical protein
NIKCMCME_00024	CDS	702				hypothetical protein
NIKCMCME_00025	CDS	465				hypothetical protein
NIKCMCME_00026	CDS	561				hypothetical protein
NIKCMCME_00027	CDS	363				hypothetical protein
NIKCMCME_00028	CDS	483				hypothetical protein
NIKCMCME_00029	CDS	399				hypothetical protein
NIKCMCME_00030	CDS	360				hypothetical protein
NIKCMCME_00031	CDS	315				hypothetical protein
NIKCMCME_00032	CDS	240				hypothetical protein
NIKCMCME_00033	CDS	531				hypothetical protein
NIKCMCME_00034	CDS	195				hypothetical protein
NIKCMCME_00035	CDS	264				hypothetical protein
NIKCMCME_00036	CDS	1119				hypothetical protein
NIKCMCME_00037	CDS	234				hypothetical protein
NIKCMCME_00038	CDS	585				hypothetical protein
NIKCMCME_00039	CDS	252				hypothetical protein
NIKCMCME_00040	CDS	192				hypothetical protein
NIKCMCME_00041	CDS	1929				hypothetical protein
NIKCMCME_00042	CDS	288				hypothetical protein
NIKCMCME_00043	CDS	534				hypothetical protein
NIKCMCME_00044	CDS	1122				hypothetical protein
NIKCMCME_00045	CDS	189				hypothetical protein
NIKCMCME_00046	CDS	825				hypothetical protein
NIKCMCME_00047	CDS	984				hypothetical protein
NIKCMCME_00048	CDS	2955				hypothetical protein
NIKCMCME_00049	CDS	789				hypothetical protein
NIKCMCME_00050	CDS	312				hypothetical protein
NIKCMCME_00051	CDS	642				hypothetical protein
NIKCMCME_00052	CDS	627				hypothetical protein
NIKCMCME_00053	CDS	927				hypothetical protein
NIKCMCME_00054	CDS	231				hypothetical protein
NIKCMCME_00055	CDS	531				hypothetical protein
NIKCMCME_00056	CDS	2169				hypothetical protein
NIKCMCME_00057	CDS	513				hypothetical protein
NIKCMCME_00058	CDS	231				hypothetical protein
NIKCMCME_00059	CDS	192				hypothetical protein
NIKCMCME_00060	CDS	579				hypothetical protein
NIKCMCME_00061	CDS	1221				hypothetical protein
NIKCMCME_00062	CDS	243				hypothetical protein
NIKCMCME_00063	CDS	300				hypothetical protein
NIKCMCME_00064	CDS	201				hypothetical protein
NIKCMCME_00065	CDS	330				hypothetical protein
NIKCMCME_00066	CDS	339				hypothetical protein
NIKCMCME_00067	CDS	294				hypothetical protein
NIKCMCME_00068	CDS	180				hypothetical protein
NIKCMCME_00069	CDS	282				hypothetical protein
NIKCMCME_00070	CDS	141				hypothetical protein
NIKCMCME_00071	CDS	741				hypothetical protein
NIKCMCME_00072	CDS	306				hypothetical protein
NIKCMCME_00073	CDS	291				hypothetical protein
NIKCMCME_00074	CDS	507				hypothetical protein
NIKCMCME_00075	CDS	948				hypothetical protein
NIKCMCME_00076	CDS	576				hypothetical protein
NIKCMCME_00077	CDS	621				hypothetical protein
NIKCMCME_00078	CDS	237				hypothetical protein
NIKCMCME_00079	CDS	177				hypothetical protein
NIKCMCME_00080	CDS	204				hypothetical protein
NIKCMCME_00081	CDS	303				hypothetical protein
NIKCMCME_00082	CDS	285				hypothetical protein
NIKCMCME_00083	CDS	501				hypothetical protein
NIKCMCME_00084	CDS	804				hypothetical protein
NIKCMCME_00085	CDS	2814				hypothetical protein
NIKCMCME_00086	CDS	171				hypothetical protein
NIKCMCME_00087	CDS	102				hypothetical protein
