locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
NZ_JHYO01000001.1_3_266_-		K07487	COG3666		phrog_34740		COG:COG3666	88	1.5e-31	107.5		; 
NZ_JHYO01000001.1_377_1303_-												Hypothetical
NZ_JHYO01000001.1_1371_2222_-	K02493	K02493	COG2890		phrog_23041		COG:COG2890	283	3.5e-96	320.6		HemK; 
NZ_JHYO01000001.1_2227_3300_-		K02835	COG0216		phrog_19918	VOG01215	COG:COG0216	357	2.7e-169	560.7		PrfA; Translation factors
NZ_JHYO01000001.1_3303_4565_-		K02492	COG0373				COG:COG0373	420	4.7e-127	422.5		HemA; Heme biosynthesis
NZ_JHYO01000001.1_4585_5832_-		K01892	COG0124			VOG02983	COG:COG0124	392	3.3e-146	485.2		HisS; Aminoacyl-tRNA synthetases
NZ_JHYO01000001.1_5829_6944_-		K03526	COG0821				KEGG:K03526	371	8.7e-170	563.3	1.17.7.1 1.17.7.3	gcpE, ispG; (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
NZ_JHYO01000001.1_7072_8322_-		K15539	COG1426				COG:COG1426	416	3.1e-48	150.6		RodZ; 
NZ_JHYO01000001.1_8398_10662_-	K08484	K08484	COG3605			VOG01465	FOAM:K08484	754	3.2e-281	932.3	2.7.3.9	ptsP; phosphotransferase system, enzyme I, PtsP
NZ_JHYO01000001.1_10675_11700_-		K02371	COG2070		phrog_17890, phrog_17890		KEGG:K02371	341	5.8e-131	434.7	1.3.1.9	fabK; enoyl-[acyl-carrier protein] reductase II
NZ_JHYO01000001.1_11708_12934_-	K00928	K00928	COG0527		phrog_11129, phrog_11129		COG:COG0527	408	1e-175	583.9		MetL1; Lysine biosynthesis
NZ_JHYO01000001.1_13160_13927_+	K02030	K02030	COG0834		phrog_10776		COG:COG0834	255	4.5e-28	96.0		HisJ; 
NZ_JHYO01000001.1_14025_14759_+	K00568	K00568	COG2230		phrog_22502	VOG00106	FOAM:K00568	244	1e-100	335.2	2.1.1.222 2.1.1.64	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase
NZ_JHYO01000001.1_14760_15935_-												Hypothetical
NZ_JHYO01000001.1_16068_17975_+	K05366	K05366	COG0744	GT51	phrog_33002, phrog_33002		COG:COG0744	635	2.4e-229	761.3		MrcB; 
NZ_JHYO01000001.1_18019_18669_+		K05520	COG3155		phrog_5908		COG:COG3155	216	6.1e-96	318.0		ElbB; 
NZ_JHYO01000001.1_18747_19682_-	K00930	K00930	COG0548				COG:COG0548	303	9.4e-133	441.5		ArgB; Arginine biosynthesis
NZ_JHYO01000001.1_19679_20332_-		K03978	COG0218				COG:COG0218	217	8.5e-84	279.4		EngB; 
NZ_JHYO01000001.1_20428_22146_-		K03217	COG0706				COG:COG0706	572	1.8e-190	632.9		YidC; 
NZ_JHYO01000001.1_22499_22927_-		K03536	COG0594				COG:COG0594	142	4e-33	112.7		RnpA; 
NZ_JHYO01000001.1_22962_23096_-		K02914	COG0230				COG:COG0230	44	1.9e-24	83.0		RpmH; Ribosome 50S subunit
NZ_JHYO01000001.1_23484_24722_+		K05973	COG4553				KEGG:K05973	412	4.4e-202	671.1	3.1.1.75	phaZ; poly(3-hydroxybutyrate) depolymerase
NZ_JHYO01000001.1_24801_25238_+		K09160	COG2983		phrog_33999		KEGG:K09160	145	9.9e-71	235.5		K09160; uncharacterized protein
NZ_JHYO01000001.1_25252_25821_-												Hypothetical
NZ_JHYO01000001.1_25818_26969_-	K01439	K01439	COG0624		phrog_14842		FOAM:K01439	383	1.1e-113	378.7	3.5.1.18	dapE; succinyl-diaminopimelate desuccinylase
NZ_JHYO01000001.1_27111_27956_-		K19107	COG2171		phrog_5353		COG:COG2171	281	2e-120	400.2		DapD; Lysine biosynthesis
NZ_JHYO01000001.1_28174_28602_+	K03775	K03775	COG1047				COG:COG1047	142	3.6e-42	142.1		SlpA; 
NZ_JHYO01000001.1_29136_29621_+		K19055	COG3760			VOG03131	COG:COG3760	161	3.7e-69	230.4		ProX; 
NZ_JHYO01000001.1_29669_30559_+		K05838	COG0526		phrog_22	VOG00033	KEGG:K05838	296	1.6e-92	308.5		ybbN; putative thioredoxin
NZ_JHYO01000001.1_30559_31221_+		K07157	COG2802		phrog_15585		COG:COG2802	220	3.2e-66	221.2		LON/PUA; 
NZ_JHYO01000001.1_31427_31801_+			COG3536				COG:COG3536	124	1.3e-50	169.9		; 
NZ_JHYO01000001.1_31900_32886_+			COG5345				COG:COG5345	328	1.1e-80	268.8		; 
NZ_JHYO01000001.1_32914_33396_+		K06149	COG0589		phrog_6929		COG:COG0589	160	2e-15	54.5		UspA; 
NZ_JHYO01000001.1_33501_34049_+		K22074	COG0822		phrog_18436	VOG28195	KEGG:K22074	182	6.6e-82	273.2		NFU1, HIRIP5; NFU1 iron-sulfur cluster scaffold homolog, mitochondrial
NZ_JHYO01000001.1_34108_35814_-		K21024	COG2200		phrog_11823		COG:COG2200	568	1.2e-91	305.7		EAL; 
