Target Name	ID	EC value	E-Value (sequence)	Score (domain)
LYTG01000012.1_2169_3107_-	K00004		1.8e-31	98.3
LYTG01000062.1_16741_17856_-	K00005		9.2e-156	515.7
LYTG01000070.1_5700_6845_-	K00009		3.5e-106	353.2
LYTG01000032.1_14484_15725_-	K00012		1.6e-128	427.2
LYTG01000001.1_29155_30372_+	K00013		5e-166	551.6
LYTG01000091.1_16883_17668_+	K00014		1.4e-90	300.9
LYTG01000062.1_5398_6366_+	K00015		2.2e-124	413.3
LYTG01000015.1_6689_7645_-	K00016		6.8e-120	398.3
LYTG01000026.1_3650_4615_-	K00016		1.9e-101	337.6
LYTG01000011.1_13167_14039_+	K00020		2.1e-106	354.0
LYTG01000020.1_7449_8384_-	K00024		9.8e-127	421.1
LYTG01000083.1_29112_30338_-	K00027		9.3e-196	650.4
LYTG01000020.1_8425_9696_-	K00030		4.1e-82	273.3
LYTG01000033.1_16346_17230_+	K00033		3.8e-106	353.3
LYTG01000032.1_67438_68043_+	K00033		1.7e-77	258.8
LYTG01000049.1_3_485_+	K00033		6e-48	160.4
LYTG01000065.1_14408_15205_+	K00034		4.5e-117	387.7
LYTG01000061.1_15919_16668_+	K00038		3.5e-98	326.1
LYTG01000033.1_29711_30460_+	K00038		2.4e-80	267.4
LYTG01000108.1_12121_13149_+	K00057		1.8e-155	516.2
LYTG01000017.1_9536_10699_-	K00058		2.4e-90	300.8
LYTG01000105.1_3171_3911_+	K00059		1.7e-105	350.6
LYTG01000006.1_18431_19252_+	K00059		6.9e-78	259.7
LYTG01000028.1_13843_14745_+	K00059		1.2e-76	255.7
LYTG01000044.1_68665_69450_+	K00059		1.4e-72	242.3
LYTG01000013.1_8513_9277_+	K00059		1.5e-71	238.8
LYTG01000012.1_8681_9757_-	K00060		5.2e-147	486.6
LYTG01000082.1_3291_4040_-	K00067		2.2e-38	129.9
LYTG01000067.1_19016_19936_+	K00075		2.6e-112	373.7
LYTG01000103.1_22142_22981_+	K00077		1.1e-53	180.2
LYTG01000051.1_10556_12019_-	K00088		1e-194	646.3
LYTG01000033.1_36316_37485_-	K00096		5.7e-104	343.2
LYTG01000107.1_26551_27696_+	K00099		7.2e-172	569.9
LYTG01000039.1_7903_9558_-	K00111		2.8e-163	542.0
LYTG01000060.1_41280_42779_+	K00116		2.4e-235	779.5
LYTG01000012.1_45888_47321_-	K00131		1.1e-215	714.3
LYTG01000080.1_3990_4985_+	K00133		4.8e-132	439.1
LYTG01000019.1_4169_5263_-	K00134		6.1e-154	511.6
LYTG01000028.1_47912_48919_-	K00134		8.8e-151	501.2
LYTG01000042.1_22118_23542_+	K00135		4.5e-215	713.4
LYTG01000085.1_5005_6609_-	K00138		0	1093.9
LYTG01000091.1_58878_60248_-	K00148		4.9e-101	334.8
LYTG01000091.1_39632_42478_+	K00164		0	1140.4
LYTG01000013.1_18288_19295_-	K00166		7.5e-120	398.9
LYTG01000102.1_25326_26411_+	K00166		7.9e-118	392.3
LYTG01000102.1_26415_27392_+	K00167		2.1e-143	476.5
LYTG01000013.1_17311_18288_-	K00167		1.1e-137	457.6
LYTG01000102.1_1546_2319_+	K00208		1.4e-111	370.5
LYTG01000080.1_5906_6625_+	K00215		5.1e-67	224.1
LYTG01000079.1_37082_38440_-	K00231		3.7e-120	399.6
LYTG01000088.1_33830_35215_+	K00231		2.6e-113	377.1
LYTG01000093.1_10467_12224_+	K00239		2.9e-210	697.1
LYTG01000093.1_12221_13021_+	K00240		7.2e-74	246.3
LYTG01000093.1_9834_10451_+	K00241		3.2e-37	126.1
LYTG01000083.1_39652_40524_+	K00243		7.7e-88	292.3
LYTG01000028.1_8227_10011_-	K00248		9.2e-132	431.1
LYTG01000067.1_20001_21131_-	K00259		4.2e-165	546.9
LYTG01000108.1_3196_4464_+	K00260		1.1e-215	713.6
LYTG01000013.1_21796_22917_-	K00263		1.7e-175	580.9
LYTG01000002.1_35809_37260_+	K00264		5.7e-186	617.5
LYTG01000002.1_31373_35812_+	K00265		0	2098.5
LYTG01000072.1_53385_54425_-	K00274		7.2e-78	168.1
LYTG01000072.1_53385_54425_-	K00274		7.2e-78	91.6
LYTG01000098.1_16695_18128_+	K00278		1.7e-131	436.5
LYTG01000014.1_4264_5610_-	K00282		1.3e-188	624.8
LYTG01000014.1_2789_4264_-	K00283		9.6e-252	834.0
LYTG01000082.1_54_872_-	K00286		2.9e-56	189.0
LYTG01000002.1_21802_22287_-	K00287		3.2e-50	168.8
LYTG01000033.1_20735_21250_-	K00287		1.1e-16	58.7
LYTG01000028.1_16919_17944_-	K00318		4.9e-56	188.0
LYTG01000061.1_21070_22062_+	K00320		2.8e-26	90.1
LYTG01000041.1_47020_48000_-	K00344		2.3e-87	291.1
LYTG01000098.1_43704_44741_+	K00344		1.5e-82	275.1
LYTG01000006.1_2832_3845_+	K00344		3.4e-73	244.4
LYTG01000006.1_19282_20202_+	K00344		1.4e-70	235.4
LYTG01000061.1_27104_28087_-	K00364		2.9e-109	363.2
LYTG01000051.1_4878_6296_+	K00375		6.4e-160	530.8
LYTG01000102.1_28766_30178_+	K00382		1.7e-185	615.1
LYTG01000013.1_19310_20719_-	K00382		3.6e-137	455.6
LYTG01000093.1_6017_7330_-	K00383		3.7e-114	379.7
LYTG01000029.1_5202_6155_-	K00384		2.5e-132	439.9
LYTG01000108.1_4541_5551_-	K00384		2.2e-40	135.9
LYTG01000041.1_43270_43641_-	K00389		3.6e-23	79.8
LYTG01000102.1_15020_16408_+	K00425		6.9e-138	458.2
