KO Id	Name	Count
K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	105
K01959	pycA; pyruvate carboxylase subunit A	36
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	18
K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	28
K02031	ddpD; peptide/nickel transport system ATP-binding protein	20
K02032	ddpF; peptide/nickel transport system ATP-binding protein	18
K02668	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS	108
K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	27
K10125	dctB; two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB	48
K07709	zraS, hydH; two-component system, NtrC family, sensor histidine kinase HydH	72
K02010	afuC, fbpC; iron(III) transport system ATP-binding protein	8
K02791	malX; maltose/glucose PTS system EIICB component	105
K13004	wbtD; galacturonosyltransferase WbtD	1
K11192	murP; N-acetylmuramic acid PTS system EIICB component	36
K02056	ABC.SS.A; simple sugar transport system ATP-binding protein	44
K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	30
K00314	SARDH; sarcosine dehydrogenase	2
K09817	znuC; zinc transport system ATP-binding protein	4
K00265	gltB; glutamate synthase (NADPH) large chain	12
K02013	ABC.FEV.A; iron complex transport system ATP-binding protein	2
K08483	ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I)	40
K01897	ACSL, fadD; long-chain acyl-CoA synthetase	60
K00360	nasB; assimilatory nitrate reductase electron transfer subunit	2
K00219	fadH; 2,4-dienoyl-CoA reductase (NADPH2)	2
K00248	ACADS, bcd; butyryl-CoA dehydrogenase	15
K02768	fruB; fructose PTS system EIIA component	129
K11183	fruB, fpr; multiphosphoryl transfer protein	20
K01840	manB; phosphomannomutase	24
K11072	potA; spermidine/putrescine transport system ATP-binding protein	10
K01586	lysA; diaminopimelate decarboxylase	3
K01223	E3.2.1.86B, bglA; 6-phospho-beta-glucosidase	2
K03574	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase	4
K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)	7
K12047	MGAM; maltase-glucoamylase	3
K01426	E3.5.1.4, amiE; amidase	30
K01270	pepD; dipeptidase D	4
K00128	ALDH; aldehyde dehydrogenase (NAD+)	135
K01200	pulA; pullulanase	3
K01439	dapE; succinyl-diaminopimelate desuccinylase	2
K00669	AANAT; arylalkylamine N-acetyltransferase	1
K01658	trpG; anthranilate synthase component II	112
K01187	malZ; alpha-glucosidase	4
K04757	rsbW; serine/threonine-protein kinase RsbW	20
K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1	24
K00155	LNAA, LNBA; L-tyrosine reductase	5
K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	50
K08884	K08884; serine/threonine protein kinase, bacterial	24
K02482	flgS; two-component system, NtrC family, sensor kinase	66
K11711	dctS; two-component system, LuxR family, sensor histidine kinase DctS	78
K11188	PRDX6; peroxiredoxin 6	6
K00430	E1.11.1.7; peroxidase	3
K01692	paaF, echA; enoyl-CoA hydratase	260
K01179	E3.2.1.4; endoglucanase	4
K01835	pgm; phosphoglucomutase	35
K01955	carB, CPA2; carbamoyl-phosphate synthase large subunit	30
K04564	SOD2; superoxide dismutase, Fe-Mn family	24
K07683	nreB; two-component system, NarL family, sensor histidine kinase NreB	27
K07777	degS; two-component system, NarL family, sensor histidine kinase DegS	75
K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	3
K11229	BCK1; mitogen-activated protein kinase kinase kinase	3
K07642	baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS	87
K02342	dnaQ; DNA polymerase III subunit epsilon	25
K01537	ATP2C; P-type Ca2+ transporter type 2C	7
K08856	STK16; serine/threonine kinase 16	12
K08282	E2.7.11.1; non-specific serine/threonine protein kinase	81
K08853	AAK; AP2-associated kinase	24
K08286	E2.7.11.-; protein-serine/threonine kinase	41
K08854	BMP2K, BIKE; BMP2 inducible kinase	24
K08855	GAK; cyclin G-associated kinase	24
K01951	guaA, GMPS; GMP synthase (glutamine-hydrolysing)	3
K02476	K02476; two-component system, CitB family, sensor kinase	56
K01509	ENTPD2; adenosinetriphosphatase	8
K05349	bglX; beta-glucosidase	9
K02486	K02486; two-component system, sensor kinase	48
K08840	TNIK; TRAF2 and NCK interacting kinase	28
K04407	MAP4K4, HGK; mitogen-activated protein kinase kinase kinase kinase 4	28
K04413	MINK; misshapen/NIK-related kinase	14
K08834	MYO3, DFNB30; myosin III	42
K08836	SLK; STE20-like kinase	28
K08837	STK10, LOK; serine/threonine kinase 10	28
K01956	carA, CPA1; carbamoyl-phosphate synthase small subunit	14
K14519	aldH; NADP-dependent aldehyde dehydrogenase	2
K00146	feaB; phenylacetaldehyde dehydrogenase	8
K00206	phnY; phosphonoacetaldehyde dehydrogenase	2
K00756	pdp; pyrimidine-nucleoside phosphorylase	1
K01744	aspA; aspartate ammonia-lyase	1
K08805	DCLK1_2; doublecortin-like kinase 1/2	3
K07700	dpiB, citA; two-component system, CitB family, cit operon sensor histidine kinase CitA	6
K08963	mtnA; methylthioribose-1-phosphate isomerase	1
K01515	nudF; ADP-ribose pyrophosphatase	5
K01652	E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	4
K02484	K02484; two-component system, OmpR family, sensor kinase	282
K07645	qseC; two-component system, OmpR family, sensor histidine kinase QseC	152
K00384	trxB, TRR; thioredoxin reductase (NADPH)	1
K12972	ghrA; glyoxylate/hydroxypyruvate reductase	3
K07678	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA	162
K02218	CSNK1, CKI; casein kinase 1	21
K01081	E3.1.3.5; 5'-nucleotidase	30
K11527	K11527; two-component system, sensor histidine kinase and response regulator	50
K03781	katE, CAT, catB, srpA; catalase	11
K01176	AMY, amyA, malS; alpha-amylase	16
K12647	IFIH1, MDA5; interferon-induced helicase C domain-containing protein 1	7
K01182	IMA, malL; oligo-1,6-glucosidase	2
K00362	nirB; nitrite reductase (NADH) large subunit	4
K02778	ptsGb; glucose PTS system EIIB component	32
K02779	ptsG; glucose PTS system EIICB or EIICBA component	135
K02777	crr; sugar PTS system EIIA component	364
K02478	K02478; two-component system, LytTR family, sensor kinase	22
K05343	treS; maltose alpha-D-glucosyltransferase / alpha-amylase	2
K01768	E4.6.1.1; adenylate cyclase	28
K00758	deoA, TYMP; thymidine phosphorylase	3
K13530	adaA; AraC family transcriptional regulator, regulatory protein of adaptative response / methylphosphotriester-DNA alkyltransferase methyltransferase	2
K05869	CAMK4; calcium/calmodulin-dependent protein kinase IV	14
K08812	CAMKV; CaM kinase-like vesicle-associated	5
K07710	atoS; two-component system, NtrC family, sensor histidine kinase AtoS	72
K08957	CSNK1A; casein kinase 1, alpha	40
K08960	CSNK1E; casein kinase 1, epsilon	65
K07718	yesM; two-component system, sensor histidine kinase YesM	36
K07638	envZ; two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ	20
K00326	E1.6.2.2; cytochrome-b5 reductase	1
K00001	E1.1.1.1, adh; alcohol dehydrogenase	162
K07704	lytS; two-component system, LytTR family, sensor histidine kinase LytS	42
K00011	AKR1B; aldehyde reductase	5
K02844	waaG, rfaG; UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase	4
K07644	cusS, copS, silS; two-component system, OmpR family, heavy metal sensor histidine kinase CusS	112
K00529	hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component	14
K08832	SRPK3, STK23; serine/threonine-protein kinase SRPK3	5
K06861	lptB; lipopolysaccharide export system ATP-binding protein	2
K05708	hcaE, hcaA1; 3-phenylpropionate/trans-cinnamate dioxygenase subunit alpha	1
K00130	betB, gbsA; betaine-aldehyde dehydrogenase	2
K11637	citS; two-component system, CitB family, sensor histidine kinase CitS	30
K11614	yufL, malK; two-component system, CitB family, sensor histidine kinase MalK	48
K07701	dcuS; two-component system, CitB family, sensor histidine kinase DcuS	63
K07646	kdpD; two-component system, OmpR family, sensor histidine kinase KdpD	111
K07677	rcsC; two-component system, NarL family, capsular synthesis sensor histidine kinase RcsC	56
K02760	celA, chbB; cellobiose PTS system EIIB component	6
K00567	ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase	7
K00285	dadA; D-amino-acid dehydrogenase	1
K00480	E1.14.13.1; salicylate hydroxylase	3
K03379	chnB; cyclohexanone monooxygenase	3
K12771	SPS1; sporulation-specific protein 1	2
K01933	purM; phosphoribosylformylglycinamidine cyclo-ligase	5
K01485	codA; cytosine/creatinine deaminase	4
K11717	sufS; cysteine desulfurase / selenocysteine lyase	1
K04487	iscS, NFS1; cysteine desulfurase	10
K00860	cysC; adenylylsulfate kinase	12
K00955	cysNC; bifunctional enzyme CysN/CysC	20
K00956	cysN; sulfate adenylyltransferase subunit 1	24
K02536	lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	10
K01838	pgmB; beta-phosphoglucomutase	5
K00688	PYG, glgP; glycogen phosphorylase	6
K01609	trpC; indole-3-glycerol phosphate synthase	3
K00971	manC, cpsB; mannose-1-phosphate guanylyltransferase	18
K01809	manA, MPI; mannose-6-phosphate isomerase	21
K03778	ldhA; D-lactate dehydrogenase	1
K01776	murI; glutamate racemase	2
K00873	PK, pyk; pyruvate kinase	30
K00936	pdtaS; two-component system, sensor histidine kinase PdtaS	10
K01188	E3.2.1.21; beta-glucosidase	15
K03040	rpoA; DNA-directed RNA polymerase subunit alpha	3
K01529	yjjX; inosine/xanthosine triphosphatase	8
K01895	ACSS1_2, acs; acetyl-CoA synthetase	21
K04441	P38; p38 MAP kinase	201
K02000	proV; glycine betaine/proline transport system ATP-binding protein	4
K07304	msrA; peptide-methionine (S)-S-oxide reductase	7
K01905	acdA; acetate---CoA ligase (ADP-forming) subunit alpha	4
K01657	trpE; anthranilate synthase component I	96
K13497	trpGD; anthranilate synthase/phosphoribosyltransferase	19
K07516	fadN; 3-hydroxyacyl-CoA dehydrogenase	30
K13490	wspE; two-component system, chemotaxis family, sensor histidine kinase and response regulator WspE	8
K13788	pta; phosphate acetyltransferase	25
K07651	resE; two-component system, OmpR family, sensor histidine kinase ResE	60
K07652	vicK; two-component system, OmpR family, sensor histidine kinase VicK	198
K13529	ada-alkA; AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II	15
K13587	cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA	8
K11594	DDX3X, bel; ATP-dependent RNA helicase DDX3X	18
K12835	DDX42, SF3B125; ATP-dependent RNA helicase DDX42	10
K12858	DDX23, PRP28; ATP-dependent RNA helicase DDX23/PRP28	8
K12811	DDX46, PRP5; ATP-dependent RNA helicase DDX46/PRP5	14
K13982	DDX4, VASA; probable ATP-dependent RNA helicase DDX4	2
K13116	DDX41, ABS; ATP-dependent RNA helicase DDX41	4
K14498	SNRK2; serine/threonine-protein kinase SRK2	6
K01711	gmd, GMDS; GDPmannose 4,6-dehydratase	6
K01571	oadA; oxaloacetate decarboxylase (Na+ extruding) subunit alpha	14
K01960	pycB; pyruvate carboxylase subunit B	36
K02489	hk1; two-component system, glycerol uptake and utilization sensor kinase	36
K00924	E2.7.1.-; kinase	7
K05366	mrcA; penicillin-binding protein 1A	4
K01007	pps, ppsA; pyruvate, water dikinase	8
K02363	entE, dhbE, vibE, mxcE; 2,3-dihydroxybenzoate-AMP ligase	6
K01784	galE, GALE; UDP-glucose 4-epimerase	9
K00928	lysC; aspartate kinase	64
K09697	natA; sodium transport system ATP-binding protein	3
K01928	murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	6
K13987	NUDT5; ADP-sugar pyrophosphatase / 8-oxo-dGDP phosphatase / ADP-D-ribose pyrophosphorylase	1
K11154	RDH16; retinol dehydrogenase 16	1
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	35
K07250	gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase	21
K00966	GMPP; mannose-1-phosphate guanylyltransferase	12
K02052	ABC.SP.A; putative spermidine/putrescine transport system ATP-binding protein	8
K02798	cmtB; mannitol PTS system EIIA component	33
K00249	ACADM, acd; acyl-CoA dehydrogenase	15
K01995	livG; branched-chain amino acid transport system ATP-binding protein	15
K00974	cca; tRNA nucleotidyltransferase (CCA-adding enzyme)	6
K01448	amiABC; N-acetylmuramoyl-L-alanine amidase	30
K01449	cwlJ, sleB; N-acetylmuramoyl-L-alanine amidase	3
K00700	GBE1, glgB; 1,4-alpha-glucan branching enzyme	2
K02017	modC; molybdate transport system ATP-binding protein	8
K00845	glk; glucokinase	12
