	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000140.1_1	QGNH01000140.1	QGNH01000140.1	1	92	1072	1	E	YP_009797329.1	YP_009797329.1 major head protein [Faecalibacterium phage FP_Mushu]	False	0.304	134.0	9.758e-33													VOG04241	sp|Q9T1W1|CAPSD_BPMU Major capsid protein; XhXs	Xs;Xh	0	False	VF
QGNH01000140.1_2	QGNH01000140.1	QGNH01000140.1	2	1038	1619	1	D														Bacteriophage Mu, Gp36 [PF07030.15]								0	False	F
QGNH01000140.1_3	QGNH01000140.1	QGNH01000140.1	3	1619	2290	1	D														Phage virion morphogenesis family [PF05069.16]					VOG00556	sp|P36934|VPS_BPP2 Tail completion protein S; Xu	Xu	0	False	F
QGNH01000140.1_4	QGNH01000140.1	QGNH01000140.1	4	2290	2874	1	E																						0	False	F
QGNH01000140.1_5	QGNH01000140.1	QGNH01000140.1	5	2891	4348	1	D														Protein of unknown function (DUF2586) [PF10758.12]								0	False	F
QGNH01000140.1_6	QGNH01000140.1	QGNH01000140.1	6	4384	4884	1	E																						0	False	F
QGNH01000140.1_7	QGNH01000140.1	QGNH01000140.1	7	4949	5281	1	E																						0	False	F
QGNH01000140.1_8	QGNH01000140.1	QGNH01000140.1	8	5451	7280	1	E																						0	False	
QGNH01000140.1_9	QGNH01000140.1	QGNH01000140.1	9	7273	7902	1	E																						0	False	
QGNH01000140.1_10	QGNH01000140.1	QGNH01000140.1	10	7957	8598	1	E																						0	False	
QGNH01000140.1_11	QGNH01000140.1	QGNH01000140.1	11	8595	9107	1	E																						0	False	
QGNH01000140.1_12	QGNH01000140.1	QGNH01000140.1	12	9108	9593	1	E																						0	False	
QGNH01000140.1_13	QGNH01000140.1	QGNH01000140.1	13	9604	10029	1	E																						0	False	
QGNH01000140.1_14	QGNH01000140.1	QGNH01000140.1	14	10032	11261	1	D														Baseplate J-like protein [PF04865.17]					VOG00521	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xs;Xh	0	False	V
QGNH01000140.1_15	QGNH01000140.1	QGNH01000140.1	15	11264	11920	1	E																						0	False	
QGNH01000140.1_16	QGNH01000140.1	QGNH01000140.1	16	11920	12558	1	D														Collagen triple helix repeat (20 copies) [PF01391.21]								0	False	
QGNH01000140.1_17	QGNH01000140.1	QGNH01000140.1	17	12548	16489	1	D	YP_009329195.1	YP_009329195.1 tail fiber protein [Cedratvirus A11]	False	0.373	82.0	3.64e-14								Collagen triple helix repeat (20 copies) [PF01391.21]					VOG01091	sp|B4YNE6|V6_SPTNK Collagen-like protein V6; Xu	Xu	0	False	
QGNH01000140.1_18	QGNH01000140.1	QGNH01000140.1	18	16491	17474	1	D														BNR repeat-like domain [PF13088.9]; Sortilin, neurotensin receptor 3, [PF15902.8]								0	False	
QGNH01000140.1_19	QGNH01000140.1	QGNH01000140.1	19	17503	18702	1	D	YP_009778745.1	YP_009778745.1 glycosyltransferase [Synechococcus phage ACG-2014f_Syn7803US26]	False	0.337	202.0	5.951e-55								Glycosyl transferases group 1 [PF00534.23]; Glycosyl transferases group 1 [PF13692.9]					VOG17757	REFSEQ glycosyltransferase; Xu	Xu	0	False	MK
