target	query	e-value	score	length	start	end
NZ_ASHR01000014.1_274296_275972_+	COG0001	1.7e-11	36.9	558	30	253
NZ_ASHR01000014.1_51243_52319_+	COG0002	6.2e-24	55.5	358	12	177
NZ_ASHR01000014.1_145622_146452_-	COG0005	1.5e-84	277.9	276	10	274
NZ_ASHR01000014.1_296312_297802_+	COG0008	3.7e-158	521.8	496	11	493
NZ_ASHR01000014.1_98538_100010_+	COG0014	2.8e-11	32.8	490	196	324
NZ_ASHR01000014.1_169088_170209_+	COG0026	9.7e-147	483.0	373	2	370
NZ_ASHR01000014.1_148555_151206_-	COG0026	5.3e-25	81.0	588	6	344
NZ_ASHR01000014.1_169088_170209_+	COG0027	1.9e-46	152.5	373	5	370
NZ_ASHR01000014.1_148555_151206_-	COG0027	1.3e-10	34.4	588	4	295
NZ_ASHR01000014.1_278645_280432_+	COG0028	2.4e-245	809.5	595	12	577
NZ_ASHR01000014.1_127965_129752_-	COG0029	6e-169	557.6	595	12	567
NZ_ASHR01000014.1_297802_298719_+	COG0029	1.2e-10	27.5	305	4	50
NZ_ASHR01000014.1_218356_219483_+	COG0030	6.5e-08	25.7	375	206	310
NZ_ASHR01000014.1_24259_25680_+	COG0031	3.7e-158	521.1	473	15	471
NZ_ASHR01000014.1_299804_300754_-	COG0031	7.9e-107	352.0	316	6	314
NZ_ASHR01000014.1_254507_255739_+	COG0031	5.4e-32	104.8	410	25	296
NZ_ASHR01000014.1_143958_145625_-	COG0033	5.9e-43	140.7	519	10	502
NZ_ASHR01000014.1_205771_207159_+	COG0033	2e-28	79.9	462	37	349
NZ_ASHR01000014.1_215538_216515_+	COG0035	3.9e-09	28.9	325	207	257
NZ_ASHR01000014.1_157280_158230_+	COG0039	2.1e-119	392.9	316	3	315
NZ_ASHR01000014.1_170270_170800_+	COG0041	3.1e-93	307.3	176	8	172
NZ_ASHR01000014.1_29582_30799_+	COG0044	1.6e-25	56.4	405	3	122
NZ_ASHR01000014.1_29582_30799_+	COG0044	1.6e-25	26.6	405	318	388
NZ_ASHR01000014.1_113574_114056_-	COG0054	3.6e-51	167.3	139	3	136
NZ_ASHR01000014.1_51243_52319_+	COG0057	4.2e-14	30.0	358	55	169
NZ_ASHR01000014.1_280975_282000_+	COG0059	2.4e-162	533.5	341	1	331
NZ_ASHR01000014.1_210676_212199_+	COG0059	5e-09	28.8	507	287	357
NZ_ASHR01000014.1_264410_265633_-	COG0079	5e-38	124.7	407	22	384
NZ_ASHR01000014.1_25682_26848_+	COG0079	2e-08	26.6	388	59	184
NZ_ASHR01000014.1_544_975_+	COG0080	8.6e-75	244.0	143	4	143
NZ_ASHR01000014.1_1056_1745_+	COG0081	5.9e-113	370.7	229	1	228
NZ_ASHR01000014.1_114056_115321_-	COG0108	2.3e-152	502.1	373	1	366
NZ_ASHR01000014.1_214096_215526_+	COG0110	2e-15	42.9	476	320	440
NZ_ASHR01000014.1_286039_287631_+	COG0111	4.1e-135	445.0	530	1	527
NZ_ASHR01000014.1_229716_230771_+	COG0111	2.7e-79	261.0	351	60	346
NZ_ASHR01000014.1_210676_212199_+	COG0111	4.7e-10	31.8	507	286	377
NZ_ASHR01000014.1_280975_282000_+	COG0111	9.1e-09	27.9	341	15	101
NZ_ASHR01000014.1_225586_226488_-	COG0111	1.2e-08	27.5	300	6	78
NZ_ASHR01000014.1_293358_294446_+	COG0115	3.2e-86	283.7	362	37	358
NZ_ASHR01000014.1_115944_116975_-	COG0117	8.6e-117	382.9	343	8	340
NZ_ASHR01000014.1_243264_244514_+	COG0124	5.2e-104	342.0	416	3	398
NZ_ASHR01000014.1_68418_69050_+	COG0125	3.7e-96	317.1	210	1	207
NZ_ASHR01000014.1_276918_278615_+	COG0129	2e-252	833.1	565	7	564
NZ_ASHR01000014.1_254507_255739_+	COG0133	2.6e-09	30.2	410	24	104
NZ_ASHR01000014.1_51243_52319_+	COG0136	3.3e-131	431.5	358	13	354
NZ_ASHR01000014.1_244565_245845_+	COG0148	9.3e-216	710.4	426	1	424
NZ_ASHR01000014.1_148555_151206_-	COG0151	4.3e-13	39.0	588	63	206
NZ_ASHR01000014.1_169088_170209_+	COG0151	6.6e-11	33.4	373	3	177
NZ_ASHR01000014.1_117883_118878_-	COG0162	3.8e-16	52.1	331	4	285
NZ_ASHR01000014.1_101503_102426_+	COG0171	4e-11	33.7	307	2	190
NZ_ASHR01000014.1_6133_7779_-	COG0178	1.2e-29	37.3	548	157	258
NZ_ASHR01000014.1_6133_7779_-	COG0178	1.2e-29	45.5	548	417	539
NZ_ASHR01000014.1_135770_137329_+	COG0178	1.9e-26	43.2	519	151	230
NZ_ASHR01000014.1_135770_137329_+	COG0178	1.9e-26	32.7	519	401	479
NZ_ASHR01000014.1_20246_21781_+	COG0178	1.1e-25	32.6	511	141	215
NZ_ASHR01000014.1_20246_21781_+	COG0178	1.1e-25	41.0	511	384	482
NZ_ASHR01000014.1_105718_106644_+	COG0178	2.8e-19	61.4	308	135	241
NZ_ASHR01000014.1_103515_105302_-	COG0178	6.9e-18	47.9	589	483	570
NZ_ASHR01000014.1_16522_18375_+	COG0178	3.8e-17	45.3	617	514	608
NZ_ASHR01000014.1_151942_153666_+	COG0178	7.3e-14	34.6	574	465	562
NZ_ASHR01000014.1_153668_155722_+	COG0178	2.8e-12	32.7	684	555	651
NZ_ASHR01000014.1_294446_295222_+	COG0179	6.7e-107	352.3	258	1	255
NZ_ASHR01000014.1_228933_229676_+	COG0179	1.1e-36	120.8	247	27	235
NZ_ASHR01000014.1_307324_308139_-	COG0179	9.9e-09	28.2	220	43	216
NZ_ASHR01000014.1_117883_118878_-	COG0180	4.8e-139	458.1	331	3	331
NZ_ASHR01000014.1_169088_170209_+	COG0189	4.5e-18	57.9	373	12	286
NZ_ASHR01000014.1_148555_151206_-	COG0189	9.4e-18	57.6	588	16	312
NZ_ASHR01000014.1_235522_236103_+	COG0193	8.8e-74	241.9	193	2	191
NZ_ASHR01000014.1_140482_141771_+	COG0213	7.7e-187	616.1	429	2	428
