target	query	e-value	score	length	start	end
NZ_ATCL01000021.1_5	COG0001	6.9e-217	717.8	433	5	432
NZ_ATCL01000022.1_338	COG4992	1.9e-161	533.6	382	4	377
NZ_ATCL01000021.1_56	COG0365	6.3e-82	271.2	457	3	452
NZ_ATCL01000022.1_335	COG0002	6.5e-124	408.9	342	1	339
NZ_ATCL01000020.1_888	COG0005	4.1e-109	359.9	270	4	268
NZ_ATCL01000020.1_964	COG0006	9.9e-141	465.1	357	3	354
NZ_ATCL01000021.1_58	COG0024	1.4e-95	315.1	250	5	245
NZ_ATCL01000022.1_22	COG0012	5.6e-178	586.8	367	1	365
NZ_ATCL01000020.1_849	COG2262	1.8e-161	534.0	415	2	397
NZ_ATCL01000020.1_908	COG1012	3.7e-178	589.4	478	2	476
NZ_ATCL01000021.1_89	COG1012	1.6e-130	431.8	462	9	439
NZ_ATCL01000020.1_805	COG0165	6.1e-219	723.5	461	1	457
NZ_ATCL01000023.1_14	COG1190	1.5e-298	989.1	497	3	496
NZ_ATCL01000022.1_307	COG0018	1.8e-181	599.9	561	6	560
NZ_ATCL01000020.1_839	COG0021	0	1073.8	675	15	674
NZ_ATCL01000020.1_955	COG1154	1e-280	928.0	634	4	631
NZ_ATCL01000020.1_944	COG1071	5.6e-142	469.7	336	8	332
NZ_ATCL01000020.1_943	COG0022	3.4e-174	576.5	326	3	324
NZ_ATCL01000020.1_799	COG0475	2.1e-72	239.8	392	2	373
NZ_ATCL01000022.1_340	COG0458	3.8e-278	505.3	1007	3	335
NZ_ATCL01000022.1_340	COG0458	3.8e-278	383.9	1007	576	1000
NZ_ATCL01000020.1_961	COG4770	3.2e-256	848.8	448	1	443
NZ_ATCL01000021.1_53	COG1165	2.1e-174	577.0	550	3	545
NZ_ATCL01000022.1_105	COG0665	1.9e-83	276.1	402	9	399
NZ_ATCL01000023.1_6	COG0031	2.3e-154	509.9	318	1	307
NZ_ATCL01000023.1_2	COG0634	2.9e-91	301.0	182	3	179
NZ_ATCL01000023.1_1	COG0037	5.7e-81	268.2	410	3	393
NZ_ATCL01000022.1_264	COG0603	1.4e-98	326.1	215	2	209
