target	query	e-value	score	length	start	end
CP001157.1_4030195_4031019_+	phrog_10030	9.6e-23	75.9	274	146	268
CP001157.1_4677085_4678527_+	phrog_10030	3.1e-22	74.0	480	340	437
CP001157.1_3913787_3914590_-	phrog_10030	1.8e-18	61.6	267	109	263
CP001157.1_4916436_4917512_-	phrog_10030	8.4e-18	59.5	358	235	357
CP001157.1_3794281_3795081_-	phrog_10153	1.2e-19	66.6	266	21	134
CP001157.1_4463868_4464074_+	phrog_1013	2.8e-14	49.7	68	12	60
CP001157.1_5358067_5359059_-	phrog_10226	3.7e-12	41.4	330	4	99
CP001157.1_3978720_3979367_-	phrog_10255	5.9e-07	26.1	215	1	39
CP001157.1_3671645_3672151_-	phrog_10276	4.8e-38	127.3	168	31	168
CP001157.1_4048968_4051670_-	phrog_10300	7e-09	32.0	900	839	899
CP001157.1_3892162_3892809_-	phrog_10300	1e-07	28.2	215	153	205
CP001157.1_4010584_4011141_+	phrog_10313	5.3e-07	25.9	185	35	94
CP001157.1_3804175_3805932_+	phrog_10334	6e-18	60.5	585	524	572
CP001157.1_4848441_4849937_+	phrog_10371	4.3e-08	25.8	498	286	347
CP001157.1_4591388_4593541_-	phrog_1012	2e-70	232.4	699	274	693
CP001157.1_4327033_4328946_-	phrog_10401	3.1e-31	105.0	637	180	347
CP001157.1_4874148_4875503_-	phrog_10430	2.2e-79	263.9	451	153	445
CP001157.1_4004664_4006040_-	phrog_10430	1.1e-37	126.3	458	33	288
CP001157.1_3722026_3722700_-	phrog_10428	3.1e-29	98.5	224	3	218
CP001157.1_4327033_4328946_-	phrog_10440	4.6e-14	47.7	637	186	378
CP001157.1_5336359_5337243_-	phrog_1033	1.6e-28	96.6	294	50	214
CP001157.1_4031573_4031866_-	phrog_10531	8.8e-18	61.0	97	10	90
CP001157.1_3786701_3789937_-	phrog_10546	1.1e-19	46.3	1072	1	104
CP001157.1_3786701_3789937_-	phrog_10546	1.1e-19	32.7	1072	118	228
CP001157.1_3410488_3411864_+	phrog_10544	1.2e-30	102.8	458	71	444
CP001157.1_4226168_4226872_+	phrog_10544	3e-17	58.8	234	12	220
CP001157.1_4607763_4608305_+	phrog_1040	3.6e-21	72.4	180	7	178
CP001157.1_3406769_3408019_+	phrog_10582	6.5e-12	40.9	416	107	223
CP001157.1_3705943_3706821_+	phrog_10624	2.1e-24	82.1	292	2	148
CP001157.1_3392292_3392909_-	phrog_1015	7.1e-13	43.8	205	84	177
CP001157.1_3391636_3392157_-	phrog_1015	5.9e-11	37.9	173	55	160
CP001157.1_4344561_4345337_-	phrog_10724	7.8e-14	47.6	258	18	76
CP001157.1_4376534_4377391_+	phrog_10724	2.3e-13	46.3	285	43	112
CP001157.1_3683176_3684594_-	phrog_10724	6.8e-13	44.5	472	9	76
CP001157.1_4981311_4982033_-	phrog_10724	1.6e-12	43.4	240	12	79
CP001157.1_4881422_4882771_+	phrog_10724	1.2e-10	37.3	449	2	60
CP001157.1_3734162_3734428_-	phrog_1076	2.6e-11	40.3	88	1	63
CP001157.1_4016177_4017643_+	phrog_10776	3.7e-17	58.6	488	14	268
CP001157.1_4758387_4759661_+	phrog_10856	1.7e-16	56.5	424	244	420
CP001157.1_4691194_4692624_-	phrog_1075	1.6e-65	218.2	476	36	476
CP001157.1_3790064_3790417_-	phrog_103	7.6e-46	152.3	117	16	113
CP001157.1_5110745_5111137_+	phrog_1047	3.3e-07	25.4	130	1	78
CP001157.1_4677085_4678527_+	phrog_1067	8.7e-20	67.2	480	284	434
CP001157.1_3913787_3914590_-	phrog_1067	2.8e-19	65.3	267	161	251
CP001157.1_4916436_4917512_-	phrog_1067	3e-16	55.4	358	236	348
CP001157.1_4030195_4031019_+	phrog_1067	2e-15	52.8	274	155	268
CP001157.1_3779311_3779748_-	phrog_101	2.3e-42	141.5	145	3	142
CP001157.1_4913580_4914902_+	phrog_10912	5.4e-63	209.8	440	105	429
CP001157.1_3572566_3575310_+	phrog_10912	2.9e-53	177.6	914	378	630
CP001157.1_3767075_3769828_+	phrog_10912	2.8e-51	166.8	917	224	507
CP001157.1_5129310_5132402_+	phrog_10912	1.5e-49	165.1	1030	150	510
CP001157.1_4353318_4355834_-	phrog_10912	8.2e-46	152.8	830	354	805
CP001157.1_3596920_3600405_+	phrog_10912	3.2e-40	132.0	1161	787	1019
CP001157.1_4298743_4301688_+	phrog_10912	1.2e-39	132.6	981	399	975
CP001157.1_5006212_5007573_-	phrog_10912	1.6e-37	125.8	453	229	445
CP001157.1_4660087_4661172_+	phrog_10912	7.8e-32	106.9	361	11	353
CP001157.1_5168583_5170142_+	phrog_10912	3.7e-28	90.0	519	138	514
CP001157.1_4151781_4154285_-	phrog_10912	1.7e-27	92.5	796	390	643
CP001157.1_3759692_3761023_-	phrog_10912	1.2e-26	89.8	443	230	426
CP001157.1_4727815_4729149_+	phrog_10912	3.2e-23	78.5	444	219	431
CP001157.1_4007087_4008367_+	phrog_10948	5.5e-126	417.2	426	10	416
CP001157.1_3575956_3577254_-	phrog_10948	8.5e-49	162.5	432	6	425
CP001157.1_4914960_4916351_+	phrog_10948	4.5e-31	103.6	463	20	417
CP001157.1_4916436_4917512_-	phrog_11037	2e-09	33.2	358	219	330
CP001157.1_4030195_4031019_+	phrog_11037	8.4e-09	31.2	274	184	257
CP001157.1_4677085_4678527_+	phrog_11037	4.1e-07	25.5	480	340	428
CP001157.1_5353620_5354573_-	phrog_11123	3.6e-09	32.6	256	7	239
CP001157.1_3518219_3519454_-	phrog_11129	1e-153	56.8	411	1	57
CP001157.1_3518219_3519454_-	phrog_11129	1e-153	456.0	411	62	400
CP001157.1_4076332_4076871_-	phrog_11138	7e-07	25.9	179	102	161
CP001157.1_3607636_3608505_-	phrog_1112	5e-17	56.8	289	11	235
CP001157.1_3440073_3441089_-	phrog_11145	1.2e-49	165.5	338	11	314
CP001157.1_3469650_3470867_-	phrog_11145	2.7e-45	151.1	405	65	398
CP001157.1_5279263_5280216_+	phrog_11145	1.7e-30	102.7	317	2	302
CP001157.1_5081976_5082908_+	phrog_11145	2e-27	92.6	310	27	301
CP001157.1_5101182_5102192_-	phrog_11145	7.2e-27	90.5	336	56	332
CP001157.1_5080861_5081787_+	phrog_11145	2.9e-21	72.3	308	24	299
CP001157.1_5090890_5091942_+	phrog_11145	1.5e-17	59.0	350	13	210
CP001157.1_4408511_4409497_-	phrog_11145	8.9e-08	27.9	328	71	326
CP001157.1_4407507_4408514_-	phrog_11145	3.7e-07	25.7	282	19	280
CP001157.1_4336218_4337345_-	phrog_11153	1.8e-13	46.9	375	6	68
