Target Name	ID	EC value	E-Value (sequence)	Score (domain)
NZ_CP030761.1_596	COG0001		2.5e-141	469.4
NZ_CP030760.1_4668	COG0002		5.5e-82	272.5
NZ_CP030760.1_2752	COG0004		4.2e-173	573.7
NZ_CP030760.1_3133	COG0005		9.6e-93	307.8
NZ_CP030763.1_47	COG0006		1.3e-101	337.8
NZ_CP030760.1_1414	COG0006		5.5e-100	296.7
NZ_CP030760.1_1608	COG0006		6.8e-81	269.4
NZ_CP030761.1_131	COG0006		2.5e-60	201.6
NZ_CP030760.1_1414	COG0006		5.5e-100	33.9
NZ_CP030760.1_976	COG0007		1.8e-112	373.6
NZ_CP030760.1_2367	COG0008		2.1e-163	542.2
NZ_CP030760.1_2521	COG0008		8.9e-96	319.0
NZ_CP030760.1_3878	COG0009		3.3e-115	382.7
NZ_CP030763.1_700	COG0010		1.8e-101	337.0
NZ_CP030760.1_4669	COG0010		4.5e-98	325.8
NZ_CP030760.1_2653	COG0010		2.3e-97	323.3
NZ_CP030760.1_2592	COG0010		9.6e-90	298.1
NZ_CP030760.1_1618	COG0012		8.6e-173	571.5
NZ_CP030760.1_793	COG0013		0	1268.8
NZ_CP030763.1_123	COG0013		1.8e-34	84.1
NZ_CP030763.1_123	COG0013		1.8e-34	30.5
NZ_CP030760.1_2874	COG0014		3e-189	626.3
NZ_CP030760.1_754	COG0015		1.5e-188	624.5
NZ_CP030762.1_123	COG0015		4.9e-154	510.6
NZ_CP030764.1_587	COG0015		4.2e-94	310.2
NZ_CP030760.1_3194	COG0016		3e-163	541.4
NZ_CP030760.1_2206	COG0017		2.2e-135	448.8
NZ_CP030760.1_287	COG0018		9.5e-192	635.7
NZ_CP030760.1_2534	COG0019		1.2e-170	565.4
NZ_CP030760.1_2338	COG0019		2.7e-115	382.8
NZ_CP030760.1_414	COG0020		4.1e-126	418.8
NZ_CP030760.1_2128	COG0021		0	1032.4
NZ_CP030760.1_431	COG0022		3.8e-186	617.7
NZ_CP030763.1_13	COG0022		2.4e-176	585.5
NZ_CP030760.1_334	COG0024		8.6e-127	419.7
NZ_CP030760.1_1705	COG0024		5.9e-89	295.3
NZ_CP030760.1_1156	COG0025		2.7e-114	380.1
NZ_CP030761.1_192	COG0025		7.7e-114	378.6
NZ_CP030760.1_2174	COG0026		2.7e-166	550.4
NZ_CP030760.1_1375	COG0028		4.3e-242	802.0
NZ_CP030760.1_601	COG0028		9.1e-210	695.3
NZ_CP030761.1_475	COG0028		1.7e-195	648.0
NZ_CP030760.1_1468	COG0028		2.9e-188	624.2
NZ_CP030761.1_109	COG0028		4.4e-183	606.8
NZ_CP030764.1_494	COG0029		5.4e-186	614.3
NZ_CP030760.1_4563	COG0030		7.3e-99	328.1
NZ_CP030760.1_3261	COG0031		5.2e-153	507.2
NZ_CP030760.1_218	COG0031		1.1e-128	427.0
NZ_CP030761.1_1007	COG0031		1.6e-33	113.1
NZ_CP030760.1_2300	COG0033		2.7e-185	613.7
NZ_CP030760.1_4542	COG0034		1.7e-206	683.9
NZ_CP030760.1_3137	COG0035		1.6e-103	342.1
NZ_CP030760.1_751	COG0036		1e-122	407.9
NZ_CP030761.1_237	COG0036		4.9e-59	197.7
NZ_CP030760.1_779	COG0037		5.7e-88	293.2
NZ_CP030760.1_2089	COG0037		1.8e-65	218.9
NZ_CP030760.1_986	COG0038		2.7e-139	462.3
NZ_CP030760.1_2638	COG0039		9.3e-142	469.6
NZ_CP030760.1_3800	COG0040		3.2e-77	257.6
NZ_CP030760.1_2173	COG0041		1.8e-91	304.5
NZ_CP030760.1_444	COG0042		2e-118	392.6
NZ_CP030760.1_1095	COG0042		2e-109	363.0
NZ_CP030760.1_2659	COG0043		3.3e-127	422.0
NZ_CP030760.1_1917	COG0044		2.4e-163	541.4
NZ_CP030760.1_2677	COG0044		8e-151	500.1
NZ_CP030760.1_58	COG0044		3e-148	491.5
NZ_CP030760.1_3289	COG0044		3.8e-111	369.1
NZ_CP030760.1_2637	COG0045		2.4e-176	583.9
NZ_CP030760.1_767	COG0046		0	1105.6
NZ_CP030760.1_762	COG0047		8.9e-91	302.3
NZ_CP030760.1_84	COG0048		3.2e-75	249.2
NZ_CP030760.1_85	COG0049		5.8e-84	277.3
NZ_CP030760.1_72	COG0050		7.1e-258	854.8
NZ_CP030760.1_87	COG0050		7.1e-258	854.8
NZ_CP030760.1_88	COG0051		1e-57	191.0
NZ_CP030760.1_410	COG0052		1.3e-125	416.0
NZ_CP030760.1_1658	COG0053		3.3e-107	355.7
NZ_CP030760.1_4627	COG0054		9.6e-56	185.2
NZ_CP030760.1_1285	COG0054		2.5e-43	144.6
NZ_CP030760.1_2615	COG0055		2.9e-258	854.9
NZ_CP030760.1_2617	COG0056		2e-269	892.7
NZ_CP030760.1_2129	COG0057		3.9e-189	627.3
NZ_CP030760.1_2296	COG0058		3.2e-257	852.7
NZ_CP030760.1_1335	COG0059		1.1e-165	547.6
NZ_CP030760.1_3808	COG0060		0	1157.6
NZ_CP030760.1_67	COG0061		3.5e-69	231.2
NZ_CP030760.1_559	COG0062		3e-156	517.8
NZ_CP030760.1_347	COG0064		2.6e-271	900.4
