locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
DAEG01000099.1_1_2_412_+												Hypothetical
DAEG01000099.1_1_445_747_+		K04794	COG1990		phrog_1866	VOG00385	COG:COG1990	100	9.4e-35	116.1		Pth2; 
DAEG01000099.1_1_785_928_-												Hypothetical
DAEG01000099.1_2_2_274_-												Hypothetical
DAEG01000099.1_2_476_1759_+	K01915	K01915	COG0174		phrog_21628	VOG09835	COG:COG0174	427	6.4e-172	568.4		GlnA; Glutamine biosynthesis
DAEG01000099.1_2_1775_2374_+	K02501	K02501	COG0118				COG:COG0118	199	1.2e-77	258.5		HisH; Histidine biosynthesis
DAEG01000099.1_2_2375_3124_+	K02500	K02500	COG0107				COG:COG0107	249	1.9e-95	316.5		HisF; Histidine biosynthesis
DAEG01000099.1_2_3360_3521_-												Hypothetical
DAEG01000099.1_2_3915_4292_-												Hypothetical
DAEG01000099.1_2_4442_5713_-	K02316	K02316	COG0358		phrog_6444	VOG00229	COG:COG0358	423	2.7e-21	71.1		DnaG; 
DAEG01000099.1_2_5859_6233_-												Hypothetical
DAEG01000099.1_2_6263_7105_+	K07704	K07704					FOAM:K07704	280	9.1e-15	50.4	2.7.13.3	lytS; two-component system, LytTR family, sensor histidine kinase LytS
DAEG01000099.1_2_7255_8736_-		K06915	COG0433		phrog_7035	VOG01157	COG:COG0433	493	7.7e-72	239.0		HerA; 
DAEG01000099.1_2_8738_9511_-												Hypothetical
DAEG01000099.1_2_9544_10146_+		K18532	COG1936				COG:COG1936	200	1.7e-49	164.6		Fap7; 
DAEG01000099.1_2_10148_10726_+		K17884	COG0558			VOG17505	KEGG:K17884	192	9.1e-46	152.7	2.7.8.39	E2.7.8.39; archaetidylinositol phosphate synthase
DAEG01000099.1_2_10756_11493_+		K23265	COG0047			VOG05614	COG:COG0047	245	1.1e-79	264.5		PurL2; Purine biosynthesis
DAEG01000099.1_2_11892_12203_-												Hypothetical
DAEG01000099.1_2_12263_12631_-												Hypothetical
DAEG01000099.1_2_12866_13477_-	K01448	K01448	COG0860		phrog_435	VOG37273	COG:COG0860	203	7.3e-83	275.0		AmiC; 
DAEG01000099.1_2_13520_14731_-		K04800	COG0470		phrog_11838	VOG02490	KEGG:K04800	403	5.6e-126	416.8		rfcL; replication factor C large subunit
