	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
KC292028_KC292028.1_1	KC292028	KC292028.1	1	1	426	1	E											0
KC292028_KC292028.1_2	KC292028	KC292028.1	2	423	755	1	E											0
KC292028_KC292028.1_3	KC292028	KC292028.1	3	755	1258	1	E											0
KC292028_KC292028.1_4	KC292028	KC292028.1	4	1262	1468	1	E											0
KC292028_KC292028.1_5	KC292028	KC292028.1	5	1465	2055	1	D										DnaJ domain [PF00226.34]	0
KC292028_KC292028.1_6	KC292028	KC292028.1	6	2052	2564	1	C	K06940	uncharacterized protein									0
KC292028_KC292028.1_7	KC292028	KC292028.1	7	2554	2751	1	E											0
KC292028_KC292028.1_8	KC292028	KC292028.1	8	2748	3158	1	E											0
KC292028_KC292028.1_9	KC292028	KC292028.1	9	3158	3331	1	E											0
KC292028_KC292028.1_10	KC292028	KC292028.1	10	3554	5134	1	D										ParB/Sulfiredoxin domain [PF02195.21]	0
KC292028_KC292028.1_11	KC292028	KC292028.1	11	5141	5782	1	D										DNA methylase [PF01555.21]	0
KC292028_KC292028.1_12	KC292028	KC292028.1	12	5779	6123	1	E											0
KC292028_KC292028.1_13	KC292028	KC292028.1	13	6398	7009	1	E											0
KC292028_KC292028.1_14	KC292028	KC292028.1	14	7116	7439	1	E											0
KC292028_KC292028.1_15	KC292028	KC292028.1	15	7439	8254	1	C	K06223	DNA adenine methylase [EC:2.1.1.72]								D12 class N6 adenine-specific DNA methyltransferase [PF02086.18]	0
KC292028_KC292028.1_16	KC292028	KC292028.1	16	8247	8603	1	E											0
KC292028_KC292028.1_17	KC292028	KC292028.1	17	8687	9007	1	E											1
KC292028_KC292028.1_18	KC292028	KC292028.1	18	9138	9461	1	E											1
KC292028_KC292028.1_19	KC292028	KC292028.1	19	9466	11130	1	C	K06909	phage terminase large subunit								Phage terminase large subunit [PF04466.16]; Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	0
KC292028_KC292028.1_20	KC292028	KC292028.1	20	11207	13567	1	D										Phage portal protein [PF04860.15]	0
KC292028_KC292028.1_21	KC292028	KC292028.1	21	13567	13866	1	E											0
KC292028_KC292028.1_22	KC292028	KC292028.1	22	13866	15224	1	E											0
KC292028_KC292028.1_23	KC292028	KC292028.1	23	15228	15494	1	E											0
KC292028_KC292028.1_24	KC292028	KC292028.1	24	15494	15865	1	E											0
KC292028_KC292028.1_25	KC292028	KC292028.1	25	16116	17564	1	E											0
KC292028_KC292028.1_26	KC292028	KC292028.1	26	17959	19533	1	D										Putative phage serine protease XkdF [PF14550.9]	0
KC292028_KC292028.1_27	KC292028	KC292028.1	27	19535	20716	1	E											0
KC292028_KC292028.1_28	KC292028	KC292028.1	28	20720	20995	1	E											0
KC292028_KC292028.1_29	KC292028	KC292028.1	29	21043	21789	1	E											0
KC292028_KC292028.1_30	KC292028	KC292028.1	30	21792	22346	1	E											0
KC292028_KC292028.1_31	KC292028	KC292028.1	31	22346	22822	1	E											0
KC292028_KC292028.1_32	KC292028	KC292028.1	32	22833	23159	1	E											0
KC292028_KC292028.1_33	KC292028	KC292028.1	33	23162	24142	1	D										Phage tail tube protein [PF18906.3]	0
KC292028_KC292028.1_34	KC292028	KC292028.1	34	24176	24652	1	E											0
KC292028_KC292028.1_35	KC292028	KC292028.1	35	24685	25143	1	E											0
KC292028_KC292028.1_36	KC292028	KC292028.1	36	25147	26454	1	E											0
KC292028_KC292028.1_37	KC292028	KC292028.1	37	26470	26913	1	E											0
KC292028_KC292028.1_38	KC292028	KC292028.1	38	26921	28390	1	E											0
KC292028_KC292028.1_39	KC292028	KC292028.1	39	28390	29193	1	E											0
KC292028_KC292028.1_40	KC292028	KC292028.1	40	29196	30191	1	E											0
KC292028_KC292028.1_41	KC292028	KC292028.1	41	30313	31185	-1	E											0
KC292028_KC292028.1_42	KC292028	KC292028.1	42	31564	32091	-1	E											0
KC292028_KC292028.1_43	KC292028	KC292028.1	43	32078	32455	-1	E											0
KC292028_KC292028.1_44	KC292028	KC292028.1	44	32455	32625	-1	E											0
KC292028_KC292028.1_45	KC292028	KC292028.1	45	32622	32939	-1	E											0
KC292028_KC292028.1_46	KC292028	KC292028.1	46	32936	33157	-1	E											0
KC292028_KC292028.1_47	KC292028	KC292028.1	47	33154	33408	-1	E											0
KC292028_KC292028.1_48	KC292028	KC292028.1	48	33405	33500	-1	E											0
KC292028_KC292028.1_49	KC292028	KC292028.1	49	33500	34135	-1	E											0
