pVOGs	Host Domain	Number of Sequences	Number of Genomes	Number of Virus Families	Number of Virus Genera	Protein Annotations	Mapping to POGs 2013
VOG0001	Bacteria	16	16	2	2	-; G V protein; V; V protein; helix destabilising protein; hypotheical protein; hypothetical protein; protein V; single-stranded DNA binding protein	Mapped to: POG0001
VOG0002	Bacteria	12	12	1	1	-; VIII; VIII protein; major coat protein; protein VIII	Mapped to: POG0002
VOG0005	Bacteria	15	15	1	1	-; IV; IV protein; phage assembly protein; phage morphogenesis protein; protein IV	Mapped to: POG0005
VOG0006	Bacteria	10	10	1	1	RstR protein; Vpf491; Vpf504; hypothetical protein; memb3; minor capsid protein; putative adsorption protein; receptor-binding protein	Mapped to: POG0006
VOG0007	Bacteria	9	9	1	1	Vpf104; hypothetical protein; putative minor capsid protein; putative minor coat protein	Mapped to: POG0007
VOG0008	Bacteria	5	5	1	1	conserved hypothetical protein; hypothetical protein	Mapped to: POG0008
VOG0009	Bacteria	9	9	1	1	hypothetical protein; putative predicted product; putative transcription regulator; putative transcriptional regulator LysR family protein	Mapped to: POG0009
VOG0010	Bacteria	23	23	4	4	18.2K protein; gp24, hypothetical protein; helix-turn-helix domain protein; hypothetical protein; putative predicted product; putative regulator protein; regulatory protein	Mapped to: POG0010
VOG0011	Bacteria	5	5	1	1	DNA primase; hypothetical protein; prim-VSK; putative predicted product	Mapped to: POG0011
VOG0012	Bacteria	3	3	1	1	hypothetical protein	Mapped to: POG0012
VOG0013	Bacteria	25	24	1	1	DNA replication initiation protein; RstA; RstA protein; Vpf402; hypothetical protein; phage replication protein; putative phage DNA replicase; putative predicted product; putative replication protein	Mapped to: POG0013
VOG0014	Bacteria	11	11	1	1	RstB protein; Vpf117; hypothetical protein	Mapped to: POG0014
VOG0015	Bacteria	7	7	1	1	Vpf77; major capsid protein; putative major capsid protein; putative major coat protein; putative major coat protein precursor	Mapped to: POG0015
VOG0016	Bacteria	41	40	1	3	Putative S-adenosyl-L-methionine hydrolase; S-adenosyl-L-methionine hydrolase; S-adenosyl-L-methionine hydrolase,phage-associated; S-adenosyl-L-methionine hydrolase-like protein; anti-restriction SAMase; gp0.3; hypothetical protein; putative S-adenosyl-L-methionine hydrolase; s-adenosyl-l-methionine hydrolase	Mapped to: POG0016
VOG0017	Bacteria	15	15	1	1	1.05 protein; gene 1.05 protein; hypothetical protein	Mapped to: POG0017
