	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_002796_1	NC_002796	NC_002796	1	77	550	1	D			YP_010133221.1	YP_010133221.1 terminase small subunit [Lactococcus phage BK5-T]	False	0.966	321.0	2.644e-100								Phage terminase, small subunit [PF05119.15]	VOG00738	REFSEQ terminase small subunit; Xu	Xu	0	False	F
NC_002796_2	NC_002796	NC_002796	2	540	2510	1	D			YP_010133222.1	YP_010133222.1 terminase large subunit [Lactococcus phage BK5-T]	True	0.969	1340.0	0.0								Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]	VOG04588	REFSEQ terminase large subunit; Xu	Xu	0	False	F
NC_002796_3	NC_002796	NC_002796	3	2479	2688	1	D			YP_010133224.1	YP_010133224.1 DUF1056 family protein [Lactococcus phage BK5-T]	False	0.915	134.0	4.132e-37								Protein of unknown function (DUF1056) [PF06341.14]	VOG09139	REFSEQ head-tail connector protein; Xu	Xu	0	False	F
NC_002796_4	NC_002796	NC_002796	4	2691	3863	1	D			NP_076677.1	NP_076677.1 portal protein [Lactococcus phage bIL286]	True	0.958	787.0	4.218e-257								Phage portal protein [PF04860.15]	VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xr;Xs;Xp;Xh	0	False	VF
NC_002796_5	NC_002796	NC_002796	5	3909	4619	1	C	K01358	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	NP_116498.1	NP_116498.1 head maturation protease [Lactococcus phage BK5-T]	True	0.937	466.0	1.112e-148	MER0026282	S49C	MER0026282 - subfamily S49C unassigned peptidases () [S49.UPC]#S49C#{peptidase unit: 36-194}~source Q94MB0~	False	0.922	309.0	4.5439999999999997e-94	Clp protease [PF00574.26]; Serine dehydrogenase proteinase [PF01972.19]	VOG07465	sp|P03711|SCAF_LAMBD Capsid assembly protease C; XhXs	Xs;Xh	0	False	VPF
NC_002796_6	NC_002796	NC_002796	6	4631	5845	1	D			YP_010133227.1	YP_010133227.1 major head protein [Lactococcus phage BK5-T]	True	0.924	782.0	3.55e-255								Phage capsid family [PF05065.16]	VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0	False	VF
NC_002796_7	NC_002796	NC_002796	7	5853	6176	1	E			YP_010133228.1	YP_010133228.1 head-tail connector protein [Lactococcus phage BK5-T]	False	0.967	220.0	4.175e-66									VOG00201	REFSEQ head-tail adaptor Ad1; Xu	Xu	0	False	
NC_002796_8	NC_002796	NC_002796	8	6151	6504	1	E			YP_010133229.1	YP_010133229.1 head closure protein [Lactococcus phage BK5-T]	False	0.926	229.0	4.738e-69									VOG00080	sp|O48446|HCP16_BPSPP Head completion protein gp16; XpXrXs	Xr;Xs;Xp	0	False	V
NC_002796_9	NC_002796	NC_002796	9	6506	7012	1	E			YP_010133230.1	YP_010133230.1 HK97 gp10 family protein [Lactococcus phage BK5-T]	False	0.947	336.0	3.797e-105												0	False	
NC_002796_10	NC_002796	NC_002796	10	7009	7404	1	D			YP_010133231.1	YP_010133231.1 tail protein [Lactococcus phage BK5-T]	False	0.943	261.0	5.254e-80								Protein of unknown function (DUF806) [PF05657.14]	VOG02505	REFSEQ tail protein; Xu	Xu	0	False	
NC_002796_11	NC_002796	NC_002796	11	7435	8028	1	D			YP_010133232.1	YP_010133232.1 tail protein [Lactococcus phage BK5-T]	True	0.947	394.0	1.491e-124								Phage tail tube protein [PF04630.15]	VOG01008	sp|O48449|TUBE_BPSPP Tail tube protein gp17.1*; XpXrXs	Xr;Xs;Xp	0	False	V
NC_002796_12	NC_002796	NC_002796	12	8173	8592	1	D			YP_010133233.1	YP_010133233.1 tail protein [Lactococcus phage BK5-T]	False	0.884	258.0	1.323e-78								Phage tail assembly chaperone proteins, TAC [PF06896.14]	VOG01957	REFSEQ tail protein; Xu	Xu	0	False	
NC_002796_13	NC_002796	NC_002796	13	8821	9312	1	D			YP_010133234.1	YP_010133234.1 zinc ribbon domain-containing protein [Lactococcus phage BK5-T]	False	0.906	310.0	2.425e-96								zinc-ribbon domain [PF13240.9]; zinc-ribbon domain [PF13248.9]; Double zinc ribbon [PF12773.10]	VOG02697	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_002796_14	NC_002796	NC_002796	14	9394	14535	1	D			YP_010133235.1	YP_010133235.1 tail length tape measure protein [Lactococcus phage BK5-T]	True	0.897	3203.0	0.0								Phage-related minor tail protein [PF10145.12]	VOG28351	REFSEQ tail length tape measure protein; Xu	Xu	0	False	
NC_002796_15	NC_002796	NC_002796	15	14532	16178	1	D			YP_010133236.1	YP_010133236.1 distal tail protein Dit [Lactococcus phage BK5-T]	True	0.976	1129.0	0.0								Phage tail protein [PF05709.14]	VOG00298	sp|O48459|DIT_BPSPP Distal tail protein; XpXrXs	Xr;Xs;Xp	0	False	V
NC_002796_16	NC_002796	NC_002796	16	16178	21892	1	D			YP_010133238.1	YP_010133238.1 tail protein [Lactococcus phage BK5-T]	True	0.971	3895.0	0.0								Receptor-binding protein of phage tail base-plate Siphoviridae, head [PF08931.13]; Prophage endopeptidase tail [PF06605.14]	VOG00644	REFSEQ tail fiber protein; host specificity; Xu	Xu	0	False	
NC_002796_17	NC_002796	NC_002796	17	21907	22143	1	E			YP_010133244.1	YP_010133244.1 hypothetical protein K3164_gp24 [Lactococcus phage BK5-T]	False	0.931	154.0	6.293e-44									VOG20524	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_002796_18	NC_002796	NC_002796	18	22156	22383	1	D			YP_010133245.1	YP_010133245.1 holin [Lactococcus phage BK5-T]	False	0.928	148.0	8.578000000000001e-42								Haemolysin XhlA [PF10779.12]	VOG00687	sp|P37135|YAF1_BACLI Uncharacterized 11.0 kDa protein in cwlL 5'region; Xu	Xu	0	False	
NC_002796_19	NC_002796	NC_002796	19	22396	22683	1	D			YP_009900669.1	YP_009900669.1 holin [Lactococcus phage Q33]	False	0.938	189.0	1.185e-55								SPP1 phage holin [PF04688.16]	VOG02679	sp|P36549|YAF2_BACLI Uncharacterized 9.7 kDa protein in cwlL 5'region; Xu	Xu	0	False	
NC_002796_20	NC_002796	NC_002796	20	22683	23462	1	D			YP_010133247.1	YP_010133247.1 endolysin [Lactococcus phage BK5-T]	True	0.958	524.0	1.783e-168	MER0165955	C40	MER0165955 - family C40 unassigned peptidases () [C40.UPW]#C40#{peptidase unit: 31-134}~source ABD63798~	False	0.969	214.0	5.303e-61	Bacteriophage peptidoglycan hydrolase [PF05382.16]; Prophage endopeptidase tail [PF06605.14]				0	False	P
NC_002796_21	NC_002796	NC_002796	21	23472	23597	1	E																				0	False	
NC_002796_22	NC_002796	NC_002796	22	23679	25289	1	D			YP_010133250.1	YP_010133250.1 hypothetical protein K3164_gp30 [Lactococcus phage BK5-T]	True	0.952	1074.0	0.0								SIR2-like domain [PF13289.9]	VOG32333	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_002796_23	NC_002796	NC_002796	23	25911	27035	-1	C	K14059	integrase	YP_010133252.1	YP_010133252.1 integrase [Lactococcus phage BK5-T]	True	0.968	764.0	2.3649999999999997e-249								Phage integrase family [PF00589.25]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	False	V
NC_002796_24	NC_002796	NC_002796	24	27173	27949	-1	D			YP_010133253.1	YP_010133253.1 glycoside hydrolase, family 25 [Lactococcus phage BK5-T]	True	0.98	535.0	2.494e-172								Repeat of unknown function (DUF5648) [PF18885.3]				0	False	
