	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
MN901520_MN901520.1_1	MN901520	MN901520.1	1	398	868	-1	D										Halobacterial output domain 1 [PF18545.4]	0
MN901520_MN901520.1_2	MN901520	MN901520.1	2	1277	2053	1	E											0
MN901520_MN901520.1_3	MN901520	MN901520.1	3	2046	2309	1	E											0
MN901520_MN901520.1_4	MN901520	MN901520.1	4	2420	2527	1	E											0
MN901520_MN901520.1_5	MN901520	MN901520.1	5	2531	2725	1	E											0
MN901520_MN901520.1_6	MN901520	MN901520.1	6	2761	2967	1	E											0
MN901520_MN901520.1_7	MN901520	MN901520.1	7	3060	4751	1	E											0
MN901520_MN901520.1_8	MN901520	MN901520.1	8	4766	6205	1	E											0
MN901520_MN901520.1_9	MN901520	MN901520.1	9	6208	6492	1	E											0
MN901520_MN901520.1_10	MN901520	MN901520.1	10	6489	7253	1	E											0
MN901520_MN901520.1_11	MN901520	MN901520.1	11	7260	7691	1	E											0
MN901520_MN901520.1_12	MN901520	MN901520.1	12	7715	8230	1	E											0
MN901520_MN901520.1_13	MN901520	MN901520.1	13	8272	9228	1	E											0
MN901520_MN901520.1_14	MN901520	MN901520.1	14	9272	9715	1	E											0
MN901520_MN901520.1_15	MN901520	MN901520.1	15	9715	10053	1	E											0
MN901520_MN901520.1_16	MN901520	MN901520.1	16	10056	13169	1	E											0
MN901520_MN901520.1_17	MN901520	MN901520.1	17	13171	13392	1	E											0
MN901520_MN901520.1_18	MN901520	MN901520.1	18	13429	13938	1	E											0
MN901520_MN901520.1_19	MN901520	MN901520.1	19	13947	15239	1	E											0
MN901520_MN901520.1_20	MN901520	MN901520.1	20	15268	15810	1	E											0
MN901520_MN901520.1_21	MN901520	MN901520.1	21	15863	16333	1	E											0
MN901520_MN901520.1_22	MN901520	MN901520.1	22	16281	16649	1	E											0
MN901520_MN901520.1_23	MN901520	MN901520.1	23	16652	18469	1	E											0
MN901520_MN901520.1_24	MN901520	MN901520.1	24	18470	19003	1	E											0
MN901520_MN901520.1_25	MN901520	MN901520.1	25	19000	20442	1	E											0
MN901520_MN901520.1_26	MN901520	MN901520.1	26	20444	22306	1	E											0
MN901520_MN901520.1_27	MN901520	MN901520.1	27	22306	22668	1	E											0
MN901520_MN901520.1_28	MN901520	MN901520.1	28	22733	23059	1	E											0
MN901520_MN901520.1_29	MN901520	MN901520.1	29	23056	24291	1	D										Baseplate J-like protein [PF04865.17]	0
MN901520_MN901520.1_30	MN901520	MN901520.1	30	24296	24946	1	E											0
