	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
MZ334517.1_1	MZ334517	MZ334517.1	1	66	359	1	E													0	False	F
MZ334517.1_2	MZ334517	MZ334517.1	2	898	1785	1	E			YP_008059985.1	YP_008059985.1 terminase small subunit [Halorubrum tailed phage 7]	True	0.974	608.0	9.192e-197		VOG05559	REFSEQ terminase small subunit; Xu	Xu	0	False	F
MZ334517.1_3	MZ334517	MZ334517.1	3	1775	2065	1	E			YP_008059986.1	YP_008059986.1 hypothetical protein M193_gp002 [Halorubrum tailed phage 7]	False	1.0	211.0	3.493e-63		VOG04981	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MZ334517.1_4	MZ334517	MZ334517.1	4	2072	2194	1	E			YP_008059987.1	YP_008059987.1 hypothetical protein M193_gp003 [Halorubrum tailed phage 7]	False	0.967	84.0	3.965e-20					0	False	F
MZ334517.1_5	MZ334517	MZ334517.1	5	2187	2516	1	E			YP_008059988.1	YP_008059988.1 hypothetical protein M193_gp004 [Halorubrum tailed phage 7]	False	0.954	221.0	2.447e-66					0	False	F
MZ334517.1_6	MZ334517	MZ334517.1	6	2769	2978	1	E			YP_008059990.1	YP_008059990.1 hypothetical protein M193_gp006 [Halorubrum tailed phage 7]	False	0.964	142.0	7.332e-40					0	False	F
MZ334517.1_7	MZ334517	MZ334517.1	7	2991	4763	1	D			YP_007379086.1	YP_007379086.1 terminase large subunit [Halorubrum sodomense tailed virus 2]	True	0.958	1190.0	0.0	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
MZ334517.1_8	MZ334517	MZ334517.1	8	4770	6287	1	E			YP_007379087.1	YP_007379087.1 portal protein [Halorubrum sodomense tailed virus 2]	True	0.947	1005.0	0.0		VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	F
MZ334517.1_9	MZ334517	MZ334517.1	9	6290	6574	1	E			YP_008059993.1	YP_008059993.1 hypothetical protein M193_gp009 [Halorubrum tailed phage 7]	False	0.888	176.0	3.842e-51					0	False	
MZ334517.1_10	MZ334517	MZ334517.1	10	6571	7731	1	E			YP_007379089.1	YP_007379089.1 hypothetical protein HSTV2_10 [Halorubrum sodomense tailed virus 2]	True	0.97	791.0	2.0530000000000002e-258		VOG14382	REFSEQ head maturation protease; Xu	Xu	0	False	
MZ334517.1_11	MZ334517	MZ334517.1	11	7740	8213	1	E			YP_008059995.1	YP_008059995.1 hypothetical protein M193_gp011 [Halorubrum tailed phage 7]	False	0.924	306.0	8.042e-95					0	False	
MZ334517.1_12	MZ334517	MZ334517.1	12	8217	8753	1	E			YP_008059996.1	YP_008059996.1 hypothetical protein M193_gp012 [Halorubrum tailed phage 7]	True	0.946	356.0	8.598e-112		VOG14381	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334517.1_13	MZ334517	MZ334517.1	13	8800	9774	1	E			YP_008059997.1	YP_008059997.1 major head protein [Halorubrum tailed phage 7]	True	0.975	668.0	5.615e-217		VOG01973	REFSEQ major head protein; Xu	Xu	0	False	
MZ334517.1_14	MZ334517	MZ334517.1	14	9788	10264	1	E			YP_008059998.1	YP_008059998.1 hypothetical protein M193_gp014 [Halorubrum tailed phage 7]	False	0.97	325.0	1.6199999999999998e-101		VOG14383	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334517.1_15	MZ334517	MZ334517.1	15	10251	10640	1	E			YP_008059999.1	YP_008059999.1 hypothetical protein M193_gp015 [Halorubrum tailed phage 7]	False	1.0	281.0	9.077e-87					0	False	
MZ334517.1_16	MZ334517	MZ334517.1	16	10647	12119	1	E			YP_008060000.1	YP_008060000.1 hypothetical protein M193_gp016 [Halorubrum tailed phage 7]	True	0.987	1022.0	0.0					0	False	
MZ334517.1_17	MZ334517	MZ334517.1	17	12109	12339	1	E			YP_008060001.1	YP_008060001.1 hypothetical protein M193_gp017 [Halorubrum tailed phage 7]	False	1.0	167.0	3.1230000000000003e-48					0	False	
MZ334517.1_18	MZ334517	MZ334517.1	18	12340	12555	1	E			YP_008060002.1	YP_008060002.1 hypothetical protein M193_gp018 [Halorubrum tailed phage 7]	False	0.965	147.0	2.491e-41		VOG05018	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334517.1_19	MZ334517	MZ334517.1	19	12559	13071	1	E			YP_007379098.1	YP_007379098.1 tail tube protein [Halorubrum sodomense tailed virus 2]	False	0.958	345.0	4.035e-108		VOG04913	REFSEQ tail tube protein; Xu	Xu	0	False	
MZ334517.1_20	MZ334517	MZ334517.1	20	13079	14392	1	E			YP_007379099.1	YP_007379099.1 tail sheath [Halorubrum sodomense tailed virus 2]	True	0.909	831.0	1.782e-271		VOG01001	sp|P85225|VPN1_BPPHE Putative tail sheath protein; Xs	Xs	0	False	V
MZ334517.1_21	MZ334517	MZ334517.1	21	14421	14942	1	E			YP_007379100.1	YP_007379100.1 tail tube protein [Halorubrum sodomense tailed virus 2]	False	0.895	325.0	3.311e-101		VOG14384	REFSEQ tail tube protein; Xu	Xu	0	False	
MZ334517.1_22	MZ334517	MZ334517.1	22	14982	15515	1	E			YP_007379102.1	YP_007379102.1 tail assembly chaperone [Halorubrum sodomense tailed virus 2]	False	0.905	336.0	4.248e-105		VOG04953	REFSEQ tail assembly chaperone; Xu	Xu	0	False	
MZ334517.1_23	MZ334517	MZ334517.1	23	15544	15813	1	E			YP_008060007.1	YP_008060007.1 tail assembly chaperone [Halorubrum tailed phage 7]	False	0.902	170.0	4.741e-49					0	False	
MZ334517.1_24	MZ334517	MZ334517.1	24	15817	17781	1	E			YP_007379103.1	YP_007379103.1 tail length tape measure protein [Halorubrum sodomense tailed virus 2]	True	0.895	1221.0	0.0		VOG14385	REFSEQ tail length tape measure protein; Xu	Xu	0	False	
MZ334517.1_25	MZ334517	MZ334517.1	25	17781	18308	1	E			YP_007379104.1	YP_007379104.1 hypothetical protein HSTV2_25 [Halorubrum sodomense tailed virus 2]	True	0.998	371.0	3.372e-117		VOG14386	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334517.1_26	MZ334517	MZ334517.1	26	18313	19830	1	E			YP_007379105.1	YP_007379105.1 hypothetical protein HSTV2_26 [Halorubrum sodomense tailed virus 2]	True	0.996	1064.0	0.0		VOG14388	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334517.1_27	MZ334517	MZ334517.1	27	19879	20289	1	E			YP_007379106.1	YP_007379106.1 hypothetical protein HSTV2_27 [Halorubrum sodomense tailed virus 2]	False	0.937	269.0	1.208e-82		VOG14387	REFSEQ baseplate assembly protein V; Xu	Xu	0	False	
MZ334517.1_28	MZ334517	MZ334517.1	28	20289	20654	1	E			YP_007379107.1	YP_007379107.1 hypothetical protein HSTV2_28 [Halorubrum sodomense tailed virus 2]	False	0.946	243.0	1.244e-73		VOG14389	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334517.1_29	MZ334517	MZ334517.1	29	20694	21017	1	E			YP_007379108.1	YP_007379108.1 hypothetical protein HSTV2_29 [Halorubrum sodomense tailed virus 2]	False	0.924	209.0	2.121e-62					0	False	
MZ334517.1_30	MZ334517	MZ334517.1	30	21017	22231	1	D			YP_007379109.1	YP_007379109.1 baseplate wedge subunit [Halorubrum sodomense tailed virus 2]	True	0.897	757.0	2.0240000000000003e-246	Baseplate J-like protein [PF04865.17]	VOG00521	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xs;Xh	0	False	V
MZ334517.1_31	MZ334517	MZ334517.1	31	22228	22995	1	E			YP_007379110.1	YP_007379110.1 hypothetical protein HSTV2_31 [Halorubrum sodomense tailed virus 2]	False	0.908	290.0	1.509e-87					0	False	
MZ334517.1_32	MZ334517	MZ334517.1	32	22995	23867	1	E			NP_542581.2	NP_542581.2 hypothetical protein HrrHF2_520 [Halorubrum phage HF2]	False	0.235	83.0	5.583e-16					0	False	
MZ334517.1_33	MZ334517	MZ334517.1	33	23918	24268	1	E			YP_007379111.1	YP_007379111.1 hypothetical protein HSTV2_32 [Halorubrum sodomense tailed virus 2]	False	0.978	241.0	2.518e-73					0	False	
MZ334517.1_34	MZ334517	MZ334517.1	34	24261	24935	1	E			YP_007379112.1	YP_007379112.1 baseplate protein [Halorubrum sodomense tailed virus 2]	True	0.953	451.0	1.0100000000000001e-143					0	False	
MZ334517.1_35	MZ334517	MZ334517.1	35	24942	26339	1	E			YP_007379113.1	YP_007379113.1 hypothetical protein HSTV2_34 [Halorubrum sodomense tailed virus 2]	True	0.85	794.0	4.628e-258		VOG14390	REFSEQ hypothetical protein; Xu	Xu	0	False	
