target	query	e-value	score	length	start	end
152B_unitig_3|quiver_442016_442723_+	K01031	2.2e-113	375.9	235	1	226
152B_unitig_0|quiver_208989_210602_-	K01026	3.8e-197	654.3	537	2	523
152B_unitig_0|quiver_2046658_2049123_+	K03579	0	1030.2	821	8	820
152B_unitig_0|quiver_1414130_1415176_+	K01501	6.8e-115	382.7	348	5	325
152B_unitig_0|quiver_2259026_2259949_+	K00651	1.3e-137	457.9	307	1	305
152B_unitig_0|quiver_1491657_1494167_-	K03724	2.5e-245	816.2	836	8	828
152B_unitig_0|quiver_3308321_3310063_-	K11927	6.8e-186	617.2	580	22	474
152B_unitig_0|quiver_4456131_4458101_+	K05592	2.8e-181	602.8	656	5	581
152B_unitig_0|quiver_3514705_3516573_+	K03654	3.6e-223	741.7	622	25	616
152B_unitig_0|quiver_4359794_4361419_-	K11927	5e-169	561.7	541	27	500
152B_unitig_0|quiver_1746601_1749720_+	K03726	3.4e-83	278.6	1039	246	978
152B_unitig_0|quiver_4523177_4527511_-	K06877	3.2e-13	33.1	1403	899	1286
152B_unitig_0|quiver_4636650_4638755_+	K03655	5.3e-218	725.0	701	21	680
152B_unitig_0|quiver_2407895_2408833_-	K03417	6.6e-59	197.7	312	9	276
152B_unitig_0|quiver_4823430_4824269_-	K03417	4.2e-34	116.3	279	10	255
152B_unitig_0|quiver_1268200_1269426_-	K24305	2.7e-96	320.9	358	7	344
152B_unitig_0|quiver_1628052_1628822_-	K03417	1.3e-24	85.2	244	4	235
152B_unitig_0|quiver_1307119_1308408_+	K01637	1.2e-207	389.2	429	13	243
152B_unitig_0|quiver_150416_151534_-	K00259	1.2e-168	559.7	372	1	370
152B_unitig_0|quiver_1695196_1696278_-	K19064	2.1e-39	132.4	360	46	338
152B_unitig_2|quiver_465298_466884_+	K00666	1.8e-164	547.1	528	22	516
152B_unitig_0|quiver_1573953_1575653_+	K00666	6.1e-146	486.0	566	35	565
152B_unitig_0|quiver_2577633_2579264_+	K01895	5.7e-150	499.7	543	15	542
152B_unitig_0|quiver_2123571_2125481_+	K01908	0	1065.3	636	3	630
152B_unitig_2|quiver_363061_364590_+	K00666	5.2e-84	281.2	509	5	492
152B_unitig_0|quiver_2127690_2129645_+	K01895	0	1114.4	651	4	647
152B_unitig_0|quiver_939456_942851_-	K05939	0	1353.5	1126	2	1121
152B_unitig_0|quiver_1297077_1299029_-	K01907	1.2e-290	964.2	650	3	648
152B_unitig_0|quiver_3166747_3169596_-	K13587	4.6e-165	499.4	949	447	945
152B_unitig_0|quiver_3166747_3169596_-	K11383	8.1e-55	35.3	949	202	329
152B_unitig_0|quiver_2569630_2571378_-	K03455	3.7e-161	536.5	582	1	407
152B_unitig_0|quiver_2569630_2571378_-	K10914	1.5e-30	105.8	582	414	577
152B_unitig_3|quiver_335275_335742_-	K10914	7.4e-37	126.6	155	7	145
152B_unitig_0|quiver_2371683_2373311_-	K02498	3.1e-140	467.3	542	1	536
152B_unitig_0|quiver_3037541_3039334_-	K09667	1.5e-19	68.3	597	260	560
152B_unitig_0|quiver_3037541_3039334_-	K01768	3.3e-31	106.4	597	5	224
152B_unitig_0|quiver_1125463_1127295_+	K09667	8.6e-39	63.5	610	434	569
152B_unitig_0|quiver_1125463_1127295_+	K09667	8.6e-39	69.2	610	62	419
152B_unitig_0|quiver_2428698_2429477_+	K00235	5.5e-143	475.7	259	24	255
152B_unitig_0|quiver_3505833_3507077_+	K08151	6.6e-146	485.5	414	8	407
152B_unitig_0|quiver_4713466_4714731_+	K08151	4.5e-88	294.7	421	23	408
152B_unitig_0|quiver_725824_727065_+	K08161	8.3e-139	461.7	413	16	408
152B_unitig_0|quiver_4471254_4472681_+	K08166	9.5e-91	302.9	475	15	468
152B_unitig_0|quiver_4333206_4334486_-	K07552	1.2e-105	352.4	426	17	405
152B_unitig_0|quiver_3099950_3101491_+	K03446	8e-180	597.5	513	5	505
152B_unitig_0|quiver_1546903_1548393_+	K03446	4.8e-80	267.5	496	1	481
152B_unitig_0|quiver_2251358_2252896_-	K08166	5.1e-87	290.7	512	9	493
152B_unitig_0|quiver_4334522_4335769_-	K07552	4.2e-112	373.8	415	17	406
152B_unitig_3|quiver_315059_316258_+	K07552	2.3e-135	450.6	399	7	392
152B_unitig_0|quiver_657083_658483_+	K08166	8.1e-91	303.3	466	8	451
152B_unitig_0|quiver_4265750_4267153_-	K18326	2.9e-111	371.0	467	2	454
152B_unitig_0|quiver_1711674_1712924_-	K08224	7.5e-174	577.8	416	17	413
152B_unitig_0|quiver_294026_295210_+	K08153	2.7e-36	123.8	394	23	385
152B_unitig_2|quiver_190832_192250_+	K05548	4.1e-152	505.2	472	59	465
152B_unitig_0|quiver_4026351_4027601_+	K08178	1e-171	570.6	416	4	406
152B_unitig_0|quiver_1219470_1220894_+	K18326	2.1e-113	378.1	474	5	450
152B_unitig_0|quiver_592765_594135_+	K19577	2.7e-135	450.4	456	61	452
152B_unitig_0|quiver_4587729_4588895_+	K08219	1.4e-32	111.4	388	22	385
152B_unitig_0|quiver_4571732_4573006_-	K08369	1.9e-89	299.4	424	20	422
152B_unitig_0|quiver_706894_708348_-	K18326	2.6e-102	341.5	484	15	457
152B_unitig_0|quiver_3313897_3315282_+	K08369	2.4e-132	441.0	461	11	460
152B_unitig_0|quiver_2574334_2575629_-	K08177	1.5e-62	210.5	431	13	420
152B_unitig_3|quiver_445341_446555_+	K08177	6.3e-72	241.2	404	4	388
152B_unitig_0|quiver_129786_131054_+	K02575	2.3e-112	374.5	422	10	405
152B_unitig_0|quiver_364727_365914_+	K18552	5.5e-168	557.7	395	8	392
152B_unitig_3|quiver_177561_178877_-	K08369	2.2e-122	408.1	438	5	437
152B_unitig_0|quiver_1961965_1963596_-	K08217	1.2e-57	194.2	543	15	398
152B_unitig_0|quiver_2369181_2370431_+	K08225	8.7e-74	247.2	416	15	413
152B_unitig_0|quiver_3531437_3532657_+	K08225	1.1e-66	223.9	406	11	402
152B_unitig_0|quiver_4278376_4279596_+	K05820	5.9e-102	339.7	406	18	393
152B_unitig_0|quiver_730902_732521_-	K03446	7.4e-184	610.7	539	21	532
152B_unitig_0|quiver_2721323_2722921_+	K03446	2.7e-186	618.9	532	22	525
152B_unitig_0|quiver_4060475_4061920_+	K18326	2.4e-108	361.4	481	18	473
152B_unitig_0|quiver_3956715_3957941_+	K08174	3.9e-31	106.3	408	25	387
152B_unitig_1|quiver_161826_163415_+	K03446	3.6e-177	588.7	529	8	524
152B_unitig_3|quiver_316402_317691_+	K13021	9.8e-155	514.1	429	4	420
152B_unitig_0|quiver_3483445_3484611_-	K19577	7.3e-136	452.4	388	1	383
152B_unitig_0|quiver_159264_160499_-	K08153	8.9e-29	99.0	411	23	404
152B_unitig_0|quiver_2230447_2231637_+	K08174	6e-35	118.8	396	21	388
152B_unitig_1|quiver_426622_427824_-	K08223	1.1e-159	530.4	400	12	395
152B_unitig_0|quiver_1471545_1472747_+	K08221	6.6e-24	82.5	400	20	393
152B_unitig_3|quiver_159298_160497_+	K03291	7.8e-74	246.9	399	5	393
152B_unitig_2|quiver_266101_267369_+	K08153	8.9e-26	89.0	422	30	415
152B_unitig_0|quiver_4324764_4325939_+	K08174	1.9e-30	104.1	391	7	378
152B_unitig_0|quiver_785153_786421_+	K03291	7.2e-76	253.5	422	22	417
