	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
HQ332141_HQ332141.1_1	HQ332141	HQ332141.1	1	3	377	-1	E											0
HQ332141_HQ332141.1_2	HQ332141	HQ332141.1	2	377	1126	-1	E											0
HQ332141_HQ332141.1_3	HQ332141	HQ332141.1	3	1130	1519	-1	E											0
HQ332141_HQ332141.1_4	HQ332141	HQ332141.1	4	1525	2490	-1	D										Phage capsid family [PF05065.16]	0
HQ332141_HQ332141.1_5	HQ332141	HQ332141.1	5	2490	3761	-1	D										Putative phage serine protease XkdF [PF14550.9]	0
HQ332141_HQ332141.1_6	HQ332141	HQ332141.1	6	3774	3896	-1	E											0
HQ332141_HQ332141.1_7	HQ332141	HQ332141.1	7	4128	6011	-1	D										Phage portal protein [PF04860.15]; KTSC domain [PF13619.9]	0
HQ332141_HQ332141.1_8	HQ332141	HQ332141.1	8	6013	7524	-1	E											0
HQ332141_HQ332141.1_9	HQ332141	HQ332141.1	9	7521	8072	-1	D										Helix-hairpin-helix domain [PF14520.9]; Helix-hairpin-helix motif [PF12826.10]	0
HQ332141_HQ332141.1_10	HQ332141	HQ332141.1	10	8065	8382	-1	E											0
HQ332141_HQ332141.1_11	HQ332141	HQ332141.1	11	8395	8553	-1	E											0
HQ332141_HQ332141.1_12	HQ332141	HQ332141.1	12	8550	10031	-1	E											0
HQ332141_HQ332141.1_13	HQ332141	HQ332141.1	13	10032	10502	-1	E											0
HQ332141_HQ332141.1_14	HQ332141	HQ332141.1	14	10918	11202	-1	E											0
HQ332141_HQ332141.1_15	HQ332141	HQ332141.1	15	11195	11446	-1	E											0
HQ332141_HQ332141.1_16	HQ332141	HQ332141.1	16	11433	11657	-1	E											0
HQ332141_HQ332141.1_17	HQ332141	HQ332141.1	17	11849	12151	-1	E											0
HQ332141_HQ332141.1_18	HQ332141	HQ332141.1	18	12245	12526	-1	E											0
HQ332141_HQ332141.1_19	HQ332141	HQ332141.1	19	12529	12717	-1	E											0
HQ332141_HQ332141.1_20	HQ332141	HQ332141.1	20	12714	12938	-1	E											0
HQ332141_HQ332141.1_21	HQ332141	HQ332141.1	21	12935	13552	-1	D										HD domain [PF01966.25]	0
HQ332141_HQ332141.1_22	HQ332141	HQ332141.1	22	13549	13782	-1	E											0
HQ332141_HQ332141.1_23	HQ332141	HQ332141.1	23	14231	17605	-1	D										Primase C terminal 2 (PriCT-2) [PF08707.14]; Domain of unknown function (DUF927) [PF06048.14]	0
HQ332141_HQ332141.1_24	HQ332141	HQ332141.1	24	17975	18361	-1	E											0
HQ332141_HQ332141.1_25	HQ332141	HQ332141.1	25	18358	18606	-1	E											0
HQ332141_HQ332141.1_26	HQ332141	HQ332141.1	26	18603	19025	-1	E											0
HQ332141_HQ332141.1_27	HQ332141	HQ332141.1	27	19022	19177	-1	E											0
HQ332141_HQ332141.1_28	HQ332141	HQ332141.1	28	19167	19340	-1	E											0
HQ332141_HQ332141.1_29	HQ332141	HQ332141.1	29	19337	19741	-1	E											0
HQ332141_HQ332141.1_30	HQ332141	HQ332141.1	30	19734	20126	-1	E											0
HQ332141_HQ332141.1_31	HQ332141	HQ332141.1	31	20123	20713	-1	D										Helix-hairpin-helix domain [PF14520.9]	0
HQ332141_HQ332141.1_32	HQ332141	HQ332141.1	32	20706	20903	-1	E											0
HQ332141_HQ332141.1_33	HQ332141	HQ332141.1	33	20896	21063	-1	E											0
HQ332141_HQ332141.1_34	HQ332141	HQ332141.1	34	21070	21816	-1	C	K04802	proliferating cell nuclear antigen								Proliferating cell nuclear antigen, C-terminal domain [PF02747.18]; Proliferating cell nuclear antigen, N-terminal domain [PF00705.21]	0
HQ332141_HQ332141.1_35	HQ332141	HQ332141.1	35	21813	21917	-1	E											0
HQ332141_HQ332141.1_36	HQ332141	HQ332141.1	36	22083	22265	-1	E											0
HQ332141_HQ332141.1_37	HQ332141	HQ332141.1	37	22377	22550	1	E											0
HQ332141_HQ332141.1_38	HQ332141	HQ332141.1	38	22681	22920	-1	E											0
HQ332141_HQ332141.1_39	HQ332141	HQ332141.1	39	22923	23138	-1	E											0
HQ332141_HQ332141.1_40	HQ332141	HQ332141.1	40	23131	23304	-1	E											0
HQ332141_HQ332141.1_41	HQ332141	HQ332141.1	41	23297	23443	-1	E											0
HQ332141_HQ332141.1_42	HQ332141	HQ332141.1	42	23436	23678	-1	E											0
HQ332141_HQ332141.1_43	HQ332141	HQ332141.1	43	23749	23994	-1	E											0
HQ332141_HQ332141.1_44	HQ332141	HQ332141.1	44	24215	24586	1	E											0
HQ332141_HQ332141.1_45	HQ332141	HQ332141.1	45	24748	25419	-1	E											0
HQ332141_HQ332141.1_46	HQ332141	HQ332141.1	46	25695	26453	1	D										Phage integrase family [PF00589.25]	0
HQ332141_HQ332141.1_47	HQ332141	HQ332141.1	47	26539	28236	-1	E											0
