	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000916.1_1	QGNH01000916.1	QGNH01000916.1	1	1	681	-1	E					0	False	F
QGNH01000916.1_2	QGNH01000916.1	QGNH01000916.1	2	685	1365	-1	E					0	False	F
QGNH01000916.1_3	QGNH01000916.1	QGNH01000916.1	3	1366	1827	-1	E					0	False	F
QGNH01000916.1_4	QGNH01000916.1	QGNH01000916.1	4	1814	2227	-1	E					0	False	F
QGNH01000916.1_5	QGNH01000916.1	QGNH01000916.1	5	2224	3039	-1	E					0	False	F
QGNH01000916.1_6	QGNH01000916.1	QGNH01000916.1	6	3041	3319	-1	E					0	False	F
QGNH01000916.1_7	QGNH01000916.1	QGNH01000916.1	7	3316	5106	-1	E					0	False	F
QGNH01000916.1_8	QGNH01000916.1	QGNH01000916.1	8	5110	6315	-1	E					0	False	
QGNH01000916.1_9	QGNH01000916.1	QGNH01000916.1	9	6870	7112	-1	E					0	False	
QGNH01000916.1_10	QGNH01000916.1	QGNH01000916.1	10	7112	8038	-1	E					0	False	
QGNH01000916.1_11	QGNH01000916.1	QGNH01000916.1	11	8038	8166	-1	E					0	False	
QGNH01000916.1_12	QGNH01000916.1	QGNH01000916.1	12	8163	9491	-1	E					0	False	
QGNH01000916.1_13	QGNH01000916.1	QGNH01000916.1	13	9502	9801	-1	E					0	False	
QGNH01000916.1_14	QGNH01000916.1	QGNH01000916.1	14	9840	10856	-1	E		VOG11300	REFSEQ major head protein; Xu	Xu	0	False	F
QGNH01000916.1_15	QGNH01000916.1	QGNH01000916.1	15	10889	11632	-1	E					0	False	F
QGNH01000916.1_16	QGNH01000916.1	QGNH01000916.1	16	12242	12478	-1	E					0	False	F
QGNH01000916.1_17	QGNH01000916.1	QGNH01000916.1	17	12475	14418	-1	E					0	False	F
QGNH01000916.1_18	QGNH01000916.1	QGNH01000916.1	18	14415	14951	-1	E					0	False	F
