KO-ID	Name	PC1	PC2	PC3	PC4	PC5
K01959	 pycA; pyruvate carboxylase subunit A	-0.029752057428435553	0.003941194890325149	0.00035532685170808426	-0.0026759887553128065	-0.4510515058132248
K02031	 ddpD; peptide/nickel transport system ATP-binding protein	1.2231342564885459e-15	4.0970861708164075e-15	-2.7638505742529215e-15	1.8078451573575597e-16	-0.8622508523610419
K02032	 ddpF; peptide/nickel transport system ATP-binding protein	-2.798997077978799e-17	-2.7408143590741614e-16	4.601486599141248e-16	-6.766275085173498e-16	0.015362905296803658
K02010	 afuC, fbpC; iron(III) transport system ATP-binding protein	3.1977573212201066e-16	1.0337918650544488e-15	-2.801583374906551e-15	7.698007203106423e-17	-0.22883744117015725
K13004	 wbtD; galacturonosyltransferase WbtD	-0.0	-0.0	0.0	-0.0	0.0
K02056	 ABC.SS.A; simple sugar transport system ATP-binding protein	-0.0	-0.0	0.0	-0.0	0.0
K00382	 DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	-0.029752057428436045	0.003941194890325972	0.00035532685170722546	-0.0026759887553116056	5.5354363595749e-06
K09817	 znuC; zinc transport system ATP-binding protein	-0.0	-0.0	0.0	-0.0	0.0
K02013	 ABC.FEV.A; iron complex transport system ATP-binding protein	-0.0	-0.0	0.0	-0.0	0.0
K08483	 ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I)	-0.010227719330630401	0.05198465752612423	-0.004830542163324279	0.0036948027069003075	0.0002672686206911817
K01897	 ACSL, fadD; long-chain acyl-CoA synthetase	-0.0	-0.0	0.0	-0.0	0.0
K00360	 nasB; assimilatory nitrate reductase electron transfer subunit	-0.00848477420378733	-0.05242836145133841	0.005211135319210799	0.03444387396052854	-0.0004718341113860006
K00219	 fadH; 2,4-dienoyl-CoA reductase (NADPH2)	-0.029752057428436035	0.003941194890325971	0.00035532685170722866	-0.002675988755311605	0.0005658013717401316
K01840	 manB; phosphomannomutase	-0.0	-0.0	0.0	-0.0	0.0
K11072	 potA; spermidine/putrescine transport system ATP-binding protein	-0.0	-0.0	0.0	-0.0	0.0
K00248	 ACADS, bcd; butyryl-CoA dehydrogenase	-0.0	-0.0	0.0	-0.0	0.0
K00249	 ACADM, acd; acyl-CoA dehydrogenase	-0.008420106629925123	-0.02722107046442883	0.07376929635278881	-0.002026984382396293	-5.182198651663701e-05
K01426	 E3.5.1.4, amiE; amidase	-0.029752057428436045	0.003941194890325972	0.00035532685170722546	-0.0026759887553116056	5.5354363595749e-06
K00128	 ALDH; aldehyde dehydrogenase (NAD+)	-0.0	-0.0	0.0	-0.0	0.0
K02768	 fruB; fructose PTS system EIIA component	-0.01604736242085369	0.04026984458126343	0.03827299698091486	0.00280776761294047	0.0004972697386452791
K11183	 fruB, fpr; multiphosphoryl transfer protein	-0.010227719330630401	0.051984657526124224	-0.00483054216332428	0.0036948027069003005	-0.0006023979058696808
K04757	 rsbW; serine/threonine-protein kinase RsbW	-0.0	-0.0	0.0	-0.0	0.0
K14085	 ALDH7A1; aldehyde dehydrogenase family 7 member A1	-0.0	-0.0	0.0	-0.0	0.0
K00155	 LNAA, LNBA; L-tyrosine reductase	-0.029752057428436045	0.003941194890325972	0.00035532685170722546	-0.0026759887553116056	5.5354363595749e-06
K03407	 cheA; two-component system, chemotaxis family, sensor kinase CheA	-0.0	-0.0	0.0	-0.0	0.0
K02482	 flgS; two-component system, NtrC family, sensor kinase	-0.029677727340640975	-0.005470371569324856	0.0012741307881514294	-0.0035262342142125605	0.00046991592313145133
K11711	 dctS; two-component system, LuxR family, sensor histidine kinase DctS	-0.029752057428436045	0.003941194890325972	0.00035532685170722546	-0.0026759887553116056	5.5354363595749e-06
K02509	 hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	0.010227719330630401	-0.051984657526124224	0.00483054216332428	-0.0036948027069003005	0.0006023979058696808
K01835	 pgm; phosphoglucomutase	-0.0	-0.0	0.0	-0.0	0.0
K07683	 nreB; two-component system, NarL family, sensor histidine kinase NreB	-0.029752057428436045	0.003941194890325972	0.00035532685170722546	-0.0026759887553116056	5.5354363595749e-06
K07777	 degS; two-component system, NarL family, sensor histidine kinase DegS	-0.029752057428436045	0.003941194890325971	0.0003553268517072253	-0.0026759887553116056	-0.0004961952520409203
K07642	 baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS	-0.029752057428436045	0.003941194890325972	0.00035532685170722546	-0.0026759887553116056	5.5354363595749e-06
K01537	 ATP2C; P-type Ca2+ transporter type 2C	-0.0	-0.0	0.0	-0.0	0.0
K02476	 K02476; two-component system, CitB family, sensor kinase	-0.029752057428436035	0.003941194890325971	0.00035532685170722866	-0.002675988755311605	0.0005658013717401316
K14519	 aldH; NADP-dependent aldehyde dehydrogenase	-0.0	-0.0	0.0	-0.0	0.0
K00146	 feaB; phenylacetaldehyde dehydrogenase	-0.0	-0.0	0.0	-0.0	0.0
K00206	 phnY; phosphonoacetaldehyde dehydrogenase	-0.0	-0.0	0.0	-0.0	0.0
K00756	 pdp; pyrimidine-nucleoside phosphorylase	-0.0	-0.0	0.0	-0.0	0.0
K07700	 dpiB, citA; two-component system, CitB family, cit operon sensor histidine kinase CitA	-0.0	-0.0	0.0	-0.0	0.0
K01652	 E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	0.010227719330630403	-0.05198465752612423	0.004830542163324279	-0.0036948027069003075	-0.0002672686206911817
K02484	 K02484; two-component system, OmpR family, sensor kinase	-0.029752057428436045	0.003941194890325972	0.00035532685170722546	-0.0026759887553116056	5.5354363595749e-06
K07645	 qseC; two-component system, OmpR family, sensor histidine kinase QseC	-0.0	-0.0	0.0	-0.0	0.0
K00384	 trxB, TRR; thioredoxin reductase (NADPH)	-0.0	-0.0	0.0	-0.0	0.0
K02668	 pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS	-0.029752057428436045	0.003941194890325972	0.00035532685170722546	-0.0026759887553116056	5.5354363595749e-06
K12972	 ghrA; glyoxylate/hydroxypyruvate reductase	-0.0	-0.0	0.0	-0.0	0.0
K07678	 barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA	-0.029752057428436045	0.003941194890325971	0.00035532685170722557	-0.002675988755311605	0.0010842564164206436
K11527	 K11527; two-component system, sensor histidine kinase and response regulator	-0.029752057428436035	0.003941194890325971	0.00035532685170722866	-0.002675988755311605	0.0005658013717401316
K02478	 K02478; two-component system, LytTR family, sensor kinase	-0.0	-0.0	0.0	-0.0	0.0
K01768	 E4.6.1.1; adenylate cyclase	-0.018942037930751627	-0.04270771869794892	0.004649417851313893	-0.005825054276259177	0.000339583179880811
K00758	 deoA, TYMP; thymidine phosphorylase	-0.0	-0.0	0.0	-0.0	0.0
K01955	 carB, CPA2; carbamoyl-phosphate synthase large subunit	-0.029752057428436045	0.003941194890325972	0.00035532685170722546	-0.0026759887553116056	5.5354363595749e-06
K13598	 ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	-0.029752057428436045	0.003941194890325972	0.00035532685170722546	-0.0026759887553116056	5.5354363595749e-06
K07718	 yesM; two-component system, sensor histidine kinase YesM	-0.029752057428436035	0.003941194890325971	0.00035532685170722866	-0.002675988755311605	0.0005658013717401316
K07638	 envZ; two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ	-0.0	-0.0	0.0	-0.0	0.0
K07704	 lytS; two-component system, LytTR family, sensor histidine kinase LytS	-0.0	-0.0	0.0	-0.0	0.0
K07709	 zraS, hydH; two-component system, NtrC family, sensor histidine kinase HydH	-0.029752057428436045	0.003941194890325971	0.00035532685170722557	-0.002675988755311605	0.0010842564164206436
K02844	 waaG, rfaG; UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase	-0.0	-0.0	0.0	-0.0	0.0
K07644	 cusS, copS, silS; two-component system, OmpR family, heavy metal sensor histidine kinase CusS	-0.029752057428436045	0.003941194890325972	0.00035532685170722546	-0.0026759887553116056	5.5354363595749e-06
K06861	 lptB; lipopolysaccharide export system ATP-binding protein	-0.0	-0.0	0.0	-0.0	0.0
K00130	 betB, gbsA; betaine-aldehyde dehydrogenase	-0.0	-0.0	0.0	-0.0	0.0
K07646	 kdpD; two-component system, OmpR family, sensor histidine kinase KdpD	-0.014064733835252984	-0.04876668537340326	0.005120665322855042	-0.005879738376213262	0.000978343614710531
K02486	 K02486; two-component system, sensor kinase	-0.029752057428436045	0.003941194890325972	0.00035532685170722546	-0.0026759887553116056	5.5354363595749e-06
K07677	 rcsC; two-component system, NarL family, capsular synthesis sensor histidine kinase RcsC	-0.029752057428436045	0.003941194890325972	0.00035532685170722546	-0.0026759887553116056	5.5354363595749e-06
K07710	 atoS; two-component system, NtrC family, sensor histidine kinase AtoS	-0.029752057428436035	0.003941194890325971	0.00035532685170722866	-0.002675988755311605	0.0005658013717401316
K00480	 E1.14.13.1; salicylate hydroxylase	-0.0	-0.0	0.0	-0.0	0.0
K02554	 mhpD; 2-keto-4-pentenoate hydratase	-0.0	-0.0	0.0	-0.0	0.0
K00688	 PYG, glgP; glycogen phosphorylase	-0.0	-0.0	0.0	-0.0	0.0
K00971	 manC, cpsB; mannose-1-phosphate guanylyltransferase	-0.0	-0.0	0.0	-0.0	0.0
K01809	 manA, MPI; mannose-6-phosphate isomerase	-0.0170987287137193	-0.03177237239094137	-0.03404204927094351	-0.10498811649972664	-0.00020680557461260685
K00873	 PK, pyk; pyruvate kinase	-0.029752057428436045	0.003941194890325972	0.00035532685170722546	-0.0026759887553116056	5.5354363595749e-06
K00936	 pdtaS; two-component system, sensor histidine kinase PdtaS	-0.0	-0.0	0.0	-0.0	0.0
K01529	 yjjX; inosine/xanthosine triphosphatase	-0.029752057428436035	0.003941194890325971	0.00035532685170722866	-0.002675988755311605	0.0005658013717401316
K01895	 ACSS1_2, acs; acetyl-CoA synthetase	-0.0	-0.0	0.0	-0.0	0.0
K02000	 proV; glycine betaine/proline transport system ATP-binding protein	-0.0	-0.0	0.0	-0.0	0.0
K00529	 hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component	-0.028980697777634373	-0.013037589638413435	0.001997011600482448	-0.004144848461384057	0.0006686115345176585
K13490	 wspE; two-component system, chemotaxis family, sensor histidine kinase and response regulator WspE	-0.0	-0.0	0.0	-0.0	0.0
K13788	 pta; phosphate acetyltransferase	-0.0	-0.0	0.0	-0.0	0.0
K07651	 resE; two-component system, OmpR family, sensor histidine kinase ResE	-0.029752057428436035	0.003941194890325971	0.00035532685170722866	-0.002675988755311605	0.0005658013717401316
K07652	 vicK; two-component system, OmpR family, sensor histidine kinase VicK	-0.029752057428436045	0.003941194890325971	0.00035532685170722557	-0.002675988755311605	0.0010842564164206436
K13587	 cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA	-0.029752057428436035	0.003941194890325971	0.00035532685170722866	-0.002675988755311605	0.0005658013717401316
K11594	 DDX3X, bel; ATP-dependent RNA helicase DDX3X	-0.029752057428436045	0.003941194890325972	0.00035532685170722546	-0.0026759887553116056	5.5354363595749e-06
K12835	 DDX42, SF3B125; ATP-dependent RNA helicase DDX42	-0.029752057428436045	0.003941194890325972	0.00035532685170722546	-0.0026759887553116056	5.5354363595749e-06
K12858	 DDX23, PRP28; ATP-dependent RNA helicase DDX23/PRP28	-0.029752057428436035	0.003941194890325971	0.00035532685170722866	-0.002675988755311605	0.0005658013717401316
K12811	 DDX46, PRP5; ATP-dependent RNA helicase DDX46/PRP5	-0.029752057428436035	0.003941194890325971	0.00035532685170722866	-0.002675988755311605	0.0005658013717401316
K13982	 DDX4, VASA; probable ATP-dependent RNA helicase DDX4	-0.029752057428436035	0.003941194890325971	0.00035532685170722866	-0.002675988755311605	0.0005658013717401316
K13116	 DDX41, ABS; ATP-dependent RNA helicase DDX41	-0.029752057428436035	0.003941194890325971	0.00035532685170722866	-0.002675988755311605	0.0005658013717401316
K01711	 gmd, GMDS; GDPmannose 4,6-dehydratase	-0.0	-0.0	0.0	-0.0	0.0
K01571	 oadA; oxaloacetate decarboxylase (Na+ extruding) subunit alpha	-0.0	-0.0	0.0	-0.0	0.0
K01960	 pycB; pyruvate carboxylase subunit B	-0.029752057428436035	0.003941194890325971	0.00035532685170722866	-0.002675988755311605	0.0005658013717401316
K02489	 hk1; two-component system, glycerol uptake and utilization sensor kinase	-0.029752057428436035	0.003941194890325971	0.00035532685170722866	-0.002675988755311605	0.0005658013717401316
K05366	 mrcA; penicillin-binding protein 1A	-0.0	-0.0	0.0	-0.0	0.0
K01007	 pps, ppsA; pyruvate, water dikinase	-0.029752057428436035	0.003941194890325971	0.00035532685170722866	-0.002675988755311605	0.0005658013717401316
K02363	 entE, dhbE, vibE, mxcE; 2,3-dihydroxybenzoate-AMP ligase	-0.0	-0.0	0.0	-0.0	0.0
K01784	 galE, GALE; UDP-glucose 4-epimerase	-0.0	-0.0	0.0	-0.0	0.0
K00928	 lysC; aspartate kinase	-0.0	-0.0	0.0	-0.0	0.0
K09697	 natA; sodium transport system ATP-binding protein	-0.0	-0.0	0.0	-0.0	0.0
K11154	 RDH16; retinol dehydrogenase 16	-0.0	-0.0	0.0	-0.0	0.0
K00135	 gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	-0.0	-0.0	0.0	-0.0	0.0
K00966	 GMPP; mannose-1-phosphate guanylyltransferase	0.006568869132659005	-0.030876183474861065	0.0034556183510279542	-0.18856459701803582	0.0006543706678356313
K02052	 ABC.SP.A; putative spermidine/putrescine transport system ATP-binding protein	-0.0	-0.0	0.0	-0.0	0.0
K00362	 nirB; nitrite reductase (NADH) large subunit	-0.021401159564287914	-0.03850410024045324	0.004299448012088728	-0.005692782532698211	0.0010886248071956452
K02798	 cmtB; mannitol PTS system EIIA component	-0.010227719330630403	0.05198465752612423	-0.004830542163324279	0.0036948027069003075	0.0002672686206911817
K01995	 livG; branched-chain amino acid transport system ATP-binding protein	-0.0	-0.0	0.0	-0.0	0.0
K02017	 modC; molybdate transport system ATP-binding protein	-0.0	-0.0	0.0	-0.0	0.0
K00845	 glk; glucokinase	-0.0	-0.0	0.0	-0.0	0.0
K05816	 ugpC; sn-glycerol 3-phosphate transport system ATP-binding protein	-0.0	-0.0	0.0	-0.0	0.0
K02341	 holB; DNA polymerase III subunit delta'	-0.0	-0.0	0.0	-0.0	0.0
K01740	 metY; O-acetylhomoserine (thiol)-lyase	-0.0	-0.0	0.0	-0.0	0.0
K09810	 lolD; lipoprotein-releasing system ATP-binding protein	-0.0	-0.0	0.0	-0.0	0.0
K02806	 ptsN; nitrogen PTS system EIIA component	-0.0	-0.0	0.0	-0.0	0.0
K02480	 K02480; two-component system, NarL family, sensor kinase	-0.029752057428436045	0.003941194890325971	0.00035532685170722557	-0.002675988755311605	0.0010842564164206436
K00712	 tagE; poly(glycerol-phosphate) alpha-glucosyltransferase	-0.0	-0.0	0.0	-0.0	0.0
K02769	 fruAb; fructose PTS system EIIB component	-0.02076928709593919	0.026500554671341544	0.04792907184873101	0.0012227519373122471	0.00034065360723718437
K02770	 fruA; fructose PTS system EIIBC or EIIC component	-0.017102707605011137	0.02975874656272538	0.05540183608617196	0.0020397768890798363	0.0009471520369638833
K11202	 fryB; fructose-like PTS system EIIB component	-0.017102707605011137	0.02975874656272538	0.05540183608617196	0.0020397768890798363	0.0009471520369638833
K00721	 DPM1; dolichol-phosphate mannosyltransferase	-0.0	-0.0	0.0	-0.0	0.0
K12990	 rfbF, rhlC; rhamnosyltransferase	-0.0	-0.0	0.0	-0.0	0.0
K02821	 ulaC, sgaA; ascorbate PTS system EIIA or EIIAB component	-0.016415611825227754	0.013207456922317383	-0.06456305312061222	0.08172443747012269	0.0006356481476396612
K00847	 E2.7.1.4, scrK; fructokinase	-0.0	-0.0	0.0	-0.0	0.0
K01739	 metB; cystathionine gamma-synthase	-0.0	-0.0	0.0	-0.0	0.0
K00835	 avtA; valine--pyruvate aminotransferase	-0.0	-0.0	0.0	-0.0	0.0
K07636	 phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR	-0.029752057428436045	0.003941194890325972	0.00035532685170722546	-0.0026759887553116056	5.5354363595749e-06
K01588	 purE; 5-(carboxyamino)imidazole ribonucleotide mutase	-0.0	-0.0	0.0	-0.0	0.0
