	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
NC_028897_NC_028897_1	NC_028897	NC_028897	1	838	1287	1	E				0
NC_028897_NC_028897_2	NC_028897	NC_028897	2	1394	2356	1	E				0
NC_028897_NC_028897_3	NC_028897	NC_028897	3	2353	3402	1	D			Phage tail repeat like [PF12789.10]	0
NC_028897_NC_028897_4	NC_028897	NC_028897	4	3442	4047	1	E				0
NC_028897_NC_028897_5	NC_028897	NC_028897	5	4264	4944	1	D			D-alanyl-D-alanine carboxypeptidase [PF13539.9]	0
NC_028897_NC_028897_6	NC_028897	NC_028897	6	5150	5959	1	D			PE-PPE domain [PF08237.14]	0
NC_028897_NC_028897_7	NC_028897	NC_028897	7	5983	7734	1	D			Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]	0
NC_028897_NC_028897_8	NC_028897	NC_028897	8	7734	9167	1	D			Phage portal protein, SPP1 Gp6-like [PF05133.17]	0
NC_028897_NC_028897_9	NC_028897	NC_028897	9	9164	10003	1	E				0
NC_028897_NC_028897_10	NC_028897	NC_028897	10	10059	10571	1	E				0
NC_028897_NC_028897_11	NC_028897	NC_028897	11	10598	11539	1	D			Phage capsid family [PF05065.16]	0
NC_028897_NC_028897_12	NC_028897	NC_028897	12	11608	11982	1	D			Phage protein Gp19/Gp15/Gp42 [PF09355.13]	0
NC_028897_NC_028897_13	NC_028897	NC_028897	13	12119	12481	1	E				0
NC_028897_NC_028897_14	NC_028897	NC_028897	14	12481	12894	1	D			Family of unknown function (DUF5403) [PF17395.5]	0
NC_028897_NC_028897_15	NC_028897	NC_028897	15	13318	14148	1	E				0
NC_028897_NC_028897_16	NC_028897	NC_028897	16	14258	14638	1	D			Mycobacteriophage tail assembly protein [PF17388.5]	0
NC_028897_NC_028897_17	NC_028897	NC_028897	17	15059	17872	1	E				0
NC_028897_NC_028897_18	NC_028897	NC_028897	18	17936	18949	1	E				0
NC_028897_NC_028897_19	NC_028897	NC_028897	19	18946	20745	1	E				0
NC_028897_NC_028897_20	NC_028897	NC_028897	20	20759	21223	1	D			Protein of unknown function (DUF2744) [PF10910.11]	0
NC_028897_NC_028897_21	NC_028897	NC_028897	21	21216	21518	1	E				0
