	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
NC_004065.1_NC_004065.1_1	NC_004065.1	NC_004065.1	1	999	1979	1	D										Immune evasion protein [PF12216.11]	0
NC_004065.1_NC_004065.1_2	NC_004065.1	NC_004065.1	2	2236	3102	1	D										Immune evasion protein [PF12216.11]	0
NC_004065.1_NC_004065.1_3	NC_004065.1	NC_004065.1	3	3270	4070	1	D										Immune evasion protein [PF12216.11]	0
NC_004065.1_NC_004065.1_4	NC_004065.1	NC_004065.1	4	4185	5210	1	D										Immune evasion protein [PF12216.11]	1
NC_004065.1_NC_004065.1_5	NC_004065.1	NC_004065.1	5	5462	6337	1	D										Immune evasion protein [PF12216.11]	0
NC_004065.1_NC_004065.1_6	NC_004065.1	NC_004065.1	6	6487	7407	1	D										Immune evasion protein [PF12216.11]	0
NC_004065.1_NC_004065.1_7	NC_004065.1	NC_004065.1	7	7531	8529	1	D										Immune evasion protein [PF12216.11]	0
NC_004065.1_NC_004065.1_8	NC_004065.1	NC_004065.1	8	8632	9513	1	D										Immune evasion protein [PF12216.11]	0
NC_004065.1_NC_004065.1_9	NC_004065.1	NC_004065.1	9	9624	10499	1	D										Immune evasion protein [PF12216.11]	0
NC_004065.1_NC_004065.1_10	NC_004065.1	NC_004065.1	10	10715	11614	1	D										Immune evasion protein [PF12216.11]	0
NC_004065.1_NC_004065.1_11	NC_004065.1	NC_004065.1	11	11686	12504	1	D										Immune evasion protein [PF12216.11]	0
NC_004065.1_NC_004065.1_12	NC_004065.1	NC_004065.1	12	13085	13990	1	D										Immune evasion protein [PF12216.11]	0
NC_004065.1_NC_004065.1_13	NC_004065.1	NC_004065.1	13	14085	15065	1	E											0
NC_004065.1_NC_004065.1_14	NC_004065.1	NC_004065.1	14	15095	15676	1	D										Immune evasion protein [PF12216.11]	0
NC_004065.1_NC_004065.1_15	NC_004065.1	NC_004065.1	15	15749	16951	-1	D										MHC class I-like protein M157 [PF11624.11]	0
NC_004065.1_NC_004065.1_16	NC_004065.1	NC_004065.1	16	17071	20193	-1	E											0
NC_004065.1_NC_004065.1_17	NC_004065.1	NC_004065.1	17	20579	20770	-1	E											0
NC_004065.1_NC_004065.1_18	NC_004065.1	NC_004065.1	18	20802	23045	-1	E											0
NC_004065.1_NC_004065.1_19	NC_004065.1	NC_004065.1	19	23778	24953	-1	E											0
NC_004065.1_NC_004065.1_20	NC_004065.1	NC_004065.1	20	25148	26119	-1	D										US22 like [PF02393.19]	0
NC_004065.1_NC_004065.1_21	NC_004065.1	NC_004065.1	21	26300	28813	1	D										Herpesvirus phosphoprotein 85 (HHV6-7 U14/HCMV UL25) [PF04637.15]	0
NC_004065.1_NC_004065.1_22	NC_004065.1	NC_004065.1	22	28998	30281	-1	D										US22 like [PF02393.19]	0
NC_004065.1_NC_004065.1_23	NC_004065.1	NC_004065.1	23	30245	31216	-1	D										US22 like [PF02393.19]	0
NC_004065.1_NC_004065.1_24	NC_004065.1	NC_004065.1	24	31347	31925	-1	E											0
NC_004065.1_NC_004065.1_25	NC_004065.1	NC_004065.1	25	32247	34295	-1	D										Herpesvirus U5-like family [PF05999.14]	0
NC_004065.1_NC_004065.1_26	NC_004065.1	NC_004065.1	26	34486	35778	-1	E											0
NC_004065.1_NC_004065.1_27	NC_004065.1	NC_004065.1	27	36109	36660	-1	E											0
NC_004065.1_NC_004065.1_28	NC_004065.1	NC_004065.1	28	37279	38829	1	D										Protein of unknown function (DUF570) [PF04489.16]	0
NC_004065.1_NC_004065.1_29	NC_004065.1	NC_004065.1	29	39280	41436	-1	D										Herpesvirus large structural phosphoprotein UL32 [PF06070.14]	0
NC_004065.1_NC_004065.1_30	NC_004065.1	NC_004065.1	30	41701	42780	1	D										7 transmembrane receptor (rhodopsin family) [PF00001.24]	0
NC_004065.1_NC_004065.1_31	NC_004065.1	NC_004065.1	31	43728	45647	1	E											0
