Name	Count
Alanine, aspartate and glutamate metabolism (contain asparagin as well)	23
Phenylalanine metabolism	15
D-arginine and D-ornithine metabolism	1
Valine, leucine and isoleucine biosynthesis	15
Amino acid biosynthesis precursor pyruvate and oxaloacetate	127
Acetyl-coA fermentation to butyrate II (clostridium)	3
Acetoin biosynthesis	19
Starch	20
Xylose	9
Lysine biosynthesis	14
Tryptophan metabolism	11
Glycine, serine and threonine metabolism	19
Histidine degradation	3
Succinate fermentation to butyrate	2
Aromatic carboxylic acid degradation	10
Mixed acid fermentation	13
TCA cycle	10
Reductive TCA cycle	3
Heterolactic fermentation	11
RuMP pathway for formaldehyde fixation (first two steps are common to both RuMP pathway variants)	4
Cellular response to stress	30
Histidine biosynthesis, pRpp => histidine	10
Mannose	17
Polysaccharide biosynthesis and assembly of cell surface structure	105
Purine metabolism	62
Acetylene degradation	5
Glutamate degradation V (via hydroxyglutarate)	9
Pyruvate Fermentation	107
Formaldehyde oxidation (glutathione-dependent)	2
Response to osmotic stress	65
Cysteine and methionine metabolism	25
Methionine biosynthesis	5
Bifidobacterium shunt	7
Homolactic fermentation	6
Glycolysis	9
EMP	10
Glycolysis III (EMP)	10
Gluconeogenesis in archea	8
Regulation of stress-activated protein kinase signaling cascade	1
Lysine degradation VIII	1
Methionine degradation	7
Valine, leucine and isoleucine degradation	25
Arginine and proline metabolism	40
Methane oxidation to cO2	6
Hydrogen production	3
Fatty acid activation	7
Pyrimidine metabolism	41
Incomplete TCA fork	9
Fatty acid beta-oxidation I	14
Oxydation deamination	3
Ammonia assimilation	7
From formate	1
From CO2	1
Hydrogen production VII (chlorophyta, cyanobacteria)	1
Nitrogenated compounds Reduction	3
Sulfur compounds cycle	21
Response to oxidative stress	11
Other aromatics degradation	3
Polycyclic aromatic hydrocarbon degradation	4
Phenylalanine, tyrosine and tryptophan biosynthesis	19
Nitrogen Fixation	4
Response to nitrosative stress	13
Reductive acetyl coenzyme A pathway	17
Serine pathway for formaldehyde fixation	3
Lysine fermentation to acetate and butyrate	4
Pyruvate fermentation to butanol	10
From acetate	4
Acetate formation from acetyl-coA I	1
Fatty acid beta-oxidation II (core pathway)	10
Glycosyltransferase	14
Trehalose metabolism in response to cold stress	2
Glycoside hydrolase	16
Disaccaride phosphorylase	9
Galactose	11
Cellular response to oxidative stress	6
Pentose	4
EMP  in archea	7
nan	3
Chemoautotrophic oxidation of sulfur compounds	3
Gluconeogenesis	5
Polysaccharide lyase	3
Cellular response to osmotic stress	32
Chitin	1
Carbohydrate esterase	3
BTEX and related aromatics degradation	2
Degradation of pyrimidine bases	2
Degradation of purine bases	4
Formaldehyde oxidation (tetrahydrofolate pathway)	1
Replenishment of TCA cycle intermediates (necessary because some intermediates serve as precursors for biosysnthesis)	4
Chlorinated aromatics degradation	2
Regulation of translation in response to oxidative stress	2
Fatty acid beta-oxidation IV (unsaturated)	4
Lysine degradation X	2
D-glutamine and D-glutamate metabolism	4
Fatty acid beta-oxidation III (unsaturated)	1
ABC transporters, prokaryotic type	88
Major Facilitator superfamily (MFS)	33
Regulation of response to osmotic stress	24
Phosphotransferase system (pts)	5
Polycyclic aromatics degradation	1
Transamination	1
Hydrogen oxidation aerobic	2
Cellular response to cation stress	1
Regulation of translational initiation in response to osmotic stress	3
EMP modified pathway	1
Lysine degradation II	1
Lysine degradation IX	1
Methanol oxidation to formaldehyde	1
