locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
JAAZEI010000109.1_3_317_+												Hypothetical
JAAZEI010000109.1_574_1539_-		K03079	COG1082				COG:COG1082	321	4.6e-52	174.3		YcjR; 
JAAZEI010000109.1_1566_2288_-		K06178	COG1187		phrog_9266		COG:COG1187	240	1.8e-103	343.0		RsuA; 16S rRNA modification
JAAZEI010000109.1_2450_5341_-		K03466	COG1674		phrog_1358, phrog_6152	VOG04831, VOG09641	COG:COG1674	963	4.9e-193	640.1		FtsK; 
JAAZEI010000109.1_5363_6517_-												Hypothetical
JAAZEI010000109.1_6580_7827_-		K07263	COG0612			VOG03172	COG:COG0612	415	1.4e-133	443.5		PqqL; 
JAAZEI010000109.1_7898_10078_-	K00962	K00962	COG1185				COG:COG1185	726	0	1107.2		Pnp; 
JAAZEI010000109.1_10170_10433_-		K02956	COG0184				COG:COG0184	87	1.6e-46	155.9		RpsO; Ribosome 30S subunit
JAAZEI010000110.1_3_2204_+	K02027	K02027	COG1653				FOAM:K02027	733	1.5e-19	66.7		ABC.MS.S; multiple sugar transport system substrate-binding protein
JAAZEI010000111.1_3_560_+		K12264	COG0426				KEGG:K12264	185	1.7e-71	238.0		norV; anaerobic nitric oxide reductase flavorubredoxin
JAAZEI010000111.1_616_1989_+		K17870	COG1251		phrog_6397	VOG16777	KEGG:K17870	457	1.6e-134	445.6	1.6.3.3	nox1; NADH oxidase (H2O2-forming)
JAAZEI010000111.1_2180_3010_+	K05601	K05601	COG1151				FOAM:K05601	278	1.3e-119	397.2	1.7.99.1	hcp; hydroxylamine reductase
JAAZEI010000112.1_125_1285_-		K21576	COG0416				KEGG:K21576	370	4.3e-158	523.1	1.21.4.2 1.21.4.3 1.21.4.4	grdD; glycine/sarcosine/betaine reductase complex component C subunit alpha
JAAZEI010000112.1_1278_2852_-		K21577	COG0416				KEGG:K21577	524	3.7e-246	814.2	1.21.4.2 1.21.4.3 1.21.4.4	grdC; glycine/sarcosine/betaine reductase complex component C subunit beta
JAAZEI010000112.1_2979_3302_-		K10670					KEGG:K10670	107	3.9e-52	172.9	1.21.4.2 1.21.4.3 1.21.4.4	grdA; glycine/sarcosine/betaine reductase complex component A
JAAZEI010000112.1_3318_3449_-		K10670					KEGG:K10670	43	1.1e-18	64.3	1.21.4.2 1.21.4.3 1.21.4.4	grdA; glycine/sarcosine/betaine reductase complex component A
