	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_004065.1_1	NC_004065.1	NC_004065.1	1	999	1979	1	D			YP_214010.1	YP_214010.1 Glycoprotein family m02 [Murid betaherpesvirus 1]	True	0.985	680.0	3.5240000000000002e-221								Immune evasion protein [PF12216.11]				0	False	F
NC_004065.1_2	NC_004065.1	NC_004065.1	2	2236	3102	1	D			YP_214011.1	YP_214011.1 Glycoprotein family m02 [Murid betaherpesvirus 1]	True	0.958	582.0	5.231e-188								Immune evasion protein [PF12216.11]				0	False	F
NC_004065.1_3	NC_004065.1	NC_004065.1	3	3270	4070	1	D			YP_214012.1	YP_214012.1 Glycoprotein family m02 [Murid betaherpesvirus 1]	True	0.966	543.0	6.643999999999998e-175								Immune evasion protein [PF12216.11]				0	False	F
NC_004065.1_4	NC_004065.1	NC_004065.1	4	4185	5210	1	D			YP_214013.1	YP_214013.1 Glycoprotein family m02 [Murid betaherpesvirus 1]	True	0.982	708.0	9.964999999999999e-231								Immune evasion protein [PF12216.11]				1	False	F
NC_004065.1_5	NC_004065.1	NC_004065.1	5	5462	6337	1	D			YP_214014.1	YP_214014.1 Glycoprotein family m02 [Murid betaherpesvirus 1]	True	0.967	595.0	2.507e-192								Immune evasion protein [PF12216.11]				0	False	
NC_004065.1_6	NC_004065.1	NC_004065.1	6	6487	7407	1	D			YP_214015.1	YP_214015.1 Glycoprotein family m02 [Murid betaherpesvirus 1]	True	0.948	611.0	1.238e-197								Immune evasion protein [PF12216.11]				0	False	
NC_004065.1_7	NC_004065.1	NC_004065.1	7	7531	8529	1	D			YP_214016.1	YP_214016.1 Glycoprotein family m02 [Murid betaherpesvirus 1]	True	0.927	646.0	2.0080000000000006e-209								Immune evasion protein [PF12216.11]				0	False	
NC_004065.1_8	NC_004065.1	NC_004065.1	8	8632	9513	1	D			YP_214017.1	YP_214017.1 Glycoprotein family m02 [Murid betaherpesvirus 1]	True	0.927	571.0	6.168000000000001e-184								Immune evasion protein [PF12216.11]				0	False	
NC_004065.1_9	NC_004065.1	NC_004065.1	9	9624	10499	1	D			YP_214018.1	YP_214018.1 Glycoprotein family m02 [Murid betaherpesvirus 1]	True	0.939	575.0	1.279e-185								Immune evasion protein [PF12216.11]				0	False	
NC_004065.1_10	NC_004065.1	NC_004065.1	10	10715	11614	1	D			YP_214019.1	YP_214019.1 Glycoprotein family m02 [Murid betaherpesvirus 1]	True	0.958	604.0	1.381e-195								Immune evasion protein [PF12216.11]				0	False	
