locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
KC292026.1_1												Hypothetical
KC292026.1_2						VOG04971	VOG:VOG04971	201	3.3e-70	229.3		REFSEQ hypothetical protein
KC292026.1_3					phrog_9231	VOG05559	VOG:VOG05559	203	2.4e-73	240.7		REFSEQ terminase small subunit
KC292026.1_4												Hypothetical
KC292026.1_5		K06909	COG4373		phrog_7579	VOG07294	VOG:VOG07294	438	2.7e-52	172.1		sp|Q05219|VG13_BPML5 Gene 13 protein
KC292026.1_6						VOG00069	VOG:VOG00069	118	3.1e-10	33.9		sp|Q7Y5D9|FIBL2_BPT5 Collar protein p132
KC292026.1_7					phrog_9232, phrog_115	VOG26458	VOG:VOG26458	739	0	1478.0		REFSEQ portal protein
KC292026.1_8												Hypothetical
KC292026.1_9												Hypothetical
KC292026.1_10					phrog_1645	VOG02418	VOG:VOG02418	593	5.1e-114	375.3		REFSEQ virion structural protein
KC292026.1_11					phrog_36109	VOG26457	VOG:VOG26457	889	0	1738.5		REFSEQ prohead protease
KC292026.1_12												Hypothetical
KC292026.1_13			COG4653		phrog_544	VOG14637	VOG:VOG14637	279	7.5e-117	384.5		REFSEQ major capsid protein
KC292026.1_14												Hypothetical
KC292026.1_15												Hypothetical
KC292026.1_16												Hypothetical
KC292026.1_17					phrog_10244	VOG01001	PHROG:phrog_10244	452	2.8e-155	511.5		tail sheath
KC292026.1_18												Hypothetical
KC292026.1_19												Hypothetical
KC292026.1_20												Hypothetical
KC292026.1_21			COG5412, COG5412		phrog_58		COG:COG5412	984	1.1e-19	38.3		:
KC292026.1_22												Hypothetical
KC292026.1_23		K06905	COG3500		phrog_196	VOG00953	PHROG:phrog_196	417	8.5e-12	37.2		baseplate hub
KC292026.1_24			COG3501		phrog_4011		PHROG:phrog_4011	221	3.9e-12	37.8		baseplate protein
KC292026.1_25												Hypothetical
KC292026.1_26			COG3299		phrog_6	VOG00521	VOG:VOG00521	470	1.8e-70	232.4		sp|P51767|BPJ_BPP2 Baseplate protein J
KC292026.1_27					phrog_1160	VOG00207	PHROG:phrog_1160	389	3.9e-17	55.7		baseplate protein
KC292026.1_28					phrog_18500	VOG11952	VOG:VOG11952	189	4.8e-90	294.5		REFSEQ hypothetical protein
KC292026.1_29												Hypothetical
KC292026.1_30												Hypothetical
KC292026.1_31												Hypothetical
KC292026.1_32												Hypothetical
KC292026.1_33												Hypothetical
KC292026.1_34					phrog_6788	VOG01682	VOG:VOG01682	179	6.9e-59	192.8		REFSEQ hypothetical protein
KC292026.1_35												Hypothetical
KC292026.1_36												Hypothetical
KC292026.1_37												Hypothetical
KC292026.1_38		K04483	COG1717		phrog_27403	VOG14434	KEGG:K04483	203	9e-13	41.9		radA; DNA repair protein RadA
KC292026.1_39			COG1468		phrog_298	VOG01274	VOG:VOG01274	248	4e-79	260.3		REFSEQ exonuclease
KC292026.1_40												Hypothetical
KC292026.1_41												Hypothetical
