locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
MZ334498.1_1_162_+												Hypothetical
MZ334498.1_312_863_-					phrog_19274	VOG23910	VOG:VOG23910	183	1.2e-114	372.9		REFSEQ HalOD1 domain-containing protein
MZ334498.1_1272_2048_+					phrog_9231	VOG05559	PHROG:phrog_9231	258	6.2e-115	375.5		terminase small subunit
MZ334498.1_2303_2497_+					phrog_19453	VOG23913	VOG:VOG23913	64	3.2e-50	160.7		REFSEQ hypothetical protein
MZ334498.1_2535_2741_+					phrog_19186	VOG23914	VOG:VOG23914	68	4.7e-50	160.1		REFSEQ hypothetical protein
MZ334498.1_2833_4524_+		K21523	COG4373		phrog_9	VOG07294	COG:COG4373	563	1.2e-42	137.6		; 
MZ334498.1_4539_5978_+					phrog_9232	VOG00562	PHROG:phrog_9232	479	1.6e-218	718.9		portal protein
MZ334498.1_6265_7029_+					phrog_15680	VOG14382	PHROG:phrog_15680	254	1.7e-156	511.8		head maturation protease
MZ334498.1_7036_7461_+												Hypothetical
MZ334498.1_7484_7999_+												Hypothetical
MZ334498.1_8040_8996_+					phrog_3990	VOG01973	PHROG:phrog_3990	318	9.2e-93	303.4		major head protein
MZ334498.1_9042_9485_+												Hypothetical
MZ334498.1_9689_9823_+												Hypothetical
MZ334498.1_9826_12942_+												Hypothetical
MZ334498.1_12944_13165_+												Hypothetical
MZ334498.1_13202_13711_+					phrog_12281	VOG04913	PHROG:phrog_12281	169	7.3e-86	278.6		tail tube protein
MZ334498.1_13720_15012_+			COG4386		phrog_10244	VOG01001	PHROG:phrog_10244	430	8.7e-202	663.3		tail sheath
MZ334498.1_15041_15586_+					phrog_12452	VOG14384	PHROG:phrog_12452	181	1.1e-92	300.8		tail tube protein
MZ334498.1_15640_16110_+					phrog_14268	VOG04953	PHROG:phrog_14268	156	3.9e-85	276.0		tail assembly chaperone
MZ334498.1_16208_16420_+					phrog_12163	VOG04953	PHROG:phrog_12163	70	1.3e-34	111.6		tail assembly chaperone
