target	query	e-value	score	length	start	end
NZ_CP030761.1_613556_614392_-	CE1	2.5e-51	173.3	278	21	274
NZ_CP030760.1_260356_261447_-	CE1	3.9e-26	90.6	360	43	262
NZ_CP030763.1_469590_470612_+	CE1	3.6e-23	81.0	340	72	262
NZ_CP030761.1_1117040_1117882_-	CE1	3.6e-23	81.0	280	12	210
NZ_CP030760.1_4431310_4432347_+	CE1	1.6e-13	49.2	345	139	326
NZ_CP030763.1_105726_106643_-	CE1	1.6e-13	48.2	305	29	271
NZ_CP030761.1_1646_2596_-	CE1	1.2e-11	43.3	316	65	294
NZ_CP030760.1_4764320_4766383_-	CE1	2.6e-09	35.3	687	440	662
NZ_CP030760.1_1746749_1747762_-	CE1	9.1e-09	33.5	337	84	194
NZ_CP030760.1_4316529_4318013_+	CE1	9.7e-09	33.4	494	84	233
NZ_CP030760.1_938578_939627_-	CE1	1.4e-07	29.4	349	68	210
NZ_CP030760.1_3250850_3251701_-	CE1	3e-07	28.8	283	63	248
NZ_CP030762.1_33117_34292_+	CE1	4.2e-07	28.4	391	164	256
NZ_CP030761.1_261510_262319_-	CE1	5.4e-07	28.2	251	56	114
NZ_CP030762.1_160033_160962_+	CE1	6.2e-07	27.4	309	97	282
NZ_CP030760.1_3797528_3799147_-	CE1	1e-06	26.7	539	343	522
NZ_CP030764.1_483571_484473_-	CE1	1.4e-06	26.6	300	87	232
NZ_CP030760.1_1938214_1938819_-	CE1	1.8e-06	26.2	201	17	186
NZ_CP030761.1_270930_271865_+	CE1	3.3e-06	25.5	311	70	169
NZ_CP030760.1_2863601_2864245_-	CE3	8.7e-10	35.1	214	67	195
NZ_CP030760.1_1919293_1919988_-	CE3	1.1e-07	29.6	231	81	207
NZ_CP030762.1_400469_401119_+	CE4	4.2e-32	109.4	216	17	137
NZ_CP030760.1_4148546_4149583_-	CE4	2.4e-25	87.1	345	97	302
NZ_CP030760.1_4766434_4767279_-	CE4	2.1e-24	84.4	281	75	190
NZ_CP030760.1_1891295_1894297_+	CE4	1.5e-21	74.3	1000	823	956
NZ_CP030761.1_882597_883478_-	CE4	4.1e-19	66.6	293	45	148
NZ_CP030760.1_4518515_4519327_+	CE4	4.1e-13	48.0	270	64	195
NZ_CP030760.1_1784845_1785768_-	CE4	4.8e-09	35.2	307	83	181
NZ_CP030760.1_1751450_1752514_+	CE4	2.7e-08	32.1	354	49	221
NZ_CP030761.1_1226312_1228774_+	GH3	4.2e-73	243.7	820	29	242
NZ_CP030760.1_4353627_4356020_-	GH3	5.6e-65	217.0	797	47	289
NZ_CP030761.1_845010_847352_-	GH3	6.1e-65	216.8	780	34	278
NZ_CP030760.1_303407_304420_+	GH3	4.1e-38	129.5	337	57	281
NZ_CP030764.1_310017_311039_-	GH3	4.2e-36	122.9	340	64	282
NZ_CP030764.1_587620_588660_-	GT1	5.2e-13	48.4	346	36	340
NZ_CP030760.1_1474673_1475797_-	GT1	1.2e-11	44.2	374	142	358
NZ_CP030764.1_590019_591254_-	GT1	7.4e-11	40.6	411	186	368
NZ_CP030760.1_1918903_1919250_+	GT1	3.7e-06	25.7	115	10	45
NZ_CP030763.1_209901_211043_+	GT4	2.8e-32	108.1	380	194	336
NZ_CP030760.1_1611109_1612167_+	GT4	1.2e-31	107.7	352	165	315
NZ_CP030760.1_3779914_3781083_-	GT4	1.7e-31	106.8	377	189	336
NZ_CP030764.1_588762_590009_-	GT4	2.2e-30	103.7	415	226	383
NZ_CP030760.1_1909088_1910239_+	GT4	9.2e-30	101.5	383	191	343
NZ_CP030760.1_2940011_2941189_+	GT4	7.1e-29	96.0	392	199	351
NZ_CP030760.1_4382691_4383851_+	GT4	1.2e-24	85.0	386	189	313
NZ_CP030764.1_611961_613049_+	GT4	1.3e-24	85.0	362	203	329
NZ_CP030760.1_2091864_2093126_-	GT4	2.3e-22	77.7	420	232	362
NZ_CP030760.1_2090623_2091807_-	GT4	7.4e-22	75.7	393	210	341
NZ_CP030760.1_4855326_4856495_-	GT4	1.5e-21	74.9	389	205	350
NZ_CP030760.1_1745561_1746742_+	GT4	2.3e-18	63.8	393	205	315
NZ_CP030763.1_208807_209907_+	GT4	2.8e-17	60.9	366	189	334
NZ_CP030760.1_3942036_3944732_+	GT4	3e-17	59.4	898	344	505
NZ_CP030760.1_3939779_3941107_+	GT4	3.6e-16	57.4	442	252	405
NZ_CP030760.1_2944921_2946099_-	GT4	1.5e-14	52.1	392	191	315
NZ_CP030760.1_2407447_2408889_+	GT4	1.5e-09	35.9	480	288	438
NZ_CP030760.1_3009879_3018398_-	GT84	7.2e-98	324.3	2839	1293	1506
NZ_CP030763.1_198443_199423_-	GT8	3.5e-55	186.0	326	20	261
NZ_CP030760.1_1628949_1629878_-	GT8	2.4e-44	150.4	309	10	247
NZ_CP030760.1_2195959_2196795_+	GT8	3.1e-34	117.4	278	12	242
NZ_CP030760.1_2101791_2102702_+	GT8	2.4e-29	101.4	303	2	233
NZ_CP030761.1_503729_505525_-	PL33	4.4e-51	170.6	598	395	535
NZ_CP030760.1_3089299_3090972_-	PL12	7e-10	36.5	557	344	455
NZ_CP030760.1_1923707_1925329_-	PL1	1.5e-07	25.0	540	71	245
NZ_CP030760.1_2190110_2191420_-	PL22	4.5e-19	26.3	436	252	292
NZ_CP030760.1_2190110_2191420_-	PL22	4.5e-19	27.5	436	295	395
NZ_CP030760.1_406567_408612_-	PL9	8.5e-21	67.0	681	2	325
NZ_CP030761.1_1204014_1206200_-	AA2	6.9e-38	42.5	728	453	721
NZ_CP030761.1_1204014_1206200_-	AA2	6.9e-38	45.2	728	85	183
NZ_CP030764.1_273904_275499_+	AA3	1e-102	343.2	531	3	530
NZ_CP030761.1_382678_384303_-	AA3	1.4e-102	342.7	539	9	535
NZ_CP030762.1_338825_342283_+	AA3	2.1e-102	332.7	1152	23	785
NZ_CP030763.1_333216_334811_+	AA3	9.3e-102	340.0	531	2	527
NZ_CP030760.1_150244_151899_+	AA3	4.6e-101	337.7	551	3	526
NZ_CP030760.1_4402721_4404370_-	AA3	4.6e-99	331.0	549	2	533
NZ_CP030761.1_1033341_1034954_-	AA3	1.2e-93	313.1	537	10	535
NZ_CP030761.1_97281_98912_+	AA3	5.3e-90	301.0	543	24	531
NZ_CP030760.1_148692_150242_+	AA3	5.9e-54	182.0	516	3	497
NZ_CP030763.1_657963_659615_-	AA3	5.4e-46	155.8	550	3	545
NZ_CP030761.1_1148728_1150599_+	AA3	8e-41	138.7	623	12	620
NZ_CP030764.1_456422_457672_+	AA3	1.1e-08	32.4	416	28	220
NZ_CP030764.1_430398_431666_+	AA3	1.5e-08	31.8	422	9	232
NZ_CP030760.1_328897_330306_-	AA3	2.4e-07	27.1	469	4	287
NZ_CP030761.1_214422_215651_+	AA3	5.4e-07	26.8	409	2	231
NZ_CP030761.1_569257_570582_+	AA3	2e-06	25.1	441	12	219
NZ_CP030761.1_30658_32055_-	AA4	9.9e-27	79.0	465	40	240
NZ_CP030760.1_1421888_1423369_-	AA7	1.5e-20	68.0	493	72	285
NZ_CP030760.1_4001692_4003248_+	AA4	2.2e-23	69.7	518	57	287
NZ_CP030761.1_1104339_1105796_+	AA4	7.8e-20	57.3	485	48	259
NZ_CP030760.1_4101856_4103292_-	AA4	1.4e-17	54.7	478	44	230
NZ_CP030761.1_77483_78892_-	AA7	5.4e-14	47.2	469	42	179
NZ_CP030760.1_195746_196342_+	AA6	1.9e-78	261.1	198	3	196
NZ_CP030760.1_865267_866751_-	AA7	5.4e-135	446.2	494	57	485
NZ_CP030760.1_4276082_4277422_+	AA7	5.3e-90	293.0	446	30	442
NZ_CP030761.1_521306_524365_+	AA7	5.8e-12	37.9	1019	49	188
NZ_CP030760.1_4798014_4799405_-	AA1	1.9e-46	157.0	463	69	456
NZ_CP030760.1_540905_542383_+	AA1	8.3e-40	135.3	492	70	482
NZ_CP030760.1_547934_549280_-	AA1	1.2e-34	101.9	448	89	207
NZ_CP030762.1_400469_401119_+	CE4	4.2e-32	109.4	216	17	137
NZ_CP030760.1_4148546_4149583_-	CE4	2.4e-25	87.1	345	97	302
NZ_CP030760.1_4766434_4767279_-	CE4	2.1e-24	84.4	281	75	190
NZ_CP030760.1_1891295_1894297_+	CE4	1.5e-21	74.3	1000	823	956
NZ_CP030761.1_882597_883478_-	CE4	4.1e-19	66.6	293	45	148
NZ_CP030760.1_4518515_4519327_+	CE4	4.1e-13	48.0	270	64	195
NZ_CP030760.1_1784845_1785768_-	CE4	4.8e-09	35.2	307	83	181
NZ_CP030760.1_1751450_1752514_+	CE4	2.7e-08	32.1	354	49	221
NZ_CP030762.1_162030_163880_+	GH12	5e-32	110.0	616	461	613
NZ_CP030760.1_1126327_1128117_+	GH15	7.3e-83	277.2	596	219	581
NZ_CP030761.1_1147225_1148631_+	GH15	1.7e-53	180.6	468	49	444
NZ_CP030760.1_2088185_2089600_-	GH16	2.4e-36	124.6	275	45	266
NZ_CP030760.1_610656_612779_-	GH17	1.2e-06	26.1	707	186	271
NZ_CP030760.1_4587464_4588150_+	GH19	3.6e-13	48.2	228	45	146
NZ_CP030760.1_2463350_2464723_-	GH1	4.2e-161	535.0	457	9	447
NZ_CP030760.1_1498920_1499717_+	GH25	2.1e-59	199.1	265	58	236
NZ_CP030760.1_757840_758886_+	GH25	7.3e-55	184.5	348	148	325
NZ_CP030760.1_4729993_4730742_+	GH25	3.1e-48	163.0	249	45	223
NZ_CP030760.1_2549318_2551594_+	GH2	3.2e-102	341.8	758	10	558
NZ_CP030760.1_3620468_3622921_-	GH2	2.6e-100	335.7	817	4	655
NZ_CP030760.1_989414_991876_-	GH2	6.8e-96	320.9	820	10	683
NZ_CP030760.1_2946145_2948622_-	GH2	3.5e-71	239.1	825	14	690
NZ_CP030763.1_460682_462382_+	GH32	3.5e-74	248.7	566	119	422
NZ_CP030763.1_626688_627656_+	GH43	3.9e-09	32.1	322	151	302
NZ_CP030763.1_627662_628624_+	GH32	3.7e-13	25.7	320	226	306
NZ_CP030760.1_1276599_1278737_-	GH5	1.6e-09	35.8	712	28	213
NZ_CP030761.1_1226312_1228774_+	GH3	4.2e-73	243.7	820	29	242
NZ_CP030760.1_4353627_4356020_-	GH3	5.6e-65	217.0	797	47	289
NZ_CP030761.1_845010_847352_-	GH3	6.1e-65	216.8	780	34	278
NZ_CP030760.1_303407_304420_+	GH3	4.1e-38	129.5	337	57	281
NZ_CP030764.1_310017_311039_-	GH3	4.2e-36	122.9	340	64	282
NZ_CP030760.1_984579_986237_-	GH43	2.1e-57	193.0	552	17	315
NZ_CP030764.1_143789_145159_+	GH4	2.4e-66	220.9	456	6	186
NZ_CP030761.1_149822_151138_+	GH4	7.9e-65	216.1	438	3	184
NZ_CP030764.1_136048_137559_+	GH4	4.4e-61	203.8	503	19	199
NZ_CP030761.1_1222376_1225402_+	GH57	5.1e-08	30.2	1008	265	394
NZ_CP030762.1_306831_308225_+	GH5	1.5e-51	174.0	464	101	453
NZ_CP030760.1_3376902_3377951_-	GH5	2.6e-43	147.0	349	30	311
NZ_CP030760.1_4390037_4391218_+	GH5	1.7e-32	111.4	393	49	361
NZ_CP030764.1_587620_588660_-	GT1	5.2e-13	48.4	346	36	340
NZ_CP030760.1_1474673_1475797_-	GT1	1.2e-11	44.2	374	142	358
NZ_CP030764.1_590019_591254_-	GT1	7.4e-11	40.6	411	186	368
NZ_CP030760.1_1918903_1919250_+	GT1	3.7e-06	25.7	115	10	45
NZ_CP030763.1_231967_233358_-	GT20	4.8e-168	558.2	463	2	455
NZ_CP030760.1_1923707_1925329_-	PL1	1.5e-07	25.0	540	71	245
NZ_CP030760.1_2719208_2721130_-	GH127	1.1e-214	712.7	640	21	551
NZ_CP030763.1_55463_57406_-	GH127	1.2e-202	673.1	647	28	559
NZ_CP030760.1_406567_408612_-	PL31	2.3e-12	45.6	681	31	140
NZ_CP030760.1_4798014_4799405_-	AA1	1.9e-46	157.0	463	69	456
NZ_CP030760.1_540905_542383_+	AA1	8.3e-40	135.3	492	70	482
NZ_CP030760.1_547934_549280_-	AA1	1.2e-34	101.9	448	89	207
NZ_CP030761.1_447901_450111_-	GH13	4.5e-30	104.2	697	226	550
NZ_CP030761.1_447901_450111_-	CBM48	3.8e-26	64.8	697	94	178
NZ_CP030760.1_2404131_2406161_+	CBM48	1.3e-20	66.3	676	74	160
NZ_CP030760.1_2404131_2406161_+	GH13	2.5e-29	101.4	676	226	534
NZ_CP030760.1_2410540_2412519_+	GH13	6.8e-43	146.3	659	165	518
NZ_CP030760.1_2410540_2412519_+	CBM48	4.4e-16	56.8	659	9	100
NZ_CP030764.1_219184_221340_+	CBM48	6.1e-16	56.3	718	14	105
NZ_CP030764.1_219184_221340_+	GH13	1.2e-47	161.5	718	183	538
NZ_CP030760.1_613023_615413_+	CBM48	3.3e-10	33.7	796	126	227
NZ_CP030760.1_613023_615413_+	GH13	1.9e-37	129.0	796	311	653
NZ_CP030761.1_425068_426837_-	CBM48	2.8e-09	33.8	586	3	71
NZ_CP030761.1_425068_426837_-	GH13	6.2e-43	146.3	586	116	431
NZ_CP030760.1_311024_312628_+	CBM50	7.9e-20	43.4	534	303	345
NZ_CP030760.1_4719788_4721812_-	CBM50	5.3e-09	33.9	674	607	650
NZ_CP030760.1_1462582_1463598_-	CE11	9.2e-100	332.0	338	29	302
NZ_CP030761.1_613556_614392_-	CE1	2.5e-51	173.3	278	21	274
NZ_CP030760.1_260356_261447_-	CE1	3.9e-26	90.6	360	43	262
NZ_CP030763.1_469590_470612_+	CE1	3.6e-23	81.0	340	72	262
NZ_CP030761.1_1117040_1117882_-	CE1	3.6e-23	81.0	280	12	210
NZ_CP030760.1_4431310_4432347_+	CE1	1.6e-13	49.2	345	139	326
NZ_CP030763.1_105726_106643_-	CE1	1.6e-13	48.2	305	29	271
NZ_CP030761.1_1646_2596_-	CE1	1.2e-11	43.3	316	65	294
NZ_CP030760.1_4764320_4766383_-	CE1	2.6e-09	35.3	687	440	662
NZ_CP030760.1_1746749_1747762_-	CE1	9.1e-09	33.5	337	84	194
NZ_CP030760.1_4316529_4318013_+	CE1	9.7e-09	33.4	494	84	233
NZ_CP030760.1_938578_939627_-	CE1	1.4e-07	29.4	349	68	210
NZ_CP030760.1_3250850_3251701_-	CE1	3e-07	28.8	283	63	248
NZ_CP030762.1_33117_34292_+	CE1	4.2e-07	28.4	391	164	256
NZ_CP030761.1_261510_262319_-	CE1	5.4e-07	28.2	251	56	114
NZ_CP030762.1_160033_160962_+	CE1	6.2e-07	27.4	309	97	282
NZ_CP030760.1_3797528_3799147_-	CE1	1e-06	26.7	539	343	522
NZ_CP030764.1_483571_484473_-	CE19	5.7e-09	33.9	300	78	182
NZ_CP030760.1_1938214_1938819_-	CE1	1.8e-06	26.2	201	17	186
NZ_CP030761.1_270930_271865_+	CE1	3.3e-06	25.5	311	70	169
NZ_CP030760.1_2863601_2864245_-	CE3	8.7e-10	35.1	214	67	195
NZ_CP030760.1_1919293_1919988_-	CE3	1.1e-07	29.6	231	81	207
NZ_CP030762.1_400469_401119_+	CE4	4.2e-32	109.4	216	17	137
NZ_CP030760.1_4148546_4149583_-	CE4	2.4e-25	87.1	345	97	302
NZ_CP030760.1_4766434_4767279_-	CE4	2.1e-24	84.4	281	75	190
NZ_CP030760.1_1891295_1894297_+	GT81	3.3e-07	27.5	1000	7	128
NZ_CP030760.1_1891295_1894297_+	CE4	1.5e-21	74.3	1000	823	956
NZ_CP030761.1_882597_883478_-	CE4	4.1e-19	66.6	293	45	148
NZ_CP030760.1_4518515_4519327_+	CE4	4.1e-13	48.0	270	64	195
NZ_CP030760.1_1784845_1785768_-	CE4	4.8e-09	35.2	307	83	181
NZ_CP030760.1_1751450_1752514_+	CE4	2.7e-08	32.1	354	49	221
NZ_CP030760.1_4320865_4321803_-	CE6	7.3e-09	33.4	308	130	215
NZ_CP030760.1_1083808_1084887_-	CE7	4e-55	185.5	359	57	346
NZ_CP030764.1_386577_387464_-	CE7	1.4e-09	33.5	295	50	211
NZ_CP030760.1_4515661_4517769_-	CE7	1.5e-07	27.8	702	525	641
NZ_CP030760.1_4363936_4364526_-	CE7	6.6e-07	27.0	196	23	105
NZ_CP030760.1_2292766_2293224_+	CE7	8.1e-07	26.2	152	60	148
NZ_CP030760.1_2960842_2961993_-	CE9	1.5e-106	354.8	340	3	337
NZ_CP030760.1_3303708_3304847_-	CE9	2.7e-17	26.6	379	7	97
