	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
NC_053514.1_NC_053514.1_1	NC_053514.1	NC_053514.1	1	233	535	-1	E											0
NC_053514.1_NC_053514.1_2	NC_053514.1	NC_053514.1	2	795	1217	-1	D										Domain of unknown function (DUF3846) [PF12957.10]	0
NC_053514.1_NC_053514.1_3	NC_053514.1	NC_053514.1	3	1521	1898	-1	C	K26249	nucleoid-associated protein Lsr2								Lsr2 [PF11774.11]	0
NC_053514.1_NC_053514.1_4	NC_053514.1	NC_053514.1	4	2038	2199	-1	E											0
NC_053514.1_NC_053514.1_5	NC_053514.1	NC_053514.1	5	2196	2402	-1	E											0
NC_053514.1_NC_053514.1_6	NC_053514.1	NC_053514.1	6	2399	2641	-1	E											0
NC_053514.1_NC_053514.1_7	NC_053514.1	NC_053514.1	7	2650	2859	-1	E											0
NC_053514.1_NC_053514.1_8	NC_053514.1	NC_053514.1	8	2861	3010	-1	E											0
NC_053514.1_NC_053514.1_9	NC_053514.1	NC_053514.1	9	3007	3264	-1	E											0
NC_053514.1_NC_053514.1_10	NC_053514.1	NC_053514.1	10	3252	3524	-1	E											0
NC_053514.1_NC_053514.1_11	NC_053514.1	NC_053514.1	11	3521	3811	-1	E											0
NC_053514.1_NC_053514.1_12	NC_053514.1	NC_053514.1	12	3808	4002	-1	E											0
NC_053514.1_NC_053514.1_13	NC_053514.1	NC_053514.1	13	3999	4187	-1	E											0
NC_053514.1_NC_053514.1_14	NC_053514.1	NC_053514.1	14	4184	4411	-1	E											0
NC_053514.1_NC_053514.1_15	NC_053514.1	NC_053514.1	15	4408	4695	-1	E											0
NC_053514.1_NC_053514.1_16	NC_053514.1	NC_053514.1	16	5044	5439	1	E											0
NC_053514.1_NC_053514.1_17	NC_053514.1	NC_053514.1	17	5466	7007	1	D										Terminase large subunit, ATPase domain [PF03354.18]; Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	0
NC_053514.1_NC_053514.1_18	NC_053514.1	NC_053514.1	18	7004	8605	1	D										Phage portal protein, SPP1 Gp6-like [PF05133.17]	0
NC_053514.1_NC_053514.1_19	NC_053514.1	NC_053514.1	19	8605	9780	1	E											0
NC_053514.1_NC_053514.1_20	NC_053514.1	NC_053514.1	20	9832	10506	1	E											0
NC_053514.1_NC_053514.1_21	NC_053514.1	NC_053514.1	21	10552	11718	1	D										P22 coat protein - gene protein 5 [PF11651.11]; Bacterial Ig-like domain (group 2) [PF02368.21]	0
NC_053514.1_NC_053514.1_22	NC_053514.1	NC_053514.1	22	11782	12213	1	E											0
NC_053514.1_NC_053514.1_23	NC_053514.1	NC_053514.1	23	12213	12578	1	E											0
NC_053514.1_NC_053514.1_24	NC_053514.1	NC_053514.1	24	12571	12987	1	E											0
NC_053514.1_NC_053514.1_25	NC_053514.1	NC_053514.1	25	13005	13508	1	E											0
NC_053514.1_NC_053514.1_26	NC_053514.1	NC_053514.1	26	13531	14430	1	D										Bacterial Ig-like domain (group 2) [PF02368.21]	0
NC_053514.1_NC_053514.1_27	NC_053514.1	NC_053514.1	27	14517	14858	1	E											0
NC_053514.1_NC_053514.1_28	NC_053514.1	NC_053514.1	28	14999	15355	1	E											0
NC_053514.1_NC_053514.1_29	NC_053514.1	NC_053514.1	29	15359	22177	1	E											0
NC_053514.1_NC_053514.1_30	NC_053514.1	NC_053514.1	30	22177	23088	1	E											0
NC_053514.1_NC_053514.1_31	NC_053514.1	NC_053514.1	31	23088	24827	1	E											0
NC_053514.1_NC_053514.1_32	NC_053514.1	NC_053514.1	32	24880	25335	1	E											0
NC_053514.1_NC_053514.1_33	NC_053514.1	NC_053514.1	33	25339	28020	1	E											0
NC_053514.1_NC_053514.1_34	NC_053514.1	NC_053514.1	34	28017	29099	1	E											0
NC_053514.1_NC_053514.1_35	NC_053514.1	NC_053514.1	35	29115	29459	1	E											0
