L1	L2	L3	KO	Function	EC	Count
Coenzyme transport and metabolism	Glutamate-1-semialdehyde aminotransferase		COG0001	HemL:Heme biosynthesis		1
Amino acid transport and metabolism	N-acetyl-gamma-glutamylphosphate reductase		COG0002	ArgC:Arginine biosynthesis		1
Inorganic ion transport and metabolism	Ammonia channel protein AmtB		COG0004	AmtB:		1
Nucleotide transport and metabolism	Purine nucleoside phosphorylase		COG0005	XapA:Purine salvage		1
Amino acid transport and metabolism	Xaa-Pro aminopeptidase		COG0006	PepP:		1
Coenzyme transport and metabolism	Uroporphyrinogen-III methylase (siroheme synthase)		COG0007	CysG:Cobalamine/B12 biosynthesis		1
Translation, ribosomal structure and biogenesis	Glutamyl- or glutaminyl-tRNA synthetase		COG0008	GlnS:Heme biosynthesis		1
Translation, ribosomal structure and biogenesis	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC		COG0009	TsaC:tRNA modification		1
Translation, ribosomal structure and biogenesis	Ribosome-binding ATPase YchF, GTP1/OBG family		COG0012	GTP1:		1
Translation, ribosomal structure and biogenesis	Alanyl-tRNA synthetase		COG0013	AlaS:Aminoacyl-tRNA synthetases		1
Amino acid transport and metabolism	Gamma-glutamyl phosphate reductase		COG0014	ProA:Proline biosynthesis		1
Nucleotide transport and metabolism	Adenylosuccinate lyase		COG0015	PurB:Purine biosynthesis		1
Translation, ribosomal structure and biogenesis	Phenylalanyl-tRNA synthetase alpha subunit		COG0016	PheS:Aminoacyl-tRNA synthetases		1
Translation, ribosomal structure and biogenesis	Arginyl-tRNA synthetase		COG0018	ArgS:Aminoacyl-tRNA synthetases		1
Amino acid transport and metabolism	Diaminopimelate decarboxylase		COG0019	LysA:Lysine biosynthesis		1
Lipid transport and metabolism	Undecaprenyl pyrophosphate synthase		COG0020	UppS:		1
Carbohydrate transport and metabolism	Transketolase		COG0021	TktA:Pentose phosphate pathway		1
Energy production and conversion	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit		COG0022	AcoB:Pyruvate oxidation		1
Translation, ribosomal structure and biogenesis	Translation initiation factor 1 (eIF-1/SUI1)		COG0023	SUI1:Translation factors		1
Translation, ribosomal structure and biogenesis	Methionine aminopeptidase		COG0024	Map:		1
Inorganic ion transport and metabolism	NhaP-type Na+/H+ or K+/H+ antiporter		COG0025	NhaP:		1
Nucleotide transport and metabolism	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)		COG0026	PurK:Purine biosynthesis		1
Nucleotide transport and metabolism	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)		COG0027	PurT:Purine biosynthesis		1
Amino acid transport and metabolism	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme		COG0028	IlvB:Isoleucine, leucine, valine biosynthesis		1
Coenzyme transport and metabolism	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme		COG0028	IlvB:Isoleucine, leucine, valine biosynthesis		1
Coenzyme transport and metabolism	Aspartate oxidase		COG0029	NadB:NAD biosynthesis		1
Translation, ribosomal structure and biogenesis	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)		COG0030	RsmA:16S rRNA modification		1
Amino acid transport and metabolism	Cysteine synthase		COG0031	CysK:Cysteine biosynthesis		1
Nucleotide transport and metabolism	Glutamine phosphoribosylpyrophosphate amidotransferase		COG0034	PurF:Purine biosynthesis		1
Nucleotide transport and metabolism	Uracil phosphoribosyltransferase		COG0035	Upp:Pyrimidine salvage		1
Carbohydrate transport and metabolism	Pentose-5-phosphate-3-epimerase		COG0036	Rpe:Pentose phosphate pathway		1
Translation, ribosomal structure and biogenesis	tRNA(Ile)-lysidine synthase TilS/MesJ		COG0037	TilS:tRNA modification		1
Amino acid transport and metabolism	ATP phosphoribosyltransferase		COG0040	HisG:Histidine biosynthesis		1
Nucleotide transport and metabolism	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase		COG0041	PurE:Purine biosynthesis		1
Translation, ribosomal structure and biogenesis	tRNA-dihydrouridine synthase		COG0042	DusA:tRNA modification		1
Coenzyme transport and metabolism	3-polyprenyl-4-hydroxybenzoate decarboxylase		COG0043	UbiD:Ubiquinone biosynthesis		1
Nucleotide transport and metabolism	Dihydroorotase or related cyclic amidohydrolase		COG0044	AllB:Pyrimidine biosynthesis		1
Energy production and conversion	Succinyl-CoA synthetase, beta subunit		COG0045	SucC:TCA cycle		1
Nucleotide transport and metabolism	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain		COG0047	PurL2:Purine biosynthesis		1
Translation, ribosomal structure and biogenesis	Ribosomal protein S12		COG0048	RpsL:Ribosome 30S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein S7		COG0049	RpsG:Ribosome 30S subunit		1
Translation, ribosomal structure and biogenesis	Translation elongation factor EF-Tu, a GTPase		COG0050	TufA:Translation factors		1
Translation, ribosomal structure and biogenesis	Ribosomal protein S10		COG0051	RpsJ:Ribosome 30S subunit		1
Translation, ribosomal structure and biogenesis	Ribosomal protein S2		COG0052	RpsB:Ribosome 30S subunit		1
Inorganic ion transport and metabolism	Divalent metal cation (Fe/Co/Zn/Cd) efflux pump		COG0053	FieF:		1
Coenzyme transport and metabolism	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)		COG0054	RibE:Riboflavin/FAD biosynthesis		1
Energy production and conversion	FoF1-type ATP synthase, beta subunit		COG0055	AtpD:FoF1-type ATP synthase		1
Energy production and conversion	FoF1-type ATP synthase, alpha subunit		COG0056	AtpA:FoF1-type ATP synthase		1
Carbohydrate transport and metabolism	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase		COG0057	GapA:Glycolysis		1
Carbohydrate transport and metabolism	Glucan phosphorylase		COG0058	GlgP:		1
Amino acid transport and metabolism	Ketol-acid reductoisomerase		COG0059	IlvC:Isoleucine, leucine, valine biosynthesis		1
