locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
NC_008293.1_63_350_-												Hypothetical
NC_008293.1_361_591_-												Hypothetical
NC_008293.1_738_2177_-		K23612				VOG00467	VOG:VOG00467	479	8.5e-89	288.8		sp|Q03209|P78_NPVAC Protein P78/83
NC_008293.1_2217_3029_+	K08286	K08286	COG5752		phrog_2361	VOG00025	VOG:VOG00025	270	1.1e-51	167.7		sp|Q5UQG7|YR818_MIMIV Putative serine/threonine-protein kinase/receptor R818
NC_008293.1_3253_5613_-		K10683				VOG08741	VOG:VOG08741	786	3.8e-141	464.8		REFSEQ hoar
NC_008293.1_6705_7784_+												Hypothetical
NC_008293.1_7962_8132_+												Hypothetical
NC_008293.1_8197_9261_+						VOG05201	VOG:VOG05201	354	1.1e-152	500.7		sp|P41705|PIF5_NPVAC Per os infectivity factor 5
NC_008293.1_9460_11700_-						VOG01845	VOG:VOG01845	743	2.7e-161	530.1		sp|P11138|IE1_NPVAC Trans-activating transcriptional regulatory protein
NC_008293.1_11700_12326_+						VOG07546	VOG:VOG07546	208	3.2e-59	192.4		sp|P41704|Y146_NPVAC Uncharacterized 22.9 kDa protein in IE0-IE1 intergenic region
NC_008293.1_12347_12625_-				CBM14		VOG00354	VOG:VOG00354	74	6e-27	87.4		sp|O10373|Y145_NPVOP Uncharacterized 11.0 kDa protein
NC_008293.1_12709_13581_-						VOG07547	VOG:VOG07547	281	7.1e-119	389.0		sp|O10372|OE27_NPVOP Occlusion-derived virus envelope protein E27
NC_008293.1_13698_13895_-						VOG01167	VOG:VOG01167	65	1.4e-33	107.4		sp|P41701|E18_NPVAC Protein E18
NC_008293.1_13912_15408_-						VOG07544	VOG:VOG07544	498	5.8e-200	657.4		sp|O10370|Y142_NPVOP Uncharacterized 55.8 kDa protein
NC_008293.1_15478_16323_-						VOG05269	VOG:VOG05269	281	8.3e-91	296.8		sp|O36453|IE0_NPVLD Immediate-early protein IE-0
NC_008293.1_16739_17956_+						VOG07545	VOG:VOG07545	405	7.7e-108	353.4		sp|Q04719|ME53_NPVAC Early 53 kDa protein
NC_008293.1_18102_18503_-						VOG08733	VOG:VOG08733	133	1.7e-14	46.6		REFSEQ hypothetical protein
NC_008293.1_18543_20522_+						VOG07543	VOG:VOG07543	659	9.5e-285	938.8		sp|O10365|VP74_NPVOP Protein p74
NC_008293.1_20646_21056_-						VOG07493	VOG:VOG07493	136	4.1e-41	133.0		sp|O10297|Y026_NPVOP Uncharacterized 14.4 kDa protein
NC_008293.1_21191_21889_+						VOG05409	VOG:VOG05409	232	4.5e-69	225.1		sp|P41430|Y025_NPVAC Uncharacterized 36.6 kDa protein in EGT-IAP1 intergenic region
NC_008293.1_21904_22485_+						VOG01833	VOG:VOG01833	193	1.4e-40	131.6		sp|P41432|Y028_NPVAC Uncharacterized 20.4 kDa protein in IAP1-SOD intergenic region
NC_008293.1_22558_22800_-						VOG05918	VOG:VOG05918	80	1.4e-30	98.3		sp|P41433|Y029_NPVAC Uncharacterized 8.6 kDa protein in IAP1-SOD intergenic region
NC_008293.1_22966_23829_+						VOG01164	VOG:VOG01164	287	1e-97	321.0		sp|P08358|POXIN_NPVAC Poxin
NC_008293.1_23925_24236_+						VOG01151	VOG:VOG01151	103	1.5e-26	86.8		sp|P04870|P10_NPVAC Protein p10
NC_008293.1_24315_24866_-						VOG07495	VOG:VOG07495	183	1.7e-77	252.4		sp|P21287|AC34_NPVAC Protein Ac34
NC_008293.1_24999_25250_+		K02927	COG5272			VOG01148	KEGG:K02927	83	3.6e-52	170.4		RP-L40e, RPL40, UBA52; ubiquitin-large subunit ribosomal protein L40e
NC_008293.1_25306_25539_+						VOG06046	VOG:VOG06046	77	2.5e-29	94.2		REFSEQ hypothetical protein
NC_008293.1_25625_26470_-						VOG07497	VOG:VOG07497	281	6.1e-93	304.1		sp|P11042|PP31_NPVAC Protein pp31
NC_008293.1_26741_27469_-						VOG03984	VOG:VOG03984	242	1.3e-89	293.8		sp|P21290|ADPP_NPVAC Protein ADP-ribose pyrophosphatase ORF38
NC_008293.1_27544_27741_-												Hypothetical
NC_008293.1_27838_28794_+						VOG05409	VOG:VOG05409	318	1.3e-92	302.8		sp|P41430|Y025_NPVAC Uncharacterized 36.6 kDa protein in EGT-IAP1 intergenic region
NC_008293.1_28984_29406_-						VOG00824	VOG:VOG00824	140	1.4e-59	195.0		sp|O10310|Y053_NPVOP Uncharacterized 17.0 kDa protein
NC_008293.1_29530_29787_+												Hypothetical
NC_008293.1_29847_30047_-												Hypothetical
NC_008293.1_30053_30427_-												Hypothetical
