KO	prodigal_RW1	prodigal_GIC31	prodigal_Rleg	prodigal_RW2	prodigal_DJ
K01959: pycA; pyruvate carboxylase subunit A	30	36	36	36	36
K02031: ddpD; peptide/nickel transport system ATP-binding protein	20	20	20	20	20
K02032: ddpF; peptide/nickel transport system ATP-binding protein	18	18	18	18	18
K02010: afuC, fbpC; iron(III) transport system ATP-binding protein	8	8	8	8	8
K13004: wbtD; galacturonosyltransferase WbtD	1	1	1	1	1
K02056: ABC.SS.A; simple sugar transport system ATP-binding protein	44	44	44	44	44
K00382: DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	20	30	30	30	30
K09817: znuC; zinc transport system ATP-binding protein	4	4	4	4	4
K02013: ABC.FEV.A; iron complex transport system ATP-binding protein	2	2	2	2	2
K08483: ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I)	38	40	38	40	38
K01897: ACSL, fadD; long-chain acyl-CoA synthetase	60	60	60	60	60
K00360: nasB; assimilatory nitrate reductase electron transfer subunit	5	2	11	4	11
K00219: fadH; 2,4-dienoyl-CoA reductase (NADPH2)	1	2	2	2	2
K01840: manB; phosphomannomutase	24	24	24	24	24
K11072: potA; spermidine/putrescine transport system ATP-binding protein	10	10	10	10	10
K00248: ACADS, bcd; butyryl-CoA dehydrogenase	15	15	15	15	15
K00249: ACADM, acd; acyl-CoA dehydrogenase	15	15	15	15	18
K01426: E3.5.1.4, amiE; amidase	10	30	30	30	30
K00128: ALDH; aldehyde dehydrogenase (NAD+)	135	135	135	135	135
K02768: fruB; fructose PTS system EIIA component	111	129	111	129	123
K11183: fruB, fpr; multiphosphoryl transfer protein	18	20	18	20	18
K04757: rsbW; serine/threonine-protein kinase RsbW	20	20	20	20	20
K14085: ALDH7A1; aldehyde dehydrogenase family 7 member A1	24	24	24	24	24
K00155: LNAA, LNBA; L-tyrosine reductase	4	5	5	5	5
K03407: cheA; two-component system, chemotaxis family, sensor kinase CheA	50	50	50	50	50
K02482: flgS; two-component system, NtrC family, sensor kinase	54	66	68	66	68
K11711: dctS; two-component system, LuxR family, sensor histidine kinase DctS	75	78	78	78	78
K02509: hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase	1	0	1	0	1
K01835: pgm; phosphoglucomutase	35	35	35	35	35
K07683: nreB; two-component system, NarL family, sensor histidine kinase NreB	18	27	27	27	27
K07777: degS; two-component system, NarL family, sensor histidine kinase DegS	54	75	75	75	75
K07642: baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS	72	87	87	87	87
K01537: ATP2C; P-type Ca2+ transporter type 2C	7	7	7	7	7
K02476: K02476; two-component system, CitB family, sensor kinase	50	56	56	56	56
K14519: aldH; NADP-dependent aldehyde dehydrogenase	2	2	2	2	2
K00146: feaB; phenylacetaldehyde dehydrogenase	8	8	8	8	8
K00206: phnY; phosphonoacetaldehyde dehydrogenase	2	2	2	2	2
K00756: pdp; pyrimidine-nucleoside phosphorylase	1	1	1	1	1
K07700: dpiB, citA; two-component system, CitB family, cit operon sensor histidine kinase CitA	6	6	6	6	6
K01652: E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	8	4	8	4	8
K02484: K02484; two-component system, OmpR family, sensor kinase	268	282	282	282	282
K07645: qseC; two-component system, OmpR family, sensor histidine kinase QseC	152	152	152	152	152
K00384: trxB, TRR; thioredoxin reductase (NADPH)	1	1	1	1	1
K02668: pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS	104	108	108	108	108
K12972: ghrA; glyoxylate/hydroxypyruvate reductase	3	3	3	3	3
K07678: barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA	144	162	162	162	162
K11527: K11527; two-component system, sensor histidine kinase and response regulator	44	50	50	50	50
K02478: K02478; two-component system, LytTR family, sensor kinase	22	22	22	22	22
