	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
NC_008617_NC_008617_1	NC_008617	NC_008617	1	59	1096	-1	D										Phage integrase family [PF00589.25]; Phage integrase SAM-like domain [PF13102.9]; Phage integrase, N-terminal SAM-like domain [PF14659.9]	0
NC_008617_NC_008617_2	NC_008617	NC_008617	2	1155	1619	-1	E											0
NC_008617_NC_008617_3	NC_008617	NC_008617	3	1719	1901	-1	E											0
NC_008617_NC_008617_4	NC_008617	NC_008617	4	2105	2446	-1	E											0
NC_008617_NC_008617_5	NC_008617	NC_008617	5	2452	3384	-1	D										Exonuclease [PF00929.27]	0
NC_008617_NC_008617_6	NC_008617	NC_008617	6	3400	4113	-1	D			MER0069541	S24	MER0069541 - irvR self-cleaving protein (Staphylococcus aureus) [S24.005]#S24#{peptidase unit: 113-237}~source ABD20756~	False	0.976	259.0	5.883e-77	Peptidase S24-like [PF00717.26]; Helix-turn-helix [PF01381.25]; Helix-turn-helix domain [PF12844.10]	0
NC_008617_NC_008617_7	NC_008617	NC_008617	7	4246	4509	1	D										Helix-turn-helix [PF01381.25]; Helix-turn-helix domain [PF12844.10]	0
NC_008617_NC_008617_8	NC_008617	NC_008617	8	4525	4740	1	D										Protein of unknown function (DUF2829) [PF11195.11]	0
NC_008617_NC_008617_9	NC_008617	NC_008617	9	4729	5058	-1	E											0
NC_008617_NC_008617_10	NC_008617	NC_008617	10	5109	5861	1	C	K07741	anti-repressor protein								Phage antirepressor protein KilAC domain [PF03374.17]; AntA/AntB antirepressor [PF08346.15]	0
NC_008617_NC_008617_11	NC_008617	NC_008617	11	5877	6074	1	E											0
NC_008617_NC_008617_12	NC_008617	NC_008617	12	6105	6245	1	E											0
NC_008617_NC_008617_13	NC_008617	NC_008617	13	6260	6892	-1	E											0
NC_008617_NC_008617_14	NC_008617	NC_008617	14	6951	7271	1	D										Domain of unknown function (DUF771) [PF05595.14]	0
NC_008617_NC_008617_15	NC_008617	NC_008617	15	7524	7850	1	D										Hypothetical protein of unknown function (DUF2482) [PF10655.12]	0
