locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
MFHL01000001.1_2_1561_+		K03427	COG0286		phrog_13671	VOG02372	PHROG:phrog_13671	519	2.3e-74	244.1		DNA methyltransferase
MFHL01000001.1_1554_2510_+												Hypothetical
MFHL01000001.1_2589_4619_+			COG5427				COG:COG5427	676	2.2e-130	429.8		; 
MFHL01000001.1_4632_4928_-												Hypothetical
MFHL01000001.1_4983_5147_-												Hypothetical
MFHL01000001.1_5164_5775_-		K16868	COG4976		phrog_4752	VOG00106	COG:COG4976	203	2e-24	82.4		; 
MFHL01000001.1_6034_6237_+												Hypothetical
MFHL01000001.1_6285_6830_+												Hypothetical
MFHL01000001.1_6844_7206_+												Hypothetical
MFHL01000001.1_7214_7801_+			COG0586				COG:COG0586	195	6.2e-10	32.2		DedA; 
MFHL01000001.1_8131_12255_+					phrog_18345, phrog_2655	VOG00411	PHROG:phrog_18345	1376	1.6e-20	47.9		tail fiber protein
MFHL01000002.1_1_2_145_+												Hypothetical
MFHL01000002.1_2_2_139_+					phrog_3419		PHROG:phrog_3419	47	7.2e-10	34.4		rolling circle DNA replication initiation
MFHL01000002.1_3_1_276_+												Hypothetical
MFHL01000002.1_3_273_1778_+		K06400	COG1961		phrog_95	VOG00303	KEGG:K06400	501	2e-84	280.3		spoIVCA; site-specific DNA recombinase
MFHL01000002.1_3_2066_2335_+		K11836	COG5207				COG:COG5207	89	3.3e-19	64.7		UBP14; 
MFHL01000002.1_3_2414_2758_+		K06878	COG0143		phrog_8598		COG:COG0143	114	7e-41	135.8		MetG; Aminoacyl-tRNA synthetases
MFHL01000002.1_3_2776_3807_-	K01989	K01989	COG2984				COG:COG2984	343	6.4e-47	155.9		; 
MFHL01000002.1_3_3848_4489_-		K20866	COG1011				KEGG:K20866	213	4.6e-14	48.4	3.1.3.10	yihX; glucose-1-phosphatase
MFHL01000002.1_3_4531_5181_+		K06180	COG0564		phrog_9266		COG:COG0564	216	1.1e-72	238.9		RluA; 23S rRNA modification
MFHL01000002.1_3_5341_5778_+		K02884	COG0335		phrog_7602		COG:COG0335	145	3.1e-47	156.8		RplS; Ribosome 50S subunit
MFHL01000002.1_3_5790_6701_+		K01076	COG1073		phrog_789	VOG00261	COG:COG1073	303	2.3e-43	144.6		FrsA; 
MFHL01000002.1_3_6738_7262_+	K00759	K00759	COG0503			VOG30939	COG:COG0503	174	5.8e-72	238.8		Apt; Purine salvage
MFHL01000002.1_3_7524_8417_-												Hypothetical
MFHL01000002.1_3_8470_8928_-												Hypothetical
MFHL01000002.1_3_8952_9428_-												Hypothetical
MFHL01000002.1_3_9538_9807_+												Hypothetical
MFHL01000002.1_3_10005_10562_+												Hypothetical
MFHL01000002.1_3_10635_11687_-		K06400	COG1961		phrog_95	VOG00303	VOG:VOG00303	351	5.6e-34	113.6		sp|P03014|PINE_ECOLI Serine recombinase PinE
MFHL01000003.1_1_3_434_-		K02835	COG0216		phrog_19918		COG:COG0216	144	2.9e-30	101.2		PrfA; Translation factors
MFHL01000003.1_1_438_692_-		K02909	COG0254				COG:COG0254	84	1.4e-37	125.3		RpmE; Ribosome 50S subunit
MFHL01000003.1_1_760_1500_+		K02967	COG0052				COG:COG0052	246	2.3e-86	285.6		RpsB; Ribosome 30S subunit
MFHL01000003.1_1_1511_2098_+		K02357	COG0264				COG:COG0264	195	5e-71	132.0		Tsf; Translation factors
MFHL01000003.1_1_2105_2413_+												Hypothetical
MFHL01000003.1_2_3_1109_+	K03885	K03885	COG1252				COG:COG1252	368	2.8e-92	305.8		Ndh; 
MFHL01000003.1_2_1114_1503_+												Hypothetical
MFHL01000003.1_2_1507_2001_+		K03611	COG1495				COG:COG1495	164	1.2e-25	86.7		DsbB; 
MFHL01000003.1_2_2223_2384_+												Hypothetical
MFHL01000003.1_2_2702_2986_+		K13643	COG1959		phrog_24072		COG:COG1959	94	5.6e-19	64.3		IscR; 
MFHL01000003.1_2_2989_4404_+	K04487, K04487	K04487, K04487	COG1104, COG1104		phrog_12787, phrog_12787	VOG22909	COG:COG1104	471	1.7e-177	321.4		NifS; 
MFHL01000003.1_2_4407_5066_+		K13819	COG0822		phrog_8429		KEGG:K13819	219	2.8e-43	144.3		K13819; NifU-like protein
MFHL01000003.1_2_5304_5915_+	K04564	K04564	COG0605			VOG32117	COG:COG0605	203	4.4e-60	199.6		SodA; 
MFHL01000003.1_2_5938_6162_+		K22074	COG0822		phrog_18436	VOG28195	KEGG:K22074	74	9.8e-25	83.4		NFU1, HIRIP5; NFU1 iron-sulfur cluster scaffold homolog, mitochondrial
MFHL01000003.1_2_6172_7302_+		K04771	COG0265		phrog_11383	VOG02002	COG:COG0265	376	3.1e-92	306.1		DegQ; 
