locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
KC292028.1_25_426_+												Hypothetical
KC292028.1_423_755_+												Hypothetical
KC292028.1_755_1258_+												Hypothetical
KC292028.1_1262_1468_+												Hypothetical
KC292028.1_1465_2055_+												Hypothetical
KC292028.1_2052_2564_+		K06940	COG0727				KEGG:K06940	170	2.9e-12	39.0		K06940; uncharacterized protein
KC292028.1_2592_3119_-												Hypothetical
KC292028.1_2748_3158_+						VOG26445	VOG:VOG26445	136	2.4e-78	253.0		REFSEQ hypothetical protein
KC292028.1_3554_5134_+		K03497	COG1475, COG1041		phrog_12517, phrog_498	VOG01264	VOG:VOG01264	526	2.8e-174	572.2		REFSEQ hypothetical protein
KC292028.1_5141_5782_+		K00571	COG0863		phrog_67		COG:COG0863	213	1.7e-18	58.8		YhdJ; 
KC292028.1_5779_6123_+												Hypothetical
KC292028.1_6262_6405_+												Hypothetical
KC292028.1_6398_7009_+												Hypothetical
KC292028.1_7116_7439_+												Hypothetical
KC292028.1_7439_8254_+		K06223	COG0338		phrog_56	VOG00287	COG:COG0338	271	1.1e-73	241.0		Dam; 
KC292028.1_8331_8603_+												Hypothetical
KC292028.1_8672_9007_+												Hypothetical
KC292028.1_9138_9461_+					phrog_23116	VOG14451	VOG:VOG14451	107	3e-52	168.3		REFSEQ hypothetical protein
KC292028.1_9466_11130_+		K06909	COG1783, COG1783		phrog_3717, phrog_6672	VOG07294	COG:COG1783	554	5.6e-55	142.4		XtmB; 
KC292028.1_11267_12436_-												Hypothetical
KC292028.1_11354_13567_+			COG4695		phrog_2662	VOG14462	VOG:VOG14462	737	0	1359.3		REFSEQ portal protein
KC292028.1_13567_13866_+												Hypothetical
KC292028.1_13866_15224_+					phrog_35927	VOG26446	VOG:VOG26446	452	3.7e-270	888.1		REFSEQ hypothetical protein
KC292028.1_15285_15494_+					phrog_37024	VOG26447	VOG:VOG26447	69	3.1e-40	128.9		REFSEQ hypothetical protein
KC292028.1_15494_15865_+		K01174	COG1525		phrog_452	VOG08825	VOG:VOG08825	123	4e-39	126.4		REFSEQ endonuclease
KC292028.1_16116_17564_+												Hypothetical
KC292028.1_17959_19533_+					phrog_33677	VOG01471	PHROG:phrog_33677	524	0	1016.4		head maturation protease
KC292028.1_19535_20716_+					phrog_25898	VOG14465	VOG:VOG14465	393	1.3e-227	747.2		REFSEQ major head protein
KC292028.1_20720_20995_+												Hypothetical
KC292028.1_21043_21789_+					phrog_17057	VOG03157	VOG:VOG03157	248	5e-105	342.6		REFSEQ hypothetical protein
KC292028.1_21792_22346_+					phrog_21196	VOG14446	VOG:VOG14446	184	1.9e-96	313.5		REFSEQ hypothetical protein
KC292028.1_22346_22822_+					phrog_19972	VOG14447	VOG:VOG14447	158	6.9e-89	287.8		REFSEQ hypothetical protein
KC292028.1_22833_23159_+					phrog_29270	VOG26448	VOG:VOG26448	108	3.4e-62	200.2		REFSEQ hypothetical protein
KC292028.1_23162_24142_+					phrog_290	VOG00339	VOG:VOG00339	326	4.4e-51	166.2		REFSEQ hypothetical protein
KC292028.1_24176_24652_+					phrog_25860	VOG02727	PHROG:phrog_25860	158	1.6e-108	354.9		tail assembly chaperone
KC292028.1_24685_25143_+					phrog_25860	VOG02727	PHROG:phrog_25860	152	2e-98	321.7		tail assembly chaperone
KC292028.1_25147_26454_+			COG5412		phrog_15478	VOG05734	PHROG:phrog_15478	435	1.4e-192	632.6		tail length tape measure protein
KC292028.1_26470_26913_+					phrog_20371	VOG14449	VOG:VOG14449	147	1.2e-81	263.9		REFSEQ hypothetical protein
KC292028.1_26921_28390_+			COG3500		phrog_21793	VOG14448	VOG:VOG14448	489	3e-265	872.5		REFSEQ hypothetical protein
KC292028.1_28390_29193_+												Hypothetical
KC292028.1_29196_30191_+												Hypothetical
KC292028.1_30313_31185_-												Hypothetical
KC292028.1_31040_31489_+												Hypothetical
KC292028.1_31564_32091_-												Hypothetical
KC292028.1_32078_32455_-												Hypothetical
KC292028.1_32455_32625_-												Hypothetical
KC292028.1_32622_32939_-												Hypothetical
KC292028.1_32936_33157_-												Hypothetical
KC292028.1_33154_33408_-												Hypothetical
KC292028.1_33500_34135_-												Hypothetical
KC292028.1_34405_35997_+					phrog_20556	VOG02941	PHROG:phrog_20556	530	9.1e-286	940.6		baseplate protein
KC292028.1_35997_37094_+					phrog_18503	VOG14452	VOG:VOG14452	365	1.3e-174	573.0		REFSEQ hypothetical protein
KC292028.1_37180_38349_+		K17713			phrog_8401		PHROG:phrog_8401	389	3.8e-62	202.8		beta-propeller repeat protein
KC292028.1_38415_38834_+						VOG26451	VOG:VOG26451	139	5e-81	262.7		REFSEQ hypothetical protein
KC292028.1_38835_39614_-		K03552	COG1591		phrog_6591	VOG26449	VOG:VOG26449	110	1.8e-66	214.3		REFSEQ Holliday junction resolvase
KC292028.1_39236_40018_-												Hypothetical
KC292028.1_40038_40340_-												Hypothetical
KC292028.1_40333_40836_-												Hypothetical
KC292028.1_40998_41279_-						VOG26450	VOG:VOG26450	93	1.9e-52	168.6		REFSEQ hypothetical protein
KC292028.1_41289_41696_-												Hypothetical
KC292028.1_41689_41994_-												Hypothetical
KC292028.1_42000_42488_-												Hypothetical
KC292028.1_42584_43003_-						VOG26452	VOG:VOG26452	136	9.6e-83	267.9		REFSEQ hypothetical protein
KC292028.1_43000_43230_-												Hypothetical
KC292028.1_43223_45028_-		K07463	COG1107				KEGG:K07463	601	1.4e-10	30.9		K07463; archaea-specific RecJ-like exonuclease
KC292028.1_45070_45414_-												Hypothetical
KC292028.1_45418_46611_-					phrog_13083	VOG14405	VOG:VOG14405	397	1e-203	668.7		REFSEQ hypothetical protein
KC292028.1_47030_47266_+												Hypothetical
KC292028.1_47270_49624_+			COG4548			VOG01459	VOG:VOG01459	784	3.7e-118	245.4		REFSEQ cobalamin biosynthesis protein
KC292028.1_49672_50199_+			COG2826		phrog_7545	VOG01254, VOG02127	PHROG:phrog_7545	175	3.7e-57	174.4		HNH endonuclease
KC292028.1_50322_50924_+												Hypothetical
KC292028.1_51100_51264_+												Hypothetical
KC292028.1_51264_52817_+												Hypothetical
KC292028.1_52676_53299_+					phrog_7545	VOG01272	PHROG:phrog_7545	207	3e-50	162.6		HNH endonuclease
KC292028.1_53624_54184_-												Hypothetical
