locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
JF917095.1_1		K10726	COG1241		phrog_10371	VOG14467	PHROG:phrog_10371	577	1.9e-215	708.0		DNA helicase
JF917095.1_2												Hypothetical
JF917095.1_3												Hypothetical
JF917095.1_4												Hypothetical
JF917095.1_5												Hypothetical
JF917095.1_6					phrog_27407		PHROG:phrog_27407	175	2.9e-108	350.7		Holliday junction resolvase
JF917095.1_7												Hypothetical
JF917095.1_8												Hypothetical
JF917095.1_9					phrog_32591		PHROG:phrog_32591	118	2.1e-83	267.4		transcriptional regulator
JF917095.1_10												Hypothetical
JF917095.1_11												Hypothetical
JF917095.1_12			COG4342		phrog_5127	VOG36908	PHROG:phrog_5127	319	1e-82	255.2		integrase
JF917095.1_13												Hypothetical
JF917095.1_14												Hypothetical
JF917095.1_15												Hypothetical
JF917095.1_16												Hypothetical
JF917095.1_17												Hypothetical
JF917095.1_18					phrog_33799		PHROG:phrog_33799	298	2.6e-203	664.1		membrane protein
JF917095.1_19												Hypothetical
JF917095.1_20												Hypothetical
JF917095.1_21												Hypothetical
JF917095.1_22												Hypothetical
JF917095.1_23												Hypothetical
JF917095.1_24												Hypothetical
JF917095.1_25												Hypothetical
JF917095.1_26												Hypothetical
JF917095.1_27						VOG02960	VOG:VOG02960	100	3.6e-14	43.7		sp|Q5UR52|YR584_MIMIV Uncharacterized N-acetyltransferase R584
JF917095.1_28												Hypothetical
JF917095.1_29												Hypothetical
JF917095.1_30												Hypothetical
JF917095.1_31					phrog_28707		PHROG:phrog_28707	120	2.5e-83	270.0		nuclease
JF917095.1_32												Hypothetical
JF917095.1_33					phrog_35915		PHROG:phrog_35915	83	3.4e-62	197.8		zinc-finger domain protein
JF917095.1_34												Hypothetical
JF917095.1_35												Hypothetical
JF917095.1_36												Hypothetical
JF917095.1_37												Hypothetical
