	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001543.1_1	QGNH01001543.1	QGNH01001543.1	1	2	1300	-1	D																Pectate lyase superfamily protein [PF12708.10]				0	False	F
QGNH01001543.1_2	QGNH01001543.1	QGNH01001543.1	2	1317	2210	-1	E			YP_005087322.1	YP_005087322.1 hypothetical protein RoPhREQ1_gp70 [Rhodococcus phage REQ1]	False	0.278	61.0	4.867e-09												0	False	F
QGNH01001543.1_3	QGNH01001543.1	QGNH01001543.1	3	2226	3665	-1	D																Glycosyl transferase family 2 [PF00535.29]; Glycosyltransferase like family 2 [PF13641.9]				0	False	F
QGNH01001543.1_4	QGNH01001543.1	QGNH01001543.1	4	3662	3937	-1	E																				0	False	F
QGNH01001543.1_5	QGNH01001543.1	QGNH01001543.1	5	3937	4176	-1	E																				0	False	F
QGNH01001543.1_6	QGNH01001543.1	QGNH01001543.1	6	4173	5045	-1	D			YP_010669815.1	YP_010669815.1 nucleotide-sugar epimerase [Synechococcus phage S-SCSM1]	False	0.218	77.0	4.841e-14								GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; RmlD substrate binding domain [PF04321.20]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; Male sterility protein [PF07993.15]	VOG00055	sp|Q9SYM5|RHM1_ARATH Trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1; Xh	Xh	0	False	MKF
QGNH01001543.1_7	QGNH01001543.1	QGNH01001543.1	7	5042	5752	-1	D			YP_010669822.1	YP_010669822.1 glycosyltransferase [Synechococcus phage S-SCSM1]	False	0.275	80.0	1.14e-15								Protein of unknown function (DUF616) [PF04765.16]	VOG01354	REFSEQ glycosyltransferase; Xu	Xu	0	False	
QGNH01001543.1_8	QGNH01001543.1	QGNH01001543.1	8	5749	6456	-1	E			YP_010670317.1	YP_010670317.1 hypothetical protein PQC13_gp342 [Synechococcus phage S-SRM01]	False	0.272	79.0	3.76e-15												0	False	
QGNH01001543.1_9	QGNH01001543.1	QGNH01001543.1	9	6435	7073	-1	E																				0	False	
QGNH01001543.1_10	QGNH01001543.1	QGNH01001543.1	10	7658	9076	-1	D			YP_009289666.1	YP_009289666.1 head scaffolding protein [Gordonia phage Zirinka]	False	0.366	211.0	5.476000000000001e-57								Phage capsid family [PF05065.16]	VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0	False	V
QGNH01001543.1_11	QGNH01001543.1	QGNH01001543.1	11	9093	10748	-1	C	K06904	uncharacterized protein	YP_005087321.1	YP_005087321.1 head maturation protease [Rhodococcus phage REQ1]	False	0.344	106.0	4.358999999999999e-22	MER0173594	S78	MER0173594 - family S78 unassigned peptidases (Rhodococcus erythropolis) [S78.UPW]#S78#{peptidase unit: 18-175}~source YP_002767422~	False	89.0	1.462e-16	0.335	Caudovirus prohead serine protease [PF04586.20]				1	False	P
QGNH01001543.1_12	QGNH01001543.1	QGNH01001543.1	12	10748	11917	-1	D			YP_010654946.1	YP_010654946.1 portal protein [Gordonia phage Mcklovin]	False	0.422	285.0	1.893e-83								Phage portal protein [PF04860.15]	VOG25223	REFSEQ portal protein; Xu	Xu	0	False	
QGNH01001543.1_13	QGNH01001543.1	QGNH01001543.1	13	12175	13071	1	D			YP_007238073.1	YP_007238073.1 homing endonuclease [Xanthomonas phage CP1]	False	0.335	94.0	1.088e-19								GIY-YIG catalytic domain [PF01541.27]	VOG00100	REFSEQ homing endonuclease; Xu	Xu	0	False	
QGNH01001543.1_14	QGNH01001543.1	QGNH01001543.1	14	13301	14743	-1	D			YP_010674599.1	YP_010674599.1 terminase large subunit [Gordonia phage Emperor]	False	0.302	213.0	1.467e-57								Terminase large subunit, ATPase domain [PF03354.18]; Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01001543.1_15	QGNH01001543.1	QGNH01001543.1	15	15325	15957	-1	D			YP_009274039.1	YP_009274039.1 terminase small subunit [Gordonia phage McGonagall]	False	0.26	78.0	2.767e-15								HNH endonuclease [PF14279.9]; HNH endonuclease [PF01844.26]	VOG03883	sp|O64200|VG04_BPMD2 Gene 4 protein; Xu	Xu	0	False	F
QGNH01001543.1_16	QGNH01001543.1	QGNH01001543.1	16	15917	16456	-1	E																				0	False	F
QGNH01001543.1_17	QGNH01001543.1	QGNH01001543.1	17	16425	16691	-1	E																				0	False	F
QGNH01001543.1_18	QGNH01001543.1	QGNH01001543.1	18	16684	16875	-1	E																				0	False	F
QGNH01001543.1_19	QGNH01001543.1	QGNH01001543.1	19	17045	17554	-1	E																				0	False	F
QGNH01001543.1_20	QGNH01001543.1	QGNH01001543.1	20	17538	17759	-1	E																				0	False	F
QGNH01001543.1_21	QGNH01001543.1	QGNH01001543.1	21	17756	18319	-1	E																				0	False	F
