Target Name	ID	EC value	E-Value (sequence)	Score (domain)
NZ_ASHR01000014.1_88252_88461_-	VOG00006		4.3e-10	34.2
NZ_ASHR01000014.1_259110_259358_-	VOG00006		1.1e-09	32.8
NZ_ASHR01000014.1_88763_89062_-	VOG00006		2e-07	25.3
NZ_ASHR01000014.1_207207_208205_+	VOG00055		4.5e-73	241.1
NZ_ASHR01000014.1_208208_209626_+	VOG00055		1e-21	71.5
NZ_ASHR01000014.1_89059_90438_-	VOG00056		3.1e-48	158.8
NZ_ASHR01000014.1_236715_240275_+	VOG00107		1e-19	63.8
NZ_ASHR01000014.1_162494_164602_+	VOG00121		2e-58	187.6
NZ_ASHR01000014.1_197464_198690_+	VOG00251		3.6e-09	28.8
NZ_ASHR01000014.1_87120_87440_-	VOG00259		1.4e-13	44.9
NZ_ASHR01000014.1_303555_304385_-	VOG00261		1.6e-08	27.2
NZ_ASHR01000014.1_250261_251505_+	VOG00272		7.2e-22	70.6
NZ_ASHR01000014.1_46404_49301_+	VOG00282		9.2e-27	87.9
NZ_ASHR01000014.1_54702_55586_+	VOG00282		2.6e-14	46.8
NZ_ASHR01000014.1_69070_70230_+	VOG00282		1.2e-09	31.3
NZ_ASHR01000014.1_33826_35400_+	VOG00352		2.8e-40	132.0
NZ_ASHR01000014.1_12846_14357_+	VOG00352		3.8e-33	108.3
NZ_ASHR01000014.1_290561_291760_-	VOG00352		5e-30	98.0
NZ_ASHR01000014.1_37799_38215_-	VOG00352		1.5e-25	83.3
NZ_ASHR01000014.1_12077_12829_+	VOG00352		7.1e-21	67.8
NZ_ASHR01000014.1_86176_87042_-	VOG00376		2.5e-51	169.3
NZ_ASHR01000014.1_68418_69050_+	VOG00557		2.7e-41	136.5
NZ_ASHR01000014.1_118902_119732_-	VOG00592		5.8e-15	48.3
NZ_ASHR01000014.1_178822_179697_+	VOG00785		2.5e-41	135.9
NZ_ASHR01000014.1_132051_133163_+	VOG00785		2.9e-15	49.7
NZ_ASHR01000014.1_72567_74270_+	VOG00948		7.1e-09	29.2
NZ_ASHR01000014.1_161413_162375_-	VOG00976		2.4e-43	142.4
NZ_ASHR01000014.1_10343_10939_-	VOG01074		1.2e-23	77.0
NZ_ASHR01000014.1_218356_219483_+	VOG01191		6.6e-15	47.2
NZ_ASHR01000014.1_158266_159528_+	VOG01191		1.5e-13	44.4
NZ_ASHR01000014.1_120814_122472_+	VOG01465		4.2e-22	60.0
NZ_ASHR01000014.1_198826_199194_+	VOG01986		2.7e-29	97.1
NZ_ASHR01000014.1_262915_263163_-	VOG01986		1e-27	91.8
NZ_ASHR01000014.1_261334_262842_+	VOG02135		4.4e-08	25.8
NZ_ASHR01000014.1_243264_244514_+	VOG02983		3.6e-34	112.0
NZ_ASHR01000014.1_153668_155722_+	VOG02992		1.1e-30	99.4
NZ_ASHR01000014.1_151942_153666_+	VOG02992		9.8e-26	83.8
NZ_ASHR01000014.1_16522_18375_+	VOG02992		2.2e-25	82.4
