Sample_ID	DRAM-ORF_count	DRAM-Annotated	DRAM-Hypothetical	DRAM-Unknown	InterProScan-ORF_count	InterProScan-Annotated	InterProScan-Hypothetical	InterProScan-Unknown	Metacerberus-ORF_count	Metacerberus-Annotated	Metacerberus-Hypothetical	Metacerberus-Unknown	Metacerberus_fgs-ORF_count	Metacerberus_fgs-Annotated	Metacerberus_fgs-Hypothetical	Metacerberus_fgs-Unknown	PROKKA-ORF_count	PROKKA-Annotated	PROKKA-Hypothetical	PROKKA-Unknown
GCA_000402355.1	1165.0	711.0	1.0	453.0	268.0	231.0	1.0	36.0	1215.0	814.0	401.0	0.0					1217.0	442.0	775.0	0.0
GCA_001717015.1	1395.0	1107.0	6.0	282.0	536.0	452.0	0.0	84.0	1490.0	1221.0	269.0	0.0	1472.0	1145.0	327.0	0.0	1403.0	657.0	746.0	0.0
GCA_001875425.1	988.0	799.0	3.0	186.0	166.0	163.0	0.0	3.0	989.0	834.0	155.0	0.0	961.0	771.0	190.0	0.0	1005.0	511.0	494.0	0.0
GCA_002010195.1	2138.0	1659.0	6.0	473.0	724.0	692.0	0.0	32.0	3455.0	2517.0	938.0	0.0					2111.0	1002.0	1109.0	0.0
GCA_002254385.1	1556.0	1077.0	3.0	476.0	872.0	633.0	1.0	238.0	1551.0	1194.0	357.0	0.0					1539.0	511.0	1028.0	0.0
GCA_002495235.1	1189.0	885.0	2.0	302.0	602.0	500.0	1.0	101.0	1222.0	962.0	260.0	0.0	1224.0	840.0	384.0	0.0	1140.0	491.0	649.0	0.0
GCA_002497905.1	1502.0	976.0	4.0	522.0	630.0	521.0	0.0	109.0	1505.0	1101.0	404.0	0.0	1494.0	1059.0	435.0	0.0	1429.0	558.0	871.0	0.0
GCA_002508425.1	2507.0	1949.0	1.0	557.0	1035.0	978.0	0.0	57.0	2565.0	2070.0	495.0	0.0					2415.0	1068.0	1347.0	0.0
GCA_002687075.1	1819.0	1148.0	3.0	668.0	491.0	420.0	1.0	70.0	3505.0	1782.0	1723.0	0.0					1822.0	644.0	1178.0	0.0
GCA_002697705.1	1325.0	860.0	1.0	464.0	570.0	494.0	0.0	76.0	2112.0	1208.0	904.0	0.0					1348.0	470.0	878.0	0.0
GCA_002720275.1	1519.0	982.0	1.0	536.0	381.0	341.0	0.0	40.0	1957.0	1124.0	833.0	0.0					1517.0	598.0	919.0	0.0
GCA_002779595.1	978.0	558.0	3.0	417.0	528.0	468.0	0.0	60.0	1077.0	670.0	407.0	0.0	969.0	591.0	378.0	0.0	977.0	354.0	623.0	0.0
GCA_002839545.1	2218.0	1650.0	3.0	565.0	770.0	725.0	0.0	45.0	2315.0	1794.0	521.0	0.0					2238.0	931.0	1307.0	0.0
GCA_003021755.1	1854.0	1352.0	5.0	497.0	946.0	508.0	0.0	438.0	1897.0	1394.0	503.0	0.0					1786.0	711.0	1075.0	0.0
GCA_003021785.1	2471.0	1761.0	2.0	708.0	121.0	93.0	0.0	28.0	2445.0	1804.0	641.0	0.0	2296.0	1666.0	630.0	0.0	2469.0	962.0	1507.0	0.0
GCA_003141335.1	2271.0	1613.0	3.0	655.0	723.0	621.0	1.0	101.0	2366.0	1740.0	626.0	0.0					2277.0	882.0	1395.0	0.0
GCA_003158115.1	2499.0	1801.0	5.0	693.0	682.0	647.0	0.0	35.0	2544.0	1950.0	594.0	0.0	2521.0	1912.0	609.0	0.0	2436.0	1035.0	1401.0	0.0
GCA_003551125.1	513.0	317.0	0.0	196.0	272.0	200.0	0.0	72.0	511.0	354.0	157.0	0.0					471.0	212.0	259.0	0.0
GCA_003602475.1	1610.0	1074.0	2.0	534.0	332.0	264.0	0.0	68.0	1670.0	1213.0	457.0	0.0					1663.0	594.0	1069.0	0.0
GCA_003649085.1	2282.0	1573.0	5.0	704.0	1219.0	1036.0	1.0	182.0	2347.0	1745.0	602.0	0.0					2182.0	902.0	1280.0	0.0
