	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001412.1_1	QGNH01001412.1	QGNH01001412.1	1	1	207	1	E																				0	False	TF
QGNH01001412.1_2	QGNH01001412.1	QGNH01001412.1	2	197	595	1	E																				0	False	TF
QGNH01001412.1_3	QGNH01001412.1	QGNH01001412.1	3	781	963	-1	E																				0	False	TF
QGNH01001412.1_4	QGNH01001412.1	QGNH01001412.1	4	948	1157	-1	E																				0	False	TF
QGNH01001412.1_5	QGNH01001412.1	QGNH01001412.1	5	1232	2341	-1	C	K07496	putative transposase	YP_009223851.1	YP_009223851.1 transposase [Geobacillus virus E3]	False	0.332	195.0	6.182e-53								Probable transposase [PF01385.22]; Putative transposase DNA-binding domain [PF07282.14]; Helix-turn-helix domain [PF12323.11]	VOG00072	sp|P54992|YSNA_STRPR Putative RNA-guided DNA endonuclease; Xr	Xr	0	True	VTF
QGNH01001412.1_6	QGNH01001412.1	QGNH01001412.1	6	2614	3216	-1	D			YP_009196160.1	YP_009196160.1 DNA cytosine methyltransferase [Paenibacillus phage Vegas]	False	0.475	192.0	2.13e-54								C-5 cytosine-specific DNA methylase [PF00145.20]; RNA cap guanine-N2 methyltransferase [PF09445.13]				0	False	TF
QGNH01001412.1_7	QGNH01001412.1	QGNH01001412.1	7	4040	4534	1	E																				0	False	TF
QGNH01001412.1_8	QGNH01001412.1	QGNH01001412.1	8	4531	5007	1	E																				1	False	TF
QGNH01001412.1_9	QGNH01001412.1	QGNH01001412.1	9	5079	5246	1	E																				0	False	T
QGNH01001412.1_10	QGNH01001412.1	QGNH01001412.1	10	5294	5464	1	E																				0	False	T
QGNH01001412.1_11	QGNH01001412.1	QGNH01001412.1	11	6537	7724	1	D																Repeat of unknown function (DUF346) [PF03984.16]				0	False	T
QGNH01001412.1_12	QGNH01001412.1	QGNH01001412.1	12	8186	8689	1	E																	VOG02110	REFSEQ terminase small subunit; Xu	Xu	0	False	T
QGNH01001412.1_13	QGNH01001412.1	QGNH01001412.1	13	8676	9506	1	C	K06909	phage terminase large subunit	YP_008059213.1	YP_008059213.1 terminase large subunit [Halogranum tailed virus 1]	False	0.317	118.0	7.395e-28								Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Terminase large subunit, ATPase domain [PF03354.18]; Phage terminase large subunit [PF04466.16]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	T
QGNH01001412.1_14	QGNH01001412.1	QGNH01001412.1	14	9509	9631	1	E																				0	False	T
QGNH01001412.1_15	QGNH01001412.1	QGNH01001412.1	15	9637	9804	1	E																				0	False	T
QGNH01001412.1_16	QGNH01001412.1	QGNH01001412.1	16	9801	11819	1	D			YP_010772041.1	YP_010772041.1 MAG: DNA ligase [unclassified virus PBV299]	False	0.262	132.0	6.88e-30	MER0180392	N11	MER0180392 - family N11 unassigned peptide lyases (Methanoculleus marisnigri) [N11.UPW]#N11#{peptidase unit: 415-773}~source ABN57178~	False	0.274	141.0	1.434e-32		VOG00184	sp|P46850|RTCB_ECOLI RNA-splicing ligase RtcB; XhXr	Xh;Xr	0	False	VPT
QGNH01001412.1_17	QGNH01001412.1	QGNH01001412.1	17	11830	11991	1	E																				0	False	T
QGNH01001412.1_18	QGNH01001412.1	QGNH01001412.1	18	12213	12974	1	E																				0	False	T
QGNH01001412.1_19	QGNH01001412.1	QGNH01001412.1	19	12974	13309	1	E																				0	False	T
QGNH01001412.1_20	QGNH01001412.1	QGNH01001412.1	20	13504	13653	1	E																				0	False	T
QGNH01001412.1_21	QGNH01001412.1	QGNH01001412.1	21	13650	14846	1	D									MER0243586	C01B	MER0243586 - subfamily C1B unassigned peptidases (Methanosaeta concilii) [C01.UPB]#C01B#{peptidase unit: 23-301}~source YP_004385513~	False	0.282	110.0	5.63e-24	Papain family cysteine protease [PF00112.26]	VOG04780	REFSEQ hypothetical protein; Xu	Xu	0	False	PT
QGNH01001412.1_22	QGNH01001412.1	QGNH01001412.1	22	14875	15759	1	D			YP_006560243.1	YP_006560243.1 head morphogenesis [Marinomonas phage P12026]	False	0.352	94.0	1.356e-19								Phage Mu protein F like protein [PF04233.17]	VOG00318	sp|P45918|YQBB_BACSU Uncharacterized protein YqbB; Xu	Xu	0	False	T
QGNH01001412.1_23	QGNH01001412.1	QGNH01001412.1	23	15756	16043	1	E																				0	False	T
QGNH01001412.1_24	QGNH01001412.1	QGNH01001412.1	24	16009	16287	1	E																				0	False	T
QGNH01001412.1_25	QGNH01001412.1	QGNH01001412.1	25	16284	16547	1	E																				0	False	T
QGNH01001412.1_26	QGNH01001412.1	QGNH01001412.1	26	17518	17658	1	E																				0	False	T
QGNH01001412.1_27	QGNH01001412.1	QGNH01001412.1	27	17679	17834	1	E																				0	False	T
QGNH01001412.1_28	QGNH01001412.1	QGNH01001412.1	28	17838	18053	1	E																				0	False	T
QGNH01001412.1_29	QGNH01001412.1	QGNH01001412.1	29	18034	18234	1	E																				0	False	T
QGNH01001412.1_30	QGNH01001412.1	QGNH01001412.1	30	18247	18438	1	E																				0	False	T
QGNH01001412.1_31	QGNH01001412.1	QGNH01001412.1	31	18775	19008	1	E																				0	False	T
QGNH01001412.1_32	QGNH01001412.1	QGNH01001412.1	32	18998	19309	1	E																				0	False	T
QGNH01001412.1_33	QGNH01001412.1	QGNH01001412.1	33	19479	20999	1	D																Phage portal protein [PF04860.15]	VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xh;Xs;Xp;Xr	0	False	VT
QGNH01001412.1_34	QGNH01001412.1	QGNH01001412.1	34	20996	21226	1	E																				0	False	T
QGNH01001412.1_35	QGNH01001412.1	QGNH01001412.1	35	21207	21551	1	E																				0	False	T
QGNH01001412.1_36	QGNH01001412.1	QGNH01001412.1	36	21553	23112	1	C	K06904	uncharacterized protein							MER1087795	S78	MER1087795 - family S78 unassigned peptidases (Gluconobacter morbifer) [S78.UPW]#S78#{peptidase unit: 56-176}~source G6XIV8~	False	0.31	73.0	7.114e-12	Caudovirus prohead serine protease [PF04586.20]				0	False	PT
QGNH01001412.1_37	QGNH01001412.1	QGNH01001412.1	37	23124	24332	1	D			YP_001111085.1	YP_001111085.1 gp6, major capsid head protein [Burkholderia phage phi644-2]	False	0.381	216.0	1.3069999999999998e-59								Phage capsid family [PF05065.16]	VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0	False	VTF
QGNH01001412.1_38	QGNH01001412.1	QGNH01001412.1	38	24362	24901	1	E																				0	False	TF
QGNH01001412.1_39	QGNH01001412.1	QGNH01001412.1	39	24988	25224	1	E																				0	False	TF
QGNH01001412.1_40	QGNH01001412.1	QGNH01001412.1	40	25241	25525	1	E																				0	False	TF
QGNH01001412.1_41	QGNH01001412.1	QGNH01001412.1	41	25522	25977	1	E																				0	False	TF
QGNH01001412.1_42	QGNH01001412.1	QGNH01001412.1	42	25977	26243	1	E																				1	False	TF
QGNH01001412.1_43	QGNH01001412.1	QGNH01001412.1	43	26243	26710	1	E																				0	False	TF
QGNH01001412.1_44	QGNH01001412.1	QGNH01001412.1	44	26723	27016	1	E																				0	False	TF
QGNH01001412.1_45	QGNH01001412.1	QGNH01001412.1	45	27013	27303	1	E																				0	False	TF
QGNH01001412.1_46	QGNH01001412.1	QGNH01001412.1	46	27317	27919	1	E																				0	False	TF
QGNH01001412.1_47	QGNH01001412.1	QGNH01001412.1	47	27928	28158	1	E																				0	False	TF
