target	query	e-value	score	length	start	end
NZ_ASHR01000014.1_256790_257644_+	CE14	2.9e-41	133.8	284	5	138
NZ_ASHR01000014.1_29582_30799_+	CE9	6.4e-17	31.6	405	321	362
NZ_ASHR01000014.1_172190_173137_-	GT21	4.2e-09	30.0	315	14	169
NZ_ASHR01000014.1_130801_131988_-	GT4	8.5e-32	99.8	395	211	355
NZ_ASHR01000014.1_173146_174246_-	GT4	7.6e-11	35.2	366	214	338
NZ_ASHR01000014.1_56914_59478_-	GT51	1.4e-54	177.6	854	79	269
NZ_ASHR01000014.1_130801_131988_-	GT5	1.5e-14	46.0	395	204	358
NZ_ASHR01000014.1_175853_178780_+	GT94	4.6e-26	84.6	975	376	625
NZ_ASHR01000014.1_250261_251505_+	AA7	3.2e-19	62.8	414	4	173
NZ_ASHR01000014.1_193148_193864_+	GT2_Glycos_transf_2	1.7e-25	83.3	238	23	145
NZ_ASHR01000014.1_172190_173137_-	GT2_Glycos_transf_2	6.3e-24	77.9	315	2	106
NZ_ASHR01000014.1_190971_191804_-	GT2_Glycos_transf_2	1e-21	71.2	277	7	169
NZ_ASHR01000014.1_179705_180598_-	GT2_Glycos_transf_2	2.3e-14	47.1	297	2	120
NZ_ASHR01000014.1_200599_203373_+	GT2_Glycos_transf_2	5.8e-08	25.9	924	15	178
NZ_ASHR01000014.1_172190_173137_-	GT2_Glyco_tranf_2_2	1.2e-08	28.5	315	3	103
NZ_ASHR01000014.1_200599_203373_+	GT2_Glyco_tranf_2_3	2.3e-16	53.6	924	5	221
NZ_ASHR01000014.1_172190_173137_-	GT2_Glyco_tranf_2_3	4.5e-16	52.8	315	2	117
NZ_ASHR01000014.1_179705_180598_-	GT2_Glyco_tranf_2_3	1.4e-08	28.6	297	3	193
NZ_ASHR01000014.1_190971_191804_-	GT2_Glyco_tranf_2_3	4.8e-08	26.5	277	7	194
NZ_ASHR01000014.1_197464_198690_+	GT2_Glyco_tranf_2_4	5.7e-22	70.5	408	10	107
NZ_ASHR01000014.1_193148_193864_+	GT2_Glyco_tranf_2_4	4.7e-08	26.7	238	29	105
