locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
JAJYVJ010000073.1_199_762_+												Hypothetical
JAJYVJ010000073.1_917_1459_+												Hypothetical
JAJYVJ010000073.1_1831_3099_-		K07133	COG1373				COG:COG1373	422	1.8e-68	228.0		; 
JAJYVJ010000073.1_3143_3319_+												Hypothetical
JAJYVJ010000073.1_4067_4723_-												Hypothetical
JAJYVJ010000073.1_4707_5333_-												Hypothetical
JAJYVJ010000073.1_5408_6718_-		K07133	COG1373				COG:COG1373	436	1.2e-99	330.8		; 
JAJYVJ010000073.1_6909_7325_-			COG4113				COG:COG4113	134	3e-18	62.7		VapC; 
JAJYVJ010000073.1_7330_7554_-		K19164	COG5302				COG:COG5302	74	1.2e-08	31.6		; 
JAJYVJ010000073.1_7917_8150_+												Hypothetical
JAJYVJ010000074.1_243_524_+												Hypothetical
JAJYVJ010000074.1_593_838_+												Hypothetical
JAJYVJ010000074.1_948_2831_+												Hypothetical
JAJYVJ010000074.1_3103_3540_-												Hypothetical
JAJYVJ010000074.1_3583_3921_-												Hypothetical
JAJYVJ010000074.1_4596_7088_-		K16247	COG3903	GT41	phrog_24039		KEGG:K16247	830	4.1e-122	405.6		gutR; LuxR family transcriptional regulator, glucitol operon activator
JAJYVJ010000074.1_7872_7994_-												Hypothetical
JAJYVJ010000075.1_2_202_+												Hypothetical
JAJYVJ010000075.1_225_350_-												Hypothetical
JAJYVJ010000075.1_430_1017_+												Hypothetical
JAJYVJ010000075.1_1066_2424_+	K00383	K00383	COG1249		phrog_6397	VOG16777	COG:COG1249	452	1.3e-144	480.5		Lpd; Glycine cleavagePyruvate oxidation
JAJYVJ010000075.1_2462_2590_-												Hypothetical
JAJYVJ010000075.1_2789_3691_-		K04095	COG3177		phrog_11900	VOG01532	COG:COG3177	300	1e-51	173.1		; 
JAJYVJ010000075.1_4308_4475_-												Hypothetical
JAJYVJ010000075.1_4604_4942_-			COG1487				COG:COG1487	107	1.7e-09	34.2		VapC; 
JAJYVJ010000075.1_4952_5188_-												Hypothetical
JAJYVJ010000075.1_5220_6251_-			COG1275				COG:COG1275	343	3.4e-29	98.8		TehA; 
JAJYVJ010000075.1_6293_7036_-			COG0599, COG0599				COG:COG0599	247	4.5e-18	36.1		YurZ; 
