	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
SAMN04315892_MFIO01000001.1_1	SAMN04315892	MFIO01000001.1	1	2	1012	-1	C	K00970	poly(A) polymerase [EC:2.7.7.19]								Poly A polymerase head domain [PF01743.23]; Probable RNA and SrmB- binding site of polymerase A [PF12627.10]; HD domain [PF01966.25]					0
SAMN04315892_MFIO01000001.1_2	SAMN04315892	MFIO01000001.1	2	1068	1433	-1	D										23S rRNA-intervening sequence protein [PF05635.14]					0
SAMN04315892_MFIO01000001.1_3	SAMN04315892	MFIO01000001.1	3	1580	1945	-1	D										Type IV secretion system pilin [PF18895.3]					0
SAMN04315892_MFIO01000001.1_4	SAMN04315892	MFIO01000001.1	4	2036	2953	-1	E															0
SAMN04315892_MFIO01000001.1_5	SAMN04315892	MFIO01000001.1	5	2971	3750	-1	E															0
SAMN04315892_MFIO01000001.1_6	SAMN04315892	MFIO01000001.1	6	3769	4614	-1	D										Macroglobulin domain MG4 [PF17789.4]					0
SAMN04315892_MFIO01000001.1_7	SAMN04315892	MFIO01000001.1	7	4757	5692	-1	D										Phage integrase family [PF00589.25]; Phage integrase, N-terminal SAM-like domain [PF02899.20]; Phage integrase, N-terminal SAM-like domain [PF13495.9]					0
SAMN04315892_MFIO01000001.1_8	SAMN04315892	MFIO01000001.1	8	5737	6009	1	C	K02956	small subunit ribosomal protein S15								Ribosomal protein S15 [PF00312.25]					0
SAMN04315892_MFIO01000001.1_9	SAMN04315892	MFIO01000001.1	9	6011	6520	1	D										NYN domain [PF01936.21]					0
SAMN04315892_MFIO01000001.1_10	SAMN04315892	MFIO01000001.1	10	6536	6787	1	D										Domain of unknown function (DUF4258) [PF14076.9]					0
SAMN04315892_MFIO01000001.1_11	SAMN04315892	MFIO01000001.1	11	6791	7030	1	E															0
SAMN04315892_MFIO01000001.1_12	SAMN04315892	MFIO01000001.1	12	7097	7384	-1	E															0
SAMN04315892_MFIO01000001.1_13	SAMN04315892	MFIO01000001.1	13	7557	9734	1	C	K00962	polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]								3' exoribonuclease family, domain 1 [PF01138.24]; S1 RNA binding domain [PF00575.26]; 3' exoribonuclease family, domain 2 [PF03725.18]; KH domain [PF00013.32]					0
SAMN04315892_MFIO01000001.1_14	SAMN04315892	MFIO01000001.1	14	9739	10407	1	E															0
SAMN04315892_MFIO01000001.1_15	SAMN04315892	MFIO01000001.1	15	10440	10808	1	C	K06204	DnaK suppressor protein								Prokaryotic dksA/traR C4-type zinc finger [PF01258.20]					0
SAMN04315892_MFIO01000001.1_16	SAMN04315892	MFIO01000001.1	16	10805	12334	1	C	K07391	magnesium chelatase family protein	MER0273917	S16	MER0273917 - family S16 non-peptidase homologues (Herpetosiphon aurantiacus) [S16.UNW]#S16#{peptidase unit: 10-413}~source YP_001543461~	True	0.551	425.0	2.818e-129	Magnesium chelatase, subunit ChlI [PF01078.24]; Subunit ChlI of Mg-chelatase [PF13541.9]; Magnesium chelatase, subunit ChlI C-terminal [PF13335.9]; MCM P-loop domain [PF00493.26]; Sigma-54 interaction domain [PF00158.29]; AAA domain (dynein-related subfamily) [PF07728.17]; Lon protease (S16) C-terminal proteolytic domain [PF05362.16]; MoxR domain in the MoxR-vWA-beta-propeller ternary systems [PF20030.2]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.15]; AAA domain (Cdc48 subfamily) [PF07724.17]					0
SAMN04315892_MFIO01000001.1_17	SAMN04315892	MFIO01000001.1	17	12350	13366	-1	D			MER0047897	M23B	MER0047897 - subfamily M23B unassigned peptidases (Synechococcus elongatus) [M23.UPB]#M23B#{peptidase unit: 431-590}~source ABB56630~	False	0.458	104.0	2.395e-22	Peptidase family M23 [PF01551.25]; LysM domain [PF01476.23]	CBM50	CBM50 Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. These enzymes are not reported in the list below.	3.2.1.14,3.2.1.17,3.2.1.96,3.2.1.-,4.2.2.n1	CBM50.hmm	0
SAMN04315892_MFIO01000001.1_18	SAMN04315892	MFIO01000001.1	18	13631	15559	1	C	K03657	ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]								UvrD/REP helicase N-terminal domain [PF00580.24]; UvrD-like helicase C-terminal domain [PF13361.9]; AAA domain [PF13245.9]; UvrD-like helicase C-terminal domain [PF13538.9]					0
SAMN04315892_MFIO01000001.1_19	SAMN04315892	MFIO01000001.1	19	15573	16355	1	C	K02528	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]								Ribosomal RNA adenine dimethylase [PF00398.23]; Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT) [PF01135.22]; Methyltransferase domain [PF13847.9]					0
SAMN04315892_MFIO01000001.1_20	SAMN04315892	MFIO01000001.1	20	16381	16827	-1	D										Type IV secretion system pilin [PF18895.3]					0
SAMN04315892_MFIO01000001.1_21	SAMN04315892	MFIO01000001.1	21	16863	18350	-1	E															0
SAMN04315892_MFIO01000001.1_22	SAMN04315892	MFIO01000001.1	22	18428	19192	1	E															0
SAMN04315892_MFIO01000001.1_23	SAMN04315892	MFIO01000001.1	23	19189	20958	1	D										Bacterial Ig-like domain (group 3) [PF13750.9]					0
SAMN04315892_MFIO01000001.1_24	SAMN04315892	MFIO01000001.1	24	20960	22678	1	E															0
SAMN04315892_MFIO01000001.1_25	SAMN04315892	MFIO01000001.1	25	22682	23524	1	E															0
SAMN04315892_MFIO01000001.1_26	SAMN04315892	MFIO01000001.1	26	23521	23976	1	D										PrgI family protein [PF12666.10]					0
SAMN04315892_MFIO01000001.1_27	SAMN04315892	MFIO01000001.1	27	23980	24639	1	E															0
SAMN04315892_MFIO01000001.1_28	SAMN04315892	MFIO01000001.1	28	24701	26473	1	C	K12063	conjugal transfer ATP-binding protein TraC								TraG P-loop domain [PF19044.3]; AAA-like domain [PF12846.10]; Helicase HerA, central domain [PF01935.20]					0
SAMN04315892_MFIO01000001.1_29	SAMN04315892	MFIO01000001.1	29	26475	27212	1	E															0
SAMN04315892_MFIO01000001.1_30	SAMN04315892	MFIO01000001.1	30	27216	27929	1	E															0
SAMN04315892_MFIO01000001.1_31	SAMN04315892	MFIO01000001.1	31	27913	28491	1	D										Type IV secretion system pilin [PF18895.3]					0
SAMN04315892_MFIO01000001.1_32	SAMN04315892	MFIO01000001.1	32	28514	29725	1	E															0
SAMN04315892_MFIO01000001.1_33	SAMN04315892	MFIO01000001.1	33	29763	30224	-1	C	K06346	spoIIIJ-associated protein								R3H domain [PF01424.25]					0
SAMN04315892_MFIO01000001.1_34	SAMN04315892	MFIO01000001.1	34	30187	30936	-1	C	K03217	YidC/Oxa1 family membrane protein insertase								60Kd inner membrane protein [PF02096.23]					0
SAMN04315892_MFIO01000001.1_35	SAMN04315892	MFIO01000001.1	35	30933	31163	-1	C	K08998	uncharacterized protein								Putative membrane protein insertion efficiency factor [PF01809.21]					0
SAMN04315892_MFIO01000001.1_36	SAMN04315892	MFIO01000001.1	36	31160	31435	-1	C	K03536	ribonuclease P protein component [EC:3.1.26.5]								Ribonuclease P [PF00825.21]					0
