locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
NC_028662_517_645_-					phrog_6089	VOG02889	VOG:VOG02889	42	6.2e-23	72.9		REFSEQ hypothetical protein
NC_028662_815_1285_+					phrog_226	VOG00726	PHROG:phrog_226	156	7.7e-56	180.3		minor tail protein
NC_028662_1361_2719_+					phrog_1260	VOG09497	VOG:VOG09497	452	4.4e-143	466.1		sp|O64202|VG06_BPMD2 Minor tail protein Gp6
NC_028662_2953_5016_+	K10804	K10804	COG2755		phrog_33513, phrog_8780, phrog_15881, phrog_1197	VOG29097	VOG:VOG29097	687	0	1329.0		REFSEQ peptidase
NC_028662_5021_5680_+					phrog_356	VOG08021	PHROG:phrog_356	219	6.4e-62	201.0		minor tail protein
NC_028662_6046_7533_+		K03791	COG3179	GH19	phrog_1519	VOG31896	PHROG:phrog_1519	495	1.6e-243	801.1		endolysin
NC_028662_7752_7898_+					phrog_526	VOG03716	PHROG:phrog_526	48	2.8e-13	42.5		holin
NC_028662_7912_9663_+			COG4626		phrog_9	VOG00185	VOG:VOG00185	583	2.2e-208	530.4		sp|O64206|VG13_BPMD2 Gene 13 protein
NC_028662_9660_11111_+					phrog_104	VOG00109	PHROG:phrog_104	483	3.2e-181	595.4		portal protein
NC_028662_11108_12109_+					phrog_193	VOG00912	PHROG:phrog_193	333	1.1e-96	316.4		head maturation protease
NC_028662_12163_12693_+					phrog_233	VOG08006	PHROG:phrog_233	176	9.6e-55	177.7		head scaffolding protein
NC_028662_12721_13926_+			COG4653		phrog_10	VOG00134	VOG:VOG00134	401	2.8e-83	272.9		sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17
NC_028662_13995_14369_+					phrog_137	VOG00419	PHROG:phrog_137	124	4.4e-44	142.4		head-tail adaptor Ad1
NC_028662_14539_14907_+					phrog_320	VOG00901	PHROG:phrog_320	122	3.6e-54	174.1		head closure Hc1
NC_028662_15096_15233_+					phrog_321	VOG00560	PHROG:phrog_321	45	1.7e-17	55.9		tail completion or Neck1 protein
NC_028662_15243_15662_+					phrog_123	VOG00096	PHROG:phrog_123	139	3.8e-44	142.5		tail terminator
NC_028662_15680_16519_+					phrog_117	VOG00135	VOG:VOG00135	279	8.8e-64	205.3		sp|Q05229|VG23_BPML5 Major tail protein Gp23
NC_028662_16633_17028_+					phrog_330	VOG00515	PHROG:phrog_330	131	2.1e-42	136.4		tail assembly chaperone
NC_028662_17061_17285_-												Hypothetical
NC_028662_17431_20733_+	K02067	K02067	COG5412, COG5412		phrog_305, phrog_305, phrog_305	VOG00646	PHROG:phrog_305	1100	8e-206	348.5		tail length tape measure protein
NC_028662_20737_21756_+					phrog_106	VOG08022	PHROG:phrog_106	339	3.6e-108	353.3		minor tail protein
NC_028662_21753_23534_+					phrog_110	VOG02068	PHROG:phrog_110	593	6.8e-219	719.8		minor tail protein
NC_028662_23555_24004_+					phrog_352	VOG01373	PHROG:phrog_352	149	8.5e-75	241.6		minor tail protein
NC_028662_24001_24303_+					phrog_404	VOG00752	PHROG:phrog_404	100	3.7e-35	112.8		minor tail protein
NC_028662_24300_26288_+			COG5412		phrog_2689	VOG04076	PHROG:phrog_2689	662	6.6e-140	459.5		minor tail protein
NC_028662_26952_27530_+		K03496	COG1192		phrog_164	VOG01428	VOG:VOG01428	192	1.5e-70	230.0		sp|P07620|PARA_ECOLX Plasmid partition protein A
NC_028662_27523_27795_+					phrog_2639	VOG00961	PHROG:phrog_2639	90	5.8e-36	114.8		Arc-like repressor
NC_028662_27863_28027_+					phrog_5261	VOG10138	VOG:VOG10138	54	2.9e-37	118.4		REFSEQ hypothetical protein
NC_028662_28230_28469_-						VOG01198	VOG:VOG01198	72	1.3e-22	72.4		REFSEQ hypothetical protein
NC_028662_28456_28863_-					phrog_383	VOG04516	VOG:VOG04516	123	3.2e-44	142.2		sp|O64230|VG39_BPMD2 Gene 39 protein
NC_028662_28856_29119_-						VOG06210	VOG:VOG06210	87	1.3e-41	133.1		REFSEQ hypothetical protein
NC_028662_29120_30919_-	K02335	K02335	COG0749		phrog_17	VOG00075	PHROG:phrog_17	599	4.7e-168	552.6		DNA polymerase
NC_028662_30927_31115_-						VOG29099	VOG:VOG29099	55	4.4e-30	96.1		REFSEQ hypothetical protein
NC_028662_31308_31613_-		K14060			phrog_517	VOG00032	PHROG:phrog_517	83	1.3e-29	94.9		HTH DNA binding protein
NC_028662_31606_31812_-												Hypothetical
NC_028662_31824_32546_-	K03465	K03465	COG1351		phrog_85	VOG03899	VOG:VOG03899	240	1.6e-79	260.8		sp|Q05259|THYX_BPML5 Probable flavin-dependent thymidylate synthase
NC_028662_32638_33153_-					phrog_364	VOG08029	VOG:VOG08029	171	6e-66	214.2		sp|O64239|VG49_BPMD2 Gene 49 protein
NC_028662_33165_34952_-	K00527	K00527	COG0209, COG0209		phrog_367	VOG00122	PHROG:phrog_367	595	4.3e-263	866.5		ribonucleotide reductase
NC_028662_35197_35394_-					phrog_1673	VOG01872	VOG:VOG01872	65	3.9e-23	73.4		REFSEQ hypothetical protein
NC_028662_35410_35571_-												Hypothetical
NC_028662_35708_36400_-					phrog_354	VOG02684	VOG:VOG02684	230	8.6e-72	234.2		sp|O64242|VG52_BPMD2 Gene 52 protein
NC_028662_36404_37174_-		K03547	COG1407		phrog_221	VOG01525	PHROG:phrog_221	244	8.7e-112	365.7		metallo-phosphoesterase
NC_028662_37167_37634_-					phrog_2387	VOG00396	PHROG:phrog_2387	155	2.4e-41	133.4		nucleotide kinase
NC_028662_37635_37907_-		K06191			phrog_22	VOG00033	KEGG:K06191	87	7.2e-24	76.7		nrdH; glutaredoxin-like protein NrdH
NC_028662_37907_38140_-												Hypothetical
NC_028662_38140_38775_-	K02316	K02316	COG0358		phrog_47	VOG00229	PHROG:phrog_47	211	5.4e-47	153.1		DNA primase
NC_028662_38992_39123_-												Hypothetical
NC_028662_39148_39642_-		K18960			phrog_307	VOG00650	PHROG:phrog_307	164	6.6e-79	255.8		endonuclease VII
