target	query	e-value	score	length	start	end
CP001157.1_2345	COG3320	0	1080.7	4748	2619	3665
CP001157.1_2345	COG3320	0	1234.4	4748	3673	4725
CP001157.1_2345	COG3320	0	1070.2	4748	49	1081
CP001157.1_2345	COG3433	0	1529.0	4748	1086	2589
CP001157.1_2344	COG3564	4.4e-32	29.2	5214	2221	2506
CP001157.1_2344	COG3433	0	1439.1	5214	2598	4107
CP001157.1_2344	COG3320	0	1074.3	5214	4137	5181
CP001157.1_2344	COG3433	0	1301.7	5214	49	1520
CP001157.1_4281	COG0160	5.2e-193	639.6	427	4	425
CP001157.1_2351	COG3320	0	996.4	4319	3228	4298
CP001157.1_2351	COG3433	0	1097.0	4319	646	1692
CP001157.1_2351	COG3433	0	1363.4	4319	1697	3199
CP001157.1_3148	COG4992	4.4e-192	636.6	407	7	403
CP001157.1_2350	COG0160	1.1e-174	579.0	465	23	462
CP001157.1_4488	COG0161	4.2e-186	615.8	458	7	454
CP001157.1_2343	COG3320	0	1068.3	2879	1572	2642
CP001157.1_2343	COG3433	0	1384.8	2879	39	1542
CP001157.1_2700	COG2070	2.8e-62	47.6	2504	16	196
CP001157.1_2700	COG2070	2.8e-62	144.5	2504	303	677
CP001157.1_2700	COG0304	6.1e-145	480.8	2504	692	2487
CP001157.1_4051	COG0156	3e-154	511.4	401	8	391
CP001157.1_4055	COG0365	2e-42	142.4	382	49	346
CP001157.1_2757	COG0365	3.4e-111	369.8	568	37	561
CP001157.1_4223	COG0002	8.6e-152	502.4	345	1	344
CP001157.1_3122	COG0136	3.5e-104	345.7	337	1	335
CP001157.1_3201	COG2894	7e-143	473.3	272	1	270
CP001157.1_4138	COG1192	4e-70	234.0	257	4	250
CP001157.1_2786	COG0455	1.6e-100	334.2	280	6	274
CP001157.1_3282	COG1192	1.3e-61	206.0	213	1	210
CP001157.1_2889	COG1484	8.1e-105	349.1	260	2	258
CP001157.1_3333	COG1484	8.1e-105	349.1	260	2	258
CP001157.1_4561	COG1484	8.1e-105	349.1	260	2	258
CP001157.1_4388	COG0004	1e-178	592.2	439	12	437
CP001157.1_4344	COG0006	1.4e-122	407.0	445	4	438
CP001157.1_3569	COG0024	6.2e-138	456.1	261	1	254
CP001157.1_2575	COG1648	3.4e-239	793.0	465	1	461
CP001157.1_3903	COG0008	3.3e-101	336.7	299	8	276
CP001157.1_4638	COG0068	1.2e-290	963.0	769	2	757
CP001157.1_3803	COG0012	2.5e-180	596.3	367	1	365
CP001157.1_3731	COG0536	4.1e-175	580.4	406	1	368
CP001157.1_3681	COG1160	4.8e-192	636.4	492	1	488
CP001157.1_4361	COG0370	2.4e-226	742.5	619	4	616
CP001157.1_3144	COG0013	0	1321.1	875	1	872
CP001157.1_4412	COG1012	3.1e-197	654.3	498	19	496
CP001157.1_2952	COG1012	2e-212	704.3	485	8	479
CP001157.1_2802	COG1012	7.4e-179	593.5	487	1	485
CP001157.1_3493	COG0015	1.4e-155	515.7	451	2	447
CP001157.1_2594	COG0015	4.1e-152	504.2	457	5	456
CP001157.1_3178	COG0114	1.3e-224	743.0	465	2	460
CP001157.1_4374	COG0165	4.5e-236	781.9	465	3	463
CP001157.1_2485	COG0114	2.9e-202	669.4	459	2	456
CP001157.1_4532	COG0165	4.5e-116	385.6	533	62	529
CP001157.1_3359	COG0173	1.3e-297	985.8	592	1	590
CP001157.1_3606	COG1190	4.9e-283	939.4	501	1	499
CP001157.1_4158	COG0018	2.2e-197	654.2	580	1	579
CP001157.1_4380	COG0019	4.3e-179	593.2	416	7	413
CP001157.1_3564	COG0020	4.2e-129	428.7	252	8	249
CP001157.1_2499	COG0021	0	1111.3	677	9	671
CP001157.1_4115	COG2609	0	1501.0	886	3	883
