	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
NC_051603_NC_051603_1	NC_051603	NC_051603	1	1	330	1	E											0
NC_051603_NC_051603_2	NC_051603	NC_051603	2	327	512	1	E											0
NC_051603_NC_051603_3	NC_051603	NC_051603	3	509	769	1	E											0
NC_051603_NC_051603_4	NC_051603	NC_051603	4	1043	1219	-1	E											0
NC_051603_NC_051603_5	NC_051603	NC_051603	5	1265	1459	1	E											0
NC_051603_NC_051603_6	NC_051603	NC_051603	6	1459	1707	1	E											0
NC_051603_NC_051603_7	NC_051603	NC_051603	7	1691	3118	1	D										Terminase large subunit, endonuclease domain [PF20441.1]	0
NC_051603_NC_051603_8	NC_051603	NC_051603	8	3130	4680	1	D										Phage portal protein, SPP1 Gp6-like [PF05133.17]	0
NC_051603_NC_051603_9	NC_051603	NC_051603	9	4640	6121	1	E											0
NC_051603_NC_051603_10	NC_051603	NC_051603	10	6118	6303	1	E											0
NC_051603_NC_051603_11	NC_051603	NC_051603	11	6410	6994	1	E											0
NC_051603_NC_051603_12	NC_051603	NC_051603	12	7063	7986	1	D										Phage capsid family [PF05065.16]	0
NC_051603_NC_051603_13	NC_051603	NC_051603	13	8105	8488	1	E											0
NC_051603_NC_051603_14	NC_051603	NC_051603	14	8488	8841	1	E											0
NC_051603_NC_051603_15	NC_051603	NC_051603	15	8864	9109	1	E											0
NC_051603_NC_051603_16	NC_051603	NC_051603	16	9106	9528	1	E											0
NC_051603_NC_051603_17	NC_051603	NC_051603	17	9678	10292	1	E											0
NC_051603_NC_051603_18	NC_051603	NC_051603	18	10406	10828	1	E											0
NC_051603_NC_051603_19	NC_051603	NC_051603	19	10885	11247	1	D										Family of unknown function (DUF5361) [PF17318.5]	0
NC_051603_NC_051603_20	NC_051603	NC_051603	20	11247	15251	1	D			MER0064441	C40	MER0064441 - family C40 non-peptidase homologues (Rhodococcus erythropolis) [C40.UNW]#C40#{peptidase unit: 1138-1230}~source BAH32965~	False	124.0	1.1100000000000002e-26	0.659		0
NC_051603_NC_051603_21	NC_051603	NC_051603	21	15360	16499	1	E											0
NC_051603_NC_051603_22	NC_051603	NC_051603	22	16499	18265	1	E											0
NC_051603_NC_051603_23	NC_051603	NC_051603	23	18265	18747	1	E											0
