target	query	e-value	score	length	start	end
CP001157.1_4736247_4737527_-	COG0160	4.1e-193	639.7	426	4	425
CP001157.1_3525102_3526322_-	COG4992	3.4e-192	636.6	406	7	403
CP001157.1_4943404_4944777_-	COG0161	3.3e-186	615.8	457	7	454
CP001157.1_4477614_4478816_-	COG0156	3e-153	507.8	391	3	382
CP001157.1_4480623_4481840_-	COG0365	1.9e-42	142.1	405	73	370
CP001157.1_4682057_4683091_-	COG0002	6.7e-152	502.4	344	1	344
CP001157.1_3497646_3498752_-	COG0136	2.7e-104	345.7	336	1	335
CP001157.1_3586118_3586933_+	COG2894	5.4e-143	473.3	271	1	270
CP001157.1_4577517_4578287_-	COG1192	3.1e-70	234.0	256	4	250
CP001157.1_3667177_3667815_-	COG1192	1e-61	206.0	212	1	210
CP001157.1_3711139_3711918_-	COG1484	6e-98	326.1	233	2	232
CP001157.1_5028656_5029435_+	COG1484	6.3e-105	349.1	259	2	258
CP001157.1_4846081_4847397_-	COG0004	8e-179	592.2	438	12	437
CP001157.1_4807301_4808635_-	COG0006	1.1e-122	407.0	444	4	438
CP001157.1_3946593_3947375_+	COG0024	4.8e-138	456.2	260	1	254
CP001157.1_4297587_4298483_+	COG0008	2.6e-101	336.7	298	8	276
CP001157.1_5114206_5116512_-	COG0068	9.3e-291	963.0	768	2	757
CP001157.1_4189118_4190218_+	COG0012	2e-180	596.3	366	1	365
CP001157.1_4114839_4116056_-	COG0536	3.2e-175	580.4	405	1	368
CP001157.1_4077031_4078506_-	COG1160	3.7e-192	636.4	491	1	488
CP001157.1_4822997_4824844_-	COG0370	4.8e-226	526.7	615	187	613
CP001157.1_4822997_4824844_-	COG0370	4.8e-226	225.5	615	3	170
CP001157.1_3519549_3522173_-	COG0013	0	1321.1	874	1	872
CP001157.1_4867494_4868987_-	COG1012	2.4e-197	654.3	497	19	496
CP001157.1_3864073_3865425_-	COG0015	1.1e-155	515.7	450	2	447
CP001157.1_3557460_3559115_+	COG0114	1.2e-224	742.7	551	89	547
CP001157.1_4835701_4837230_+	COG0165	5.2e-237	784.5	509	43	508
CP001157.1_4991267_4992865_+	COG0165	3.5e-116	385.6	532	62	529
CP001157.1_3732343_3734184_-	COG0173	1e-297	985.8	591	1	590
CP001157.1_3988146_3989648_-	COG1190	3.8e-283	939.4	500	1	499
CP001157.1_4605050_4606846_+	COG0018	3.2e-198	656.6	598	18	598
CP001157.1_4839780_4841027_+	COG0019	3.3e-179	593.2	415	7	413
CP001157.1_3942211_3942966_-	COG0020	3.2e-129	428.7	251	8	249
CP001157.1_4547601_4550270_+	COG2609	0	1502.4	889	5	887
CP001157.1_4207051_4208070_+	COG0022	6.1e-167	553.9	339	2	336
CP001157.1_4206047_4207024_+	COG1071	7.5e-141	467.4	325	3	322
CP001157.1_4693682_4694668_-	COG1071	1.7e-132	439.7	328	8	324
CP001157.1_3894335_3896845_-	COG3957	1e-198	658.7	831	84	804
CP001157.1_4692714_4693685_-	COG0022	3e-145	482.2	297	1	296
CP001157.1_3951395_3953032_-	COG0025	3.1e-147	488.7	545	1	541
CP001157.1_4567622_4569370_+	COG3263	6.1e-229	757.8	582	1	575
CP001157.1_4008402_4009583_-	COG0027	2.2e-220	728.5	393	1	392
CP001157.1_4330755_4333976_-	COG0458	0	644.6	1073	589	1072
CP001157.1_4330755_4333976_-	COG0458	0	621.5	1073	1	340
CP001157.1_5015271_5017241_-	COG4770	9.6e-302	1001.0	656	1	655
CP001157.1_4283900_4285741_-	COG0028	2.8e-241	799.0	566	1	560
CP001157.1_4383677_4385380_+	COG3960	0	1017.5	567	16	564
CP001157.1_5076837_5078774_+	COG3962	2.1e-297	984.0	645	1	645
CP001157.1_4364501_4364767_-	COG3960	1.3e-34	116.2	88	1	87
CP001157.1_3564371_3566365_+	COG4121	4.7e-219	725.6	664	15	664
CP001157.1_4514223_4515398_+	COG0578	2.4e-42	141.7	391	6	374
CP001157.1_4864995_4866311_+	COG0665	5.9e-98	325.4	438	17	407
CP001157.1_4863063_4864361_-	COG0665	3.7e-111	368.9	432	1	417
CP001157.1_4753531_4754349_+	COG0030	9e-112	370.1	272	4	267
CP001157.1_4610336_4611097_+	COG4106	2.8e-26	89.5	253	26	237
CP001157.1_3471206_3472030_-	COG4106	4.2e-29	98.7	274	43	251
CP001157.1_3764460_3765824_-	COG2265	3e-144	478.3	454	20	451
CP001157.1_3915077_3915715_-	COG2518	1.5e-97	323.5	212	1	209
CP001157.1_3765857_3766756_-	COG0031	6.7e-144	476.9	299	5	298
CP001157.1_4891715_4893229_-	COG1171	1.7e-223	740.1	504	6	503
CP001157.1_4324823_4326160_-	COG1109	9.6e-169	559.3	445	2	443
CP001157.1_3487673_3489178_-	COG0034	4.4e-209	692.2	501	1	488
CP001157.1_5289246_5291081_-	COG0449	4.5e-283	938.1	578	1	578
CP001157.1_3567105_3568874_+	COG0367	5.9e-202	669.3	589	1	585
CP001157.1_4170878_4171516_+	COG0035	2e-98	325.0	212	1	210
CP001157.1_4186820_4187761_+	COG0462	2.3e-164	543.9	313	1	313
CP001157.1_4735475_4736149_-	COG0036	8.5e-130	430.9	224	1	223
CP001157.1_3925422_3926729_-	COG0037	6.6e-106	352.1	435	3	428
CP001157.1_3396410_3397234_-	COG0037	5.3e-92	306.0	274	9	258
CP001157.1_4020644_4022224_-	COG0519	5.8e-268	886.6	526	3	526
CP001157.1_5180134_5181258_+	COG3448	2.8e-58	194.6	374	9	368
CP001157.1_4914960_4916351_+	COG1253	5.6e-135	447.2	463	16	449
CP001157.1_4007087_4008367_+	COG4536	9.8e-175	578.0	426	1	420
CP001157.1_3505235_3506215_-	COG0042	9.1e-96	317.4	326	2	311
CP001157.1_4812702_4814168_-	COG0043	1.5e-235	779.4	488	1	487
CP001157.1_4042724_4044286_+	COG0402	2e-99	330.2	520	71	517
CP001157.1_4259912_4261882_-	COG1574	1.7e-192	637.7	656	35	655
CP001157.1_4012130_4016026_-	COG0047	0	2158.1	1298	1	1297
CP001157.1_5111794_5112819_-	COG0309	7e-163	539.6	329	1	328
CP001157.1_4653485_4655305_-	COG1217	1.1e-297	984.7	606	2	605
CP001157.1_4319313_4321823_-	COG0532	0	1034.2	836	1	836
CP001157.1_3945588_3946328_-	COG0052	7.3e-130	429.6	246	1	234
CP001157.1_5329709_5331085_-	COG0055	1.4e-259	858.9	458	1	457
CP001157.1_5332031_5333575_-	COG0056	6.2e-267	884.0	514	2	512
CP001157.1_4814265_4815524_-	COG1158	2.9e-234	774.7	419	1	418
CP001157.1_4632208_4635009_-	COG0058	5.7e-257	851.3	823	16	821
CP001157.1_4282351_4283367_-	COG0059	2.4e-172	569.1	338	1	337
CP001157.1_3480390_3481277_-	COG0061	1.2e-123	410.4	295	1	291
CP001157.1_3501817_3503241_-	COG0065	1e-234	777.8	474	1	473
CP001157.1_3501158_3501805_-	COG0066	5.2e-107	355.2	215	1	212
CP001157.1_4583408_4587850_-	COG0070	0	2220.9	1480	2	1471
CP001157.1_3737545_3737820_-	COG1254	4.6e-37	125.1	91	1	91
CP001157.1_4767396_4768421_-	COG0533	2.9e-190	631.3	341	1	340
CP001157.1_3905305_3905763_-	COG0071	3.2e-37	124.8	152	5	147
CP001157.1_3904763_3905221_-	COG0071	6.9e-37	123.8	152	5	147
CP001157.1_3504346_3504789_-	COG0071	4.6e-36	121.2	147	6	143
CP001157.1_3961166_3962515_+	COG0520	6.7e-149	493.2	449	48	448
CP001157.1_4090290_4091504_-	COG1104	6e-202	668.9	404	1	397
CP001157.1_4797407_4800280_-	COG0403	0	1575.8	957	4	956
CP001157.1_3382538_3383599_-	COG0079	1.2e-78	261.6	315	4	291
CP001157.1_4295676_4296851_-	COG0436	2.4e-129	428.7	391	2	387
CP001157.1_4071487_4072635_-	COG0436	3.9e-134	444.5	382	2	381
CP001157.1_3950157_3951353_+	COG0436	1.5e-114	379.9	398	2	396
CP001157.1_4881422_4882771_+	COG1167	1.8e-139	462.4	449	2	439
CP001157.1_3683176_3684594_-	COG1167	3.3e-130	431.8	472	4	463
CP001157.1_3486396_3487607_-	COG0626	8.4e-194	642.4	403	16	403
CP001157.1_3997300_3998709_-	COG0498	4.2e-116	385.2	469	1	462
CP001157.1_4185633_4186499_+	COG1947	1e-112	373.0	288	3	277
CP001157.1_3493793_3494659_-	COG0101	2.6e-118	391.6	288	12	273
CP001157.1_4085990_4086421_-	COG0105	9.9e-86	284.5	143	1	141
CP001157.1_4613371_4613772_+	COG0139	3.6e-67	223.5	133	2	126
CP001157.1_4613765_4614100_+	COG0140	3.4e-48	161.5	111	1	109
CP001157.1_4414569_4416089_-	COG0807	2.8e-190	629.7	506	101	498
CP001157.1_4911867_4912754_+	COG0382	5.6e-97	322.0	295	8	292
CP001157.1_3933333_3934109_-	COG1043	4.8e-125	413.4	256	1	256
CP001157.1_4092159_4092938_-	COG1045	1.2e-99	330.4	254	1	231
CP001157.1_5294919_5296283_-	COG1207	2.6e-226	749.8	454	1	453
CP001157.1_5234800_5235429_+	COG1207	7.7e-38	126.9	209	55	201
CP001157.1_4897511_4898740_+	COG0111	2.6e-139	461.7	409	8	408
CP001157.1_4159218_4160180_+	COG1052	2.6e-108	358.8	320	5	317
CP001157.1_4026017_4026994_+	COG0111	4.8e-96	318.8	325	1	318
CP001157.1_4412663_4413622_+	COG1052	5e-101	334.9	319	1	317
CP001157.1_5211376_5212332_-	COG1052	3.1e-114	378.3	318	1	310
CP001157.1_3620301_3621350_+	COG1064	3.7e-136	450.4	349	3	347
CP001157.1_4132885_4134138_+	COG0112	8.5e-250	827.0	417	6	416
CP001157.1_4820277_4821326_-	COG0113	2.4e-159	526.5	349	19	347
CP001157.1_4543424_4545955_-	COG0115	1.9e-123	409.0	307	3	307
CP001157.1_4017656_4018132_-	COG0590	2.7e-76	254.0	158	8	157
CP001157.1_3381084_3382541_-	COG1492	1.3e-260	864.3	481	1	478
CP001157.1_4270267_4271817_-	COG0119	5.8e-210	695.4	516	3	511
CP001157.1_4066194_4067867_+	COG0119	6e-152	503.7	557	36	552
CP001157.1_5014181_5015083_-	COG0119	1.2e-82	274.8	300	3	288
CP001157.1_4240593_4241615_-	COG0119	1.7e-72	241.4	340	6	301
CP001157.1_4892870_4894045_+	COG0120	7.3e-96	316.5	391	161	390
CP001157.1_4702779_4703846_-	COG2169	5.7e-137	454.0	355	6	354
CP001157.1_5223207_5224091_-	COG4977	2.1e-33	112.5	294	107	283
CP001157.1_4149369_4150154_-	COG4753	4.7e-49	162.2	261	13	254
CP001157.1_3526547_3527521_-	COG4977	1.4e-90	300.9	324	3	314
CP001157.1_4263261_4264217_-	COG4977	5.6e-40	134.1	318	139	299
CP001157.1_4080609_4081895_-	COG0124	1.3e-178	590.8	428	1	426
CP001157.1_4874148_4875503_-	COG0552	2.3e-154	511.0	451	107	448
CP001157.1_4982286_4984022_-	COG0129	7.9e-224	741.3	578	6	565
CP001157.1_4317910_4318827_-	COG0130	6.8e-135	447.2	305	5	303
CP001157.1_4665604_4666350_-	COG0132	1.8e-90	300.0	248	17	243
CP001157.1_4145609_4147684_+	COG0857	5.5e-286	947.0	691	1	688
CP001157.1_3530138_3532276_-	COG0857	5.9e-279	923.7	712	1	694
CP001157.1_4687260_4688060_-	COG0134	1.8e-117	390.3	209	2	206
CP001157.1_3493090_3493710_-	COG0135	1.1e-91	303.7	206	2	206
CP001157.1_3498814_3500826_-	COG0136	6.9e-115	380.6	370	3	370
CP001157.1_3722026_3722700_-	COG0603	4.6e-111	368.7	224	2	223
CP001157.1_4117008_4117976_+	COG0142	1.1e-120	399.9	322	4	321
CP001157.1_3474493_3475509_-	COG0142	1.5e-36	122.8	338	134	329
CP001157.1_4733112_4734590_-	COG0147	3.3e-214	710.5	492	16	490
CP001157.1_4689103_4689696_-	COG0512	5.5e-119	395.3	197	1	193
CP001157.1_3921449_3922738_-	COG0148	7.5e-221	729.8	429	1	427
CP001157.1_4644094_4645611_+	COG0148	6.9e-214	706.6	505	67	497
CP001157.1_5064264_5065781_-	COG0148	1.3e-213	705.9	439	4	431
CP001157.1_4377440_4378756_-	COG0148	1.3e-213	705.7	438	5	431
CP001157.1_5220692_5220832_+	COG0148	1.8e-07	26.6	46	2	41
CP001157.1_5057757_5058497_-	COG0149	1.5e-123	409.5	246	1	245
CP001157.1_4645608_4646369_+	COG0149	1.1e-120	400.2	253	1	252
CP001157.1_5063506_5064267_-	COG0149	9.1e-120	397.1	251	1	250
CP001157.1_3744719_3745774_+	COG0150	5.1e-182	602.7	351	2	348
CP001157.1_3607636_3608505_-	COG0152	1.3e-130	433.2	289	6	287
CP001157.1_4631069_4632082_-	COG0158	6.1e-157	518.5	337	3	335
CP001157.1_4675489_4676688_-	COG0162	8.7e-167	551.9	399	1	398
CP001157.1_3931566_3932189_-	COG0164	3.3e-98	325.1	205	9	195
CP001157.1_4308035_4309699_+	COG0166	5.4e-189	626.0	554	12	552
CP001157.1_4739187_4740122_+	COG0169	6e-99	329.0	311	36	308
CP001157.1_3852824_3853678_+	COG0169	1.1e-98	328.3	284	3	281
CP001157.1_4181814_4183082_-	COG0373	2.3e-182	604.0	422	1	420
CP001157.1_4590865_4591356_-	COG0703	1.3e-76	255.3	163	1	160
CP001157.1_4948799_4949677_+	COG0388	4e-92	305.6	292	1	283
CP001157.1_4070259_4071053_-	COG0388	1e-74	248.3	264	9	258
CP001157.1_3734613_3736328_+	COG0442	5.7e-281	930.3	571	1	568
CP001157.1_4657119_4658630_+	COG0174	1.9e-194	643.2	503	35	502
CP001157.1_4944846_4946207_-	COG0174	2.4e-151	501.1	453	7	450
CP001157.1_4947261_4948637_+	COG0174	4.5e-149	493.6	458	9	457
CP001157.1_3512400_3513740_-	COG0174	2.1e-132	438.3	446	11	440
CP001157.1_4130882_4132546_-	COG0488	4.8e-219	725.8	554	5	544
CP001157.1_4525616_4527424_-	COG1132	1.6e-221	734.0	602	6	594
CP001157.1_5099570_5101141_-	COG1129	1e-235	780.4	523	13	518
