	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001850.1_1	QGNH01001850.1	QGNH01001850.1	1	1	1872	1	E	YP_009186871.1	YP_009186871.1 hypothetical protein AUR69_gp07 [Hydrogenobaculum phage 1]	False	0.285	220.0	1.2670000000000001e-58		VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01001850.1_2	QGNH01001850.1	QGNH01001850.1	2	1872	2258	1	E											0	False	F
QGNH01001850.1_3	QGNH01001850.1	QGNH01001850.1	3	2255	2890	1	E											0	False	F
QGNH01001850.1_4	QGNH01001850.1	QGNH01001850.1	4	2895	3041	1	E											0	False	F
QGNH01001850.1_5	QGNH01001850.1	QGNH01001850.1	5	3041	3376	1	E											0	False	F
QGNH01001850.1_6	QGNH01001850.1	QGNH01001850.1	6	3495	5282	-1	E											0	False	F
QGNH01001850.1_7	QGNH01001850.1	QGNH01001850.1	7	5527	5928	1	E											0	False	F
QGNH01001850.1_8	QGNH01001850.1	QGNH01001850.1	8	5930	6130	1	E											0	False	F
QGNH01001850.1_9	QGNH01001850.1	QGNH01001850.1	9	6132	6710	1	E											0	False	F
QGNH01001850.1_10	QGNH01001850.1	QGNH01001850.1	10	7121	7849	1	E											0	False	F
QGNH01001850.1_11	QGNH01001850.1	QGNH01001850.1	11	7863	8984	1	E	YP_010077852.1	YP_010077852.1 tail sheath [Stenotrophomonas phage IME-SM1]	False	0.417	69.0	4.002e-11					0	False	F
QGNH01001850.1_12	QGNH01001850.1	QGNH01001850.1	12	9028	10146	1	E											0	False	F
