locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
MZ334511.1_1					phrog_19274	VOG23910	VOG:VOG23910	189	1e-106	347.2		REFSEQ HalOD1 domain-containing protein
MZ334511.1_2					phrog_9231	VOG05559	PHROG:phrog_9231	259	3e-115	376.6		terminase small subunit
MZ334511.1_3												Hypothetical
MZ334511.1_4												Hypothetical
MZ334511.1_5					phrog_19453	VOG23913	VOG:VOG23913	65	2.9e-49	157.7		REFSEQ hypothetical protein
MZ334511.1_6					phrog_19186	VOG23914	VOG:VOG23914	69	3.2e-50	160.8		REFSEQ hypothetical protein
MZ334511.1_7		K21523	COG4373		phrog_9	VOG07294	COG:COG4373	564	1.9e-43	140.5		:
MZ334511.1_8					phrog_9232	VOG00562	PHROG:phrog_9232	480	3.5e-219	721.2		portal protein
MZ334511.1_9												Hypothetical
MZ334511.1_10					phrog_15680	VOG14382	PHROG:phrog_15680	255	1.9e-156	511.7		head maturation protease
MZ334511.1_11												Hypothetical
MZ334511.1_12												Hypothetical
MZ334511.1_13					phrog_3990	VOG01973	PHROG:phrog_3990	319	3.4e-94	308.3		major head protein
MZ334511.1_14												Hypothetical
MZ334511.1_15												Hypothetical
MZ334511.1_16												Hypothetical
MZ334511.1_17												Hypothetical
MZ334511.1_18					phrog_12281	VOG04913	PHROG:phrog_12281	170	5.6e-86	279.1		tail tube protein
MZ334511.1_19			COG3497		phrog_10244	VOG01001	PHROG:phrog_10244	431	5.5e-205	674.0		tail sheath
MZ334511.1_20					phrog_12452	VOG14384	PHROG:phrog_12452	182	3.2e-93	302.7		tail tube protein
MZ334511.1_21					phrog_14268	VOG04953	PHROG:phrog_14268	157	5e-85	275.8		tail assembly chaperone
MZ334511.1_22			COG5283		phrog_14901	VOG14385	PHROG:phrog_14901	606	0	1111.8		tail length tape measure protein
MZ334511.1_23												Hypothetical
MZ334511.1_24					phrog_12403	VOG14388	VOG:VOG14388	481	2e-239	787.5		REFSEQ hypothetical protein
MZ334511.1_25												Hypothetical
MZ334511.1_26												Hypothetical
MZ334511.1_27												Hypothetical
MZ334511.1_28			COG3299		phrog_6	VOG00735	VOG:VOG00735	412	5.1e-118	385.4		REFSEQ baseplate wedge subunit
MZ334511.1_29					phrog_1160	VOG00207	PHROG:phrog_1160	217	5.7e-62	202.0		baseplate protein
MZ334511.1_30												Hypothetical
MZ334511.1_31												Hypothetical
MZ334511.1_32												Hypothetical
MZ334511.1_33												Hypothetical
MZ334511.1_34					phrog_7084	VOG14391	VOG:VOG14391	278	2.7e-144	471.9		REFSEQ hypothetical protein
MZ334511.1_35	K00525	K00525	COG0209		phrog_84	VOG00122	FOAM:K00525	807	7.4e-209	688.1	1.17.4.1	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain
MZ334511.1_36												Hypothetical
