	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
KC117377_KC117377.1_1	KC117377	KC117377.1	1	601	1128	1	E				0
KC117377_KC117377.1_2	KC117377	KC117377.1	2	1144	1308	-1	E				0
KC117377_KC117377.1_3	KC117377	KC117377.1	3	1305	1595	-1	E				0
KC117377_KC117377.1_4	KC117377	KC117377.1	4	1676	1828	-1	E				0
KC117377_KC117377.1_5	KC117377	KC117377.1	5	1825	2106	-1	E				0
KC117377_KC117377.1_6	KC117377	KC117377.1	6	2132	2323	-1	E				0
KC117377_KC117377.1_7	KC117377	KC117377.1	7	2454	2591	-1	E				0
KC117377_KC117377.1_8	KC117377	KC117377.1	8	2578	2811	-1	E				0
KC117377_KC117377.1_9	KC117377	KC117377.1	9	2789	3001	-1	E				0
KC117377_KC117377.1_10	KC117377	KC117377.1	10	3438	3698	-1	E				0
KC117377_KC117377.1_11	KC117377	KC117377.1	11	3695	3883	-1	E				0
KC117377_KC117377.1_12	KC117377	KC117377.1	12	3883	4116	-1	E				0
KC117377_KC117377.1_13	KC117377	KC117377.1	13	4714	4992	1	E				0
KC117377_KC117377.1_14	KC117377	KC117377.1	14	4971	5189	1	E				0
KC117377_KC117377.1_15	KC117377	KC117377.1	15	5267	5572	1	E				0
KC117377_KC117377.1_16	KC117377	KC117377.1	16	5562	5954	1	E				0
KC117377_KC117377.1_17	KC117377	KC117377.1	17	5957	8938	1	C	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	Ribonucleotide reductase, barrel domain [PF02867.18]; TSCPD domain [PF12637.10]; Ribonucleotide reductase, all-alpha domain [PF00317.24]	0
KC117377_KC117377.1_18	KC117377	KC117377.1	18	8984	9256	1	E				0
KC117377_KC117377.1_19	KC117377	KC117377.1	19	9259	9528	1	E				0
KC117377_KC117377.1_20	KC117377	KC117377.1	20	9815	10966	1	D			Family of unknown function (DUF6744) [PF20529.1]	0
KC117377_KC117377.1_21	KC117377	KC117377.1	21	11056	11646	1	E				0
KC117377_KC117377.1_22	KC117377	KC117377.1	22	11780	13096	1	E				0
KC117377_KC117377.1_23	KC117377	KC117377.1	23	13234	13638	1	E				0
KC117377_KC117377.1_24	KC117377	KC117377.1	24	13638	13781	1	E				0
KC117377_KC117377.1_25	KC117377	KC117377.1	25	13778	14062	1	E				0
KC117377_KC117377.1_26	KC117377	KC117377.1	26	14059	14361	1	E				0
KC117377_KC117377.1_27	KC117377	KC117377.1	27	14361	14606	1	E				0
KC117377_KC117377.1_28	KC117377	KC117377.1	28	14699	14980	1	E				0
KC117377_KC117377.1_29	KC117377	KC117377.1	29	15236	16465	1	E				0
KC117377_KC117377.1_30	KC117377	KC117377.1	30	16525	16908	-1	E				0
KC117377_KC117377.1_31	KC117377	KC117377.1	31	16910	17491	-1	D			5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C) [PF06941.15]	0
KC117377_KC117377.1_32	KC117377	KC117377.1	32	17488	18213	-1	D			Phage endonuclease I [PF05367.14]	0
KC117377_KC117377.1_33	KC117377	KC117377.1	33	18252	19019	-1	C	K03465	thymidylate synthase (FAD) [EC:2.1.1.148]	Thymidylate synthase complementing protein [PF02511.18]	0
KC117377_KC117377.1_34	KC117377	KC117377.1	34	19382	20122	-1	E				0
KC117377_KC117377.1_35	KC117377	KC117377.1	35	20125	20697	-1	E				0
KC117377_KC117377.1_36	KC117377	KC117377.1	36	20699	21184	-1	D			Zinc-binding loop region of homing endonuclease [PF05551.14]	0
KC117377_KC117377.1_37	KC117377	KC117377.1	37	21187	21453	-1	E				0
KC117377_KC117377.1_38	KC117377	KC117377.1	38	21453	21764	-1	D			MazG-like family [PF12643.10]	0
KC117377_KC117377.1_39	KC117377	KC117377.1	39	21761	21949	-1	E				0
KC117377_KC117377.1_40	KC117377	KC117377.1	40	22038	22724	-1	D			Helix-hairpin-helix motif [PF12826.10]	0
KC117377_KC117377.1_41	KC117377	KC117377.1	41	22721	22810	-1	E				0
KC117377_KC117377.1_42	KC117377	KC117377.1	42	22993	23253	-1	E				0
KC117377_KC117377.1_43	KC117377	KC117377.1	43	23246	23503	-1	E				0
KC117377_KC117377.1_44	KC117377	KC117377.1	44	23500	23964	-1	E				0
KC117377_KC117377.1_45	KC117377	KC117377.1	45	23957	24346	-1	E				0
KC117377_KC117377.1_46	KC117377	KC117377.1	46	24346	24825	-1	D			Zinc-binding loop region of homing endonuclease [PF05551.14]; HNH endonuclease [PF13392.9]	0
KC117377_KC117377.1_47	KC117377	KC117377.1	47	24825	25259	-1	E				0
KC117377_KC117377.1_48	KC117377	KC117377.1	48	25470	25607	-1	E				0
KC117377_KC117377.1_49	KC117377	KC117377.1	49	25607	27838	-1	D			von Willebrand factor type A domain [PF00092.31]	0
KC117377_KC117377.1_50	KC117377	KC117377.1	50	27910	28098	-1	E				0
KC117377_KC117377.1_51	KC117377	KC117377.1	51	28126	29430	-1	D			AAA domain (dynein-related subfamily) [PF07728.17]	0
KC117377_KC117377.1_52	KC117377	KC117377.1	52	29540	29938	-1	E				0
KC117377_KC117377.1_53	KC117377	KC117377.1	53	29970	30392	-1	E				0
KC117377_KC117377.1_54	KC117377	KC117377.1	54	30389	30610	-1	E				0
KC117377_KC117377.1_55	KC117377	KC117377.1	55	30610	30819	-1	D			HNH endonuclease [PF13392.9]	0
KC117377_KC117377.1_56	KC117377	KC117377.1	56	31037	31480	-1	E				0
KC117377_KC117377.1_57	KC117377	KC117377.1	57	31534	32247	-1	D			SprT-like family [PF10263.12]	0
KC117377_KC117377.1_58	KC117377	KC117377.1	58	32427	33206	1	E				0
KC117377_KC117377.1_59	KC117377	KC117377.1	59	33231	33455	-1	E				0
KC117377_KC117377.1_60	KC117377	KC117377.1	60	33599	33793	-1	E				0
KC117377_KC117377.1_61	KC117377	KC117377.1	61	33803	34963	-1	D			Family of unknown function (DUF6610) [PF20314.1]	0
KC117377_KC117377.1_62	KC117377	KC117377.1	62	34966	35565	-1	C	K01495	GTP cyclohydrolase IA [EC:3.5.4.16]	GTP cyclohydrolase I [PF01227.25]	0
KC117377_KC117377.1_63	KC117377	KC117377.1	63	35608	35784	-1	E				0
KC117377_KC117377.1_64	KC117377	KC117377.1	64	35902	36687	-1	C	K10026	7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]	Radical SAM superfamily [PF04055.24]; 4Fe-4S single cluster domain [PF13394.9]; 4Fe-4S single cluster domain [PF13353.9]	0
KC117377_KC117377.1_65	KC117377	KC117377.1	65	36684	36950	-1	E				0
KC117377_KC117377.1_66	KC117377	KC117377.1	66	36943	37077	-1	E				0
KC117377_KC117377.1_67	KC117377	KC117377.1	67	37077	37538	-1	C	K01737	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	6-pyruvoyl tetrahydropterin synthase [PF01242.22]	0
