MK310226.1_orf145	3b0441d278a06283337004828cb9daf8	916	PANTHER	PTHR37813	FELS-2 PROPHAGE PROTEIN	29	667	4.7E-27	T	24-06-2023	-	-
MK310226.1_orf145	3b0441d278a06283337004828cb9daf8	916	Pfam	PF10145	Phage-related minor tail protein	100	302	1.7E-38	T	24-06-2023	IPR010090	Phage tail tape measure protein
MK310226.1_orf145	3b0441d278a06283337004828cb9daf8	916	TIGRFAM	TIGR01760	tape_meas_TP901: phage tail tape measure protein, TP901 family, core region	61	339	1.2E-44	T	24-06-2023	IPR010090	Phage tail tape measure protein
MK310226.1_orf388	4e64c8a12de6dd0fe023971e6354da8e	587	MobiDBLite	mobidb-lite	consensus disorder prediction	436	457	-	T	24-06-2023	-	-
MK310226.1_orf388	4e64c8a12de6dd0fe023971e6354da8e	587	MobiDBLite	mobidb-lite	consensus disorder prediction	487	507	-	T	24-06-2023	-	-
MK310226.1_orf388	4e64c8a12de6dd0fe023971e6354da8e	587	MobiDBLite	mobidb-lite	consensus disorder prediction	411	507	-	T	24-06-2023	-	-
MK310226.1_orf388	4e64c8a12de6dd0fe023971e6354da8e	587	MobiDBLite	mobidb-lite	consensus disorder prediction	525	570	-	T	24-06-2023	-	-
MK310226.1_orf388	4e64c8a12de6dd0fe023971e6354da8e	587	MobiDBLite	mobidb-lite	consensus disorder prediction	416	433	-	T	24-06-2023	-	-
MK310226.1_orf366	5c253223c18b466b3901d614110d6f36	581	MobiDBLite	mobidb-lite	consensus disorder prediction	554	581	-	T	24-06-2023	-	-
MK310226.1_orf491	2f0115184e1b2798582228c1def60c07	1153	MobiDBLite	mobidb-lite	consensus disorder prediction	540	583	-	T	24-06-2023	-	-
MK310226.1_orf491	2f0115184e1b2798582228c1def60c07	1153	MobiDBLite	mobidb-lite	consensus disorder prediction	531	587	-	T	24-06-2023	-	-
MK310226.1_orf491	2f0115184e1b2798582228c1def60c07	1153	Gene3D	G3DSA:1.10.10.10	-	449	568	9.6E-11	T	24-06-2023	IPR036388	Winged helix-like DNA-binding domain superfamily
MK310226.1_orf491	2f0115184e1b2798582228c1def60c07	1153	CDD	cd00090	HTH_ARSR	471	535	6.45953E-4	T	24-06-2023	IPR011991	ArsR-like helix-turn-helix domain
MK310226.1_orf491	2f0115184e1b2798582228c1def60c07	1153	Coils	Coil	Coil	703	726	-	T	24-06-2023	-	-
MK310226.1_orf491	2f0115184e1b2798582228c1def60c07	1153	MobiDBLite	mobidb-lite	consensus disorder prediction	1	27	-	T	24-06-2023	-	-
MK310226.1_orf491	2f0115184e1b2798582228c1def60c07	1153	SUPERFAMILY	SSF46785	"Winged helix" DNA-binding domain	454	542	1.82E-6	T	24-06-2023	IPR036390	Winged helix DNA-binding domain superfamily
MK310226.1_orf491	2f0115184e1b2798582228c1def60c07	1153	Pfam	PF19134	Domain of unknown function (DUF5817)	94	142	2.6E-13	T	24-06-2023	IPR043855	Domain of unknown function DUF5817
MK310226.1_orf491	2f0115184e1b2798582228c1def60c07	1153	MobiDBLite	mobidb-lite	consensus disorder prediction	1	56	-	T	24-06-2023	-	-
