	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
KC292020.1_1	KC292020	KC292020.1	1	2	244	1	E																				0	False	F
KC292020.1_2	KC292020	KC292020.1	2	394	945	-1	D			YP_008058567.1	YP_008058567.1 hypothetical protein M192_gp001 [Halorubrum tailed phage 8]	True	1.0	389.0	3.3710000000000005e-123								Halobacterial output domain 1 [PF18545.4]	VOG23910	REFSEQ HalOD1 domain-containing protein; Xu	Xu	0	False	F
KC292020.1_3	KC292020	KC292020.1	3	1305	2081	1	E			YP_008058568.1	YP_008058568.1 terminase small subunit [Halorubrum tailed phage 8]	True	0.962	524.0	1.701e-168									VOG05559	REFSEQ terminase small subunit; Xu	Xu	0	False	F
KC292020.1_4	KC292020	KC292020.1	4	2074	2337	1	E			YP_010357600.1	YP_010357600.1 hypothetical protein M1M33_gp003 [Haloarcula virus HJTV-2]	False	0.945	175.0	7.032999999999999e-51									VOG04981	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292020.1_5	KC292020	KC292020.1	5	2448	2555	1	E			YP_008058570.1	YP_008058570.1 hypothetical protein M192_gp004 [Halorubrum tailed phage 8]	False	0.937	71.0	7.938e-16									VOG23911	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292020.1_6	KC292020	KC292020.1	6	2558	2752	1	E			YP_008058571.1	YP_008058571.1 hypothetical protein M192_gp005 [Halorubrum tailed phage 8]	False	1.0	139.0	5.224e-39									VOG23913	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292020.1_7	KC292020	KC292020.1	7	2789	2995	1	E			YP_008058572.1	YP_008058572.1 hypothetical protein M192_gp006 [Halorubrum tailed phage 8]	False	1.0	151.0	9.026e-43									VOG23914	REFSEQ hypothetical protein; Xu	Xu	0	False	F
KC292020.1_8	KC292020	KC292020.1	8	3088	4785	1	E			YP_008058573.1	YP_008058573.1 terminase large subunit [Halorubrum tailed phage 8]	True	0.945	1122.0	0.0									VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
KC292020.1_9	KC292020	KC292020.1	9	4800	6239	1	E			YP_008058574.1	YP_008058574.1 portal protein [Halorubrum tailed phage 8]	True	0.956	964.0	9.907e-317									VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	F
KC292020.1_10	KC292020	KC292020.1	10	6239	6529	1	E			YP_008058575.1	YP_008058575.1 hypothetical protein M192_gp122 [Halorubrum tailed phage 8]	False	0.895	181.0	6.943999999999999e-53									VOG23915	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292020.1_11	KC292020	KC292020.1	11	6526	7287	1	E			YP_008058576.1	YP_008058576.1 head maturation protease [Halorubrum tailed phage 8]	True	0.968	518.0	2.085e-166									VOG14382	REFSEQ head maturation protease; Xu	Xu	0	False	
KC292020.1_12	KC292020	KC292020.1	12	7294	7725	1	E			YP_008058577.1	YP_008058577.1 hypothetical protein M192_gp120 [Halorubrum tailed phage 8]	False	0.868	260.0	3.302e-79												0	False	
KC292020.1_13	KC292020	KC292020.1	13	7749	8264	1	E			YP_008058578.1	YP_008058578.1 hypothetical protein M192_gp119 [Halorubrum tailed phage 8]	True	0.976	354.0	2.982e-111									VOG14381	REFSEQ hypothetical protein; Xu	Xu	0	False	
KC292020.1_14	KC292020	KC292020.1	14	8306	9262	1	E			YP_008058579.1	YP_008058579.1 major head protein [Halorubrum tailed phage 8]	True	0.976	656.0	5.410000000000001e-213									VOG01973	REFSEQ major head protein; Xu	Xu	0	False	
