NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	TIGRFAM	TIGR00914	2A0601: heavy metal efflux pump, CzcA family	7	1048	0.0	T	24-06-2023	IPR004763	Cation efflux system CzcA/CusA/SilA/NccA/HelA/CnrA
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	PRINTS	PR00702	Acriflavin resistance protein family signature	486	509	3.1E-15	T	24-06-2023	IPR001036	Acriflavin resistance protein
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	PRINTS	PR00702	Acriflavin resistance protein family signature	372	393	3.1E-15	T	24-06-2023	IPR001036	Acriflavin resistance protein
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	PRINTS	PR00702	Acriflavin resistance protein family signature	345	368	3.1E-15	T	24-06-2023	IPR001036	Acriflavin resistance protein
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	PRINTS	PR00702	Acriflavin resistance protein family signature	46	64	3.1E-15	T	24-06-2023	IPR001036	Acriflavin resistance protein
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	Pfam	PF00873	AcrB/AcrD/AcrF family	11	1039	0.0	T	24-06-2023	IPR001036	Acriflavin resistance protein
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	Gene3D	G3DSA:3.30.2090.10	Multidrug efflux transporter AcrB TolC docking domain; DN and DC subdomains	733	823	1.2E-274	T	24-06-2023	IPR027463	Multidrug efflux transporter AcrB TolC docking domain, DN/DC subdomains
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	Gene3D	G3DSA:3.30.2090.10	Multidrug efflux transporter AcrB TolC docking domain; DN and DC subdomains	195	287	1.2E-274	T	24-06-2023	IPR027463	Multidrug efflux transporter AcrB TolC docking domain, DN/DC subdomains
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	Gene3D	G3DSA:3.30.70.1320	Multidrug efflux transporter AcrB pore domain like	142	340	1.2E-274	T	24-06-2023	-	-
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	Gene3D	G3DSA:3.30.70.1430	Multidrug efflux transporter AcrB pore domain	48	831	1.2E-274	T	24-06-2023	-	-
NZ_CP011771.1_orf83120	003fe852bacef21ccbe9a5428e317339	1060	SUPERFAMILY	SSF82866	Multidrug efflux transporter AcrB transmembrane domain	312	512	3.53E-31	T	24-06-2023	-	-
