L1	KO	Function	EC	Count
integration and excision	phrog_1	integrase		1
DNA, RNA and nucleotide metabolism	phrog_100	SbcD-like subunit of palindrome specific endonuclease		1
moron, auxiliary metabolic gene and host takeover	phrog_10089	DarB-like antirestriction		1
head and packaging	phrog_1012	assembly (protein IV of M13)		1
integration and excision	phrog_1013	transposase		1
DNA, RNA and nucleotide metabolism	phrog_10276	DNA repair protein		1
transcription regulation	phrog_10300	transcriptional regulator		1
other	phrog_10313	nudix hydrolase		1
other	phrog_1040	peptidase HslV family		1
DNA, RNA and nucleotide metabolism	phrog_107	exonuclease		1
other	phrog_10912	kinase		1
moron, auxiliary metabolic gene and host takeover	phrog_1112	phosphoribosylaminoimidazole-succinocarboxamide synthase		1
DNA, RNA and nucleotide metabolism	phrog_11145	DNA binding protein		1
other	phrog_11189	NAD synthetase		1
DNA, RNA and nucleotide metabolism	phrog_114	ATP-dependent DNA ligase		1
integration and excision	phrog_1157	transposase		1
other	phrog_11787	DNA methyltransferase		1
other	phrog_11841	acetyltransferase		1
other	phrog_1185	nudix hydrolase		1
other	phrog_1198	MutT/NUDIX hydrolase		1
moron, auxiliary metabolic gene and host takeover	phrog_1207	phosphoribosylaminoimidazole synthetase		1
DNA, RNA and nucleotide metabolism	phrog_1211	2-aminooxy adenylosuccinate synthetase		1
other	phrog_12316	ATPase		1
other	phrog_1249	acetyltransferase		1
DNA, RNA and nucleotide metabolism	phrog_125	DNA invertase		1
tail	phrog_1259	baseplate hub subunit and tail lysozyme		1
other	phrog_12671	peptidase		1
DNA, RNA and nucleotide metabolism	phrog_1268	DNA polymerase		1
moron, auxiliary metabolic gene and host takeover	phrog_1282	5-phosphoribosylformylglycinamide amidotransferase		1
moron, auxiliary metabolic gene and host takeover	phrog_13126	beta-1,4-glycosyltransferase		1
other	phrog_1319	dehydrogenase		1
DNA, RNA and nucleotide metabolism	phrog_13423	exonuclease		1
DNA, RNA and nucleotide metabolism	phrog_135	dUTPase		1
other	phrog_13505	methyltransferase		1
moron, auxiliary metabolic gene and host takeover	phrog_1358	FtsK/SpoIIIE-like protein		1
transcription regulation	phrog_1368	transcriptional regulator		1
transcription regulation	phrog_1373	transcriptional regulator		1
head and packaging	phrog_1383	virion structural protein		1
DNA, RNA and nucleotide metabolism	phrog_13933	nuclease		1
moron, auxiliary metabolic gene and host takeover	phrog_1395	quaternary ammonium compound-resistance protein QacE		1
transcription regulation	phrog_14147	transcriptional regulator		1
tail	phrog_14342	lytic tail fiber protein		1
DNA, RNA and nucleotide metabolism	phrog_14344	nucleotidyltransferase		1
other	phrog_14429	hydrolase		1
moron, auxiliary metabolic gene and host takeover	phrog_14503	membrane associated protein		1
DNA, RNA and nucleotide metabolism	phrog_1460	tRNA amidotransferase		1
other	phrog_14690	cAMP-dependent Kef-type K+ transporter		1
moron, auxiliary metabolic gene and host takeover	phrog_14775	glycosyltransferase		1
lysis	phrog_1493	endolysin		1
integration and excision	phrog_151	transposase		1
other	phrog_15140	radical SAM domain-containing protein		1
moron, auxiliary metabolic gene and host takeover	phrog_1550	QueC-like queuosine biosynthesis		1
other	phrog_15516	methyltransferase		1
integration and excision	phrog_157	transposase		1
tail	phrog_15824	tail fiber protein proximal subunit		1
DNA, RNA and nucleotide metabolism	phrog_159	RuvC-like Holliday junction resolvase		1
DNA, RNA and nucleotide metabolism	phrog_16	DNA helicase		1
DNA, RNA and nucleotide metabolism	phrog_160	thymidylate synthase		1
integration and excision	phrog_1631	transposase		1
DNA, RNA and nucleotide metabolism	phrog_164	ParA-like partition protein		1
other	phrog_16448	ATPase		1
other	phrog_1649	metallo-phosphoesterase		1
DNA, RNA and nucleotide metabolism	phrog_1663	dCTP deaminase		1
tail	phrog_16641	tail fiber protein		1
tail	phrog_167	tail length tape measure protein		1
DNA, RNA and nucleotide metabolism	phrog_16726	HNH endonuclease		1
DNA, RNA and nucleotide metabolism	phrog_168	clamp loader of DNA polymerase		1
moron, auxiliary metabolic gene and host takeover	phrog_16914	sporulation protein		1
DNA, RNA and nucleotide metabolism	phrog_17	DNA polymerase		1
other	phrog_170	PhoH-like phosphate starvation-inducible		1
DNA, RNA and nucleotide metabolism	phrog_174	dCMP deaminase		1
transcription regulation	phrog_1740	RNA polymerase sigma factor		1
moron, auxiliary metabolic gene and host takeover	phrog_1741	QueC-like queuosine biosynthesis		1
other	phrog_1758	acetyltransferase		1
lysis	phrog_1794	amidase		1
other	phrog_1802	radical SAM domain-containing protein		1
lysis	phrog_181	endolysin		1
