locus_tag	ftype	length_bp	gene	EC_number	COG	product
AHNIJJPN_00001	CDS	603				hypothetical protein
AHNIJJPN_00002	CDS	1662				hypothetical protein
AHNIJJPN_00003	CDS	129				hypothetical protein
AHNIJJPN_00004	CDS	192				hypothetical protein
AHNIJJPN_00005	CDS	1557				hypothetical protein
AHNIJJPN_00006	CDS	942				hypothetical protein
AHNIJJPN_00007	CDS	327				hypothetical protein
AHNIJJPN_00008	CDS	1800				hypothetical protein
AHNIJJPN_00009	CDS	963				hypothetical protein
AHNIJJPN_00010	CDS	453				hypothetical protein
AHNIJJPN_00011	CDS	603				hypothetical protein
AHNIJJPN_00012	CDS	381				hypothetical protein
AHNIJJPN_00013	CDS	282				hypothetical protein
AHNIJJPN_00014	CDS	435				hypothetical protein
AHNIJJPN_00015	CDS	597				hypothetical protein
AHNIJJPN_00016	CDS	1299				hypothetical protein
AHNIJJPN_00017	CDS	396				hypothetical protein
AHNIJJPN_00018	CDS	402				hypothetical protein
AHNIJJPN_00019	CDS	174				hypothetical protein
AHNIJJPN_00020	CDS	2790				hypothetical protein
AHNIJJPN_00021	CDS	495				hypothetical protein
AHNIJJPN_00022	CDS	339				hypothetical protein
AHNIJJPN_00023	CDS	849				hypothetical protein
AHNIJJPN_00024	CDS	141				hypothetical protein
AHNIJJPN_00025	CDS	546				hypothetical protein
AHNIJJPN_00026	CDS	159				hypothetical protein
AHNIJJPN_00027	CDS	366				hypothetical protein
AHNIJJPN_00028	CDS	363				hypothetical protein
AHNIJJPN_00029	CDS	1275				hypothetical protein
AHNIJJPN_00030	CDS	1143				hypothetical protein
AHNIJJPN_00031	CDS	384				hypothetical protein
AHNIJJPN_00032	CDS	567				hypothetical protein
AHNIJJPN_00033	CDS	2253				hypothetical protein
AHNIJJPN_00034	CDS	282				hypothetical protein
AHNIJJPN_00035	CDS	675				hypothetical protein
AHNIJJPN_00036	CDS	303				hypothetical protein
AHNIJJPN_00037	CDS	912				hypothetical protein
AHNIJJPN_00038	CDS	348				hypothetical protein
AHNIJJPN_00039	CDS	234				hypothetical protein
AHNIJJPN_00040	CDS	297				hypothetical protein
AHNIJJPN_00041	CDS	570				hypothetical protein
AHNIJJPN_00042	CDS	249				hypothetical protein
AHNIJJPN_00043	CDS	291				hypothetical protein
AHNIJJPN_00044	CDS	144				hypothetical protein
AHNIJJPN_00045	CDS	165				hypothetical protein
AHNIJJPN_00046	CDS	396				hypothetical protein
AHNIJJPN_00047	CDS	663				hypothetical protein
AHNIJJPN_00048	CDS	255				hypothetical protein
AHNIJJPN_00049	CDS	333				hypothetical protein
AHNIJJPN_00050	CDS	438				hypothetical protein
AHNIJJPN_00051	CDS	402				hypothetical protein
AHNIJJPN_00052	CDS	777				hypothetical protein
AHNIJJPN_00053	CDS	249				hypothetical protein
AHNIJJPN_00054	CDS	2787				hypothetical protein
AHNIJJPN_00055	CDS	228				hypothetical protein
AHNIJJPN_00056	CDS	531				hypothetical protein
AHNIJJPN_00057	CDS	597				hypothetical protein
AHNIJJPN_00058	CDS	159				hypothetical protein
AHNIJJPN_00059	CDS	750	PCNA			putative DNA polymerase sliding clamp
AHNIJJPN_00060	CDS	432				hypothetical protein
AHNIJJPN_00061	CDS	216				hypothetical protein
AHNIJJPN_00062	CDS	495				hypothetical protein
AHNIJJPN_00063	CDS	393				hypothetical protein
AHNIJJPN_00064	CDS	1257				hypothetical protein
AHNIJJPN_00065	CDS	255				hypothetical protein
AHNIJJPN_00066	CDS	228				hypothetical protein
AHNIJJPN_00067	CDS	426				hypothetical protein
AHNIJJPN_00068	CDS	381				hypothetical protein
AHNIJJPN_00069	CDS	609				hypothetical protein
AHNIJJPN_00070	CDS	288				hypothetical protein
AHNIJJPN_00071	CDS	432				hypothetical protein
AHNIJJPN_00072	CDS	99				hypothetical protein
AHNIJJPN_00073	CDS	447				hypothetical protein
AHNIJJPN_00074	CDS	174				hypothetical protein
AHNIJJPN_00075	CDS	417				hypothetical protein
AHNIJJPN_00076	CDS	309				hypothetical protein
AHNIJJPN_00077	CDS	1887				hypothetical protein
AHNIJJPN_00078	CDS	321				hypothetical protein
AHNIJJPN_00079	CDS	1452				hypothetical protein
AHNIJJPN_00080	CDS	576				hypothetical protein
AHNIJJPN_00081	CDS	771				hypothetical protein
AHNIJJPN_00082	CDS	369				hypothetical protein
AHNIJJPN_00083	CDS	360				hypothetical protein
AHNIJJPN_00084	CDS	582				hypothetical protein
AHNIJJPN_00085	CDS	369				hypothetical protein
AHNIJJPN_00086	CDS	258				hypothetical protein
AHNIJJPN_00087	CDS	336				hypothetical protein
AHNIJJPN_00088	CDS	1260				hypothetical protein
AHNIJJPN_00089	CDS	537				hypothetical protein
AHNIJJPN_00090	CDS	210				hypothetical protein
AHNIJJPN_00091	CDS	282				hypothetical protein
