	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_020082.1_NC_020082.1_1	NC_020082.1	NC_020082.1	1	1	498	1	C	K07474	phage terminase small subunit	Terminase small subunit [PF03592.19]					0
NC_020082.1_NC_020082.1_2	NC_020082.1	NC_020082.1	2	485	1873	1	C	K06909	phage terminase large subunit	Phage terminase large subunit [PF04466.16]					0
NC_020082.1_NC_020082.1_3	NC_020082.1	NC_020082.1	3	1870	2085	1	E								0
NC_020082.1_NC_020082.1_4	NC_020082.1	NC_020082.1	4	2130	3503	1	C	K09961	uncharacterized protein	Protein of unknown function (DUF1073) [PF06381.14]					0
NC_020082.1_NC_020082.1_5	NC_020082.1	NC_020082.1	5	3504	4238	-1	E								0
NC_020082.1_NC_020082.1_6	NC_020082.1	NC_020082.1	6	4304	6091	1	D			Phage Mu protein F like protein [PF04233.17]; Intein splicing domain [PF14890.9]					0
NC_020082.1_NC_020082.1_7	NC_020082.1	NC_020082.1	7	6088	6285	-1	E								0
NC_020082.1_NC_020082.1_8	NC_020082.1	NC_020082.1	8	6290	6448	-1	E								0
NC_020082.1_NC_020082.1_9	NC_020082.1	NC_020082.1	9	6685	7035	-1	E								0
NC_020082.1_NC_020082.1_10	NC_020082.1	NC_020082.1	10	7038	7319	-1	E								0
NC_020082.1_NC_020082.1_11	NC_020082.1	NC_020082.1	11	7319	7942	-1	E								0
NC_020082.1_NC_020082.1_12	NC_020082.1	NC_020082.1	12	7989	9212	1	C	K09960	uncharacterized protein	Uncharacterized protein conserved in bacteria (DUF2213) [PF09979.12]					0
NC_020082.1_NC_020082.1_13	NC_020082.1	NC_020082.1	13	9212	9709	1	E								0
NC_020082.1_NC_020082.1_14	NC_020082.1	NC_020082.1	14	9714	10778	1	D			Uncharacterized protein conserved in bacteria (DUF2184) [PF09950.12]					0
NC_020082.1_NC_020082.1_15	NC_020082.1	NC_020082.1	15	11116	11385	1	E								0
NC_020082.1_NC_020082.1_16	NC_020082.1	NC_020082.1	16	11551	11889	1	E								0
NC_020082.1_NC_020082.1_17	NC_020082.1	NC_020082.1	17	11886	12338	1	E								0
NC_020082.1_NC_020082.1_18	NC_020082.1	NC_020082.1	18	12469	12648	-1	E								0
NC_020082.1_NC_020082.1_19	NC_020082.1	NC_020082.1	19	12645	13124	-1	E								0
NC_020082.1_NC_020082.1_20	NC_020082.1	NC_020082.1	20	13197	13619	1	D			Protein of unknown function (DUF4054) [PF13262.9]					0
NC_020082.1_NC_020082.1_21	NC_020082.1	NC_020082.1	21	13918	14511	1	E								0
NC_020082.1_NC_020082.1_22	NC_020082.1	NC_020082.1	22	14513	14872	1	E								0
