	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
MZ334521_MZ334521.1_1	MZ334521	MZ334521.1	1	232	390	-1	E				0
MZ334521_MZ334521.1_2	MZ334521	MZ334521.1	2	754	954	-1	E				0
MZ334521_MZ334521.1_3	MZ334521	MZ334521.1	3	1005	1745	1	E				0
MZ334521_MZ334521.1_4	MZ334521	MZ334521.1	4	1735	2022	1	E				0
MZ334521_MZ334521.1_5	MZ334521	MZ334521.1	5	2131	2571	1	E				0
MZ334521_MZ334521.1_6	MZ334521	MZ334521.1	6	2605	7314	1	D			Concanavalin A-like lectin/glucanases superfamily [PF13385.9]; Pentaxin family [PF00354.20]; Laminin G domain [PF00054.26]; Laminin G domain [PF02210.27]	0
MZ334521_MZ334521.1_7	MZ334521	MZ334521.1	7	7307	7645	1	D			BppU N-terminal domain [PF10651.12]	0
MZ334521_MZ334521.1_8	MZ334521	MZ334521.1	8	7638	7850	1	E				0
MZ334521_MZ334521.1_9	MZ334521	MZ334521.1	9	7860	9560	1	E				0
MZ334521_MZ334521.1_10	MZ334521	MZ334521.1	10	9572	11011	1	E				0
MZ334521_MZ334521.1_11	MZ334521	MZ334521.1	11	11015	11290	1	E				0
MZ334521_MZ334521.1_12	MZ334521	MZ334521.1	12	11292	11930	1	E				0
MZ334521_MZ334521.1_13	MZ334521	MZ334521.1	13	11952	12437	1	E				0
MZ334521_MZ334521.1_14	MZ334521	MZ334521.1	14	12459	12929	1	E				0
MZ334521_MZ334521.1_15	MZ334521	MZ334521.1	15	12967	13947	1	E				0
MZ334521_MZ334521.1_16	MZ334521	MZ334521.1	16	13962	14381	1	E				0
MZ334521_MZ334521.1_17	MZ334521	MZ334521.1	17	14378	14737	1	E				0
MZ334521_MZ334521.1_18	MZ334521	MZ334521.1	18	14744	16489	1	E				0
MZ334521_MZ334521.1_19	MZ334521	MZ334521.1	19	16486	16803	1	E				0
MZ334521_MZ334521.1_20	MZ334521	MZ334521.1	20	16819	17001	1	E				0
MZ334521_MZ334521.1_21	MZ334521	MZ334521.1	21	16998	17510	1	E				0
MZ334521_MZ334521.1_22	MZ334521	MZ334521.1	22	17542	18837	1	E				0
MZ334521_MZ334521.1_23	MZ334521	MZ334521.1	23	18896	19312	1	E				0
MZ334521_MZ334521.1_24	MZ334521	MZ334521.1	24	19356	19832	1	E				0
MZ334521_MZ334521.1_25	MZ334521	MZ334521.1	25	19786	20043	1	E				0
MZ334521_MZ334521.1_26	MZ334521	MZ334521.1	26	20062	22425	1	E				0
MZ334521_MZ334521.1_27	MZ334521	MZ334521.1	27	22497	22874	1	E				0
MZ334521_MZ334521.1_28	MZ334521	MZ334521.1	28	22874	24202	1	E				0
MZ334521_MZ334521.1_29	MZ334521	MZ334521.1	29	24202	24711	1	E				0
MZ334521_MZ334521.1_30	MZ334521	MZ334521.1	30	24877	25197	1	E				0
MZ334521_MZ334521.1_31	MZ334521	MZ334521.1	31	25206	26423	1	D			Baseplate J-like protein [PF04865.17]	0
MZ334521_MZ334521.1_32	MZ334521	MZ334521.1	32	26427	27080	1	E				0
MZ334521_MZ334521.1_33	MZ334521	MZ334521.1	33	27083	28327	1	E				0
MZ334521_MZ334521.1_34	MZ334521	MZ334521.1	34	28327	28965	1	E				0
MZ334521_MZ334521.1_35	MZ334521	MZ334521.1	35	28989	29549	1	E				0
MZ334521_MZ334521.1_36	MZ334521	MZ334521.1	36	29546	29689	1	E				0
MZ334521_MZ334521.1_37	MZ334521	MZ334521.1	37	29935	30978	-1	D			Phage integrase family [PF00589.25]	0
MZ334521_MZ334521.1_38	MZ334521	MZ334521.1	38	31401	32081	-1	C	K03465	thymidylate synthase (FAD) [EC:2.1.1.148]	Thymidylate synthase complementing protein [PF02511.18]	0
MZ334521_MZ334521.1_39	MZ334521	MZ334521.1	39	32098	32244	-1	C	K06938	uncharacterized protein	Protein of unknown function (DUF1289) [PF06945.16]	0
MZ334521_MZ334521.1_40	MZ334521	MZ334521.1	40	32506	32652	-1	E				0
MZ334521_MZ334521.1_41	MZ334521	MZ334521.1	41	32652	35135	-1	D			DNA polymerase family B [PF00136.24]; DNA polymerase family B, exonuclease domain [PF03104.22]	0
MZ334521_MZ334521.1_42	MZ334521	MZ334521.1	42	35151	35558	-1	E				0
MZ334521_MZ334521.1_43	MZ334521	MZ334521.1	43	35620	36591	-1	D			PD-(D/E)XK nuclease superfamily [PF12705.10]	0
MZ334521_MZ334521.1_44	MZ334521	MZ334521.1	44	36591	36746	-1	E				0
MZ334521_MZ334521.1_45	MZ334521	MZ334521.1	45	36775	36978	-1	E				0
MZ334521_MZ334521.1_46	MZ334521	MZ334521.1	46	36978	37136	-1	E				0
MZ334521_MZ334521.1_47	MZ334521	MZ334521.1	47	37138	37287	-1	E				0
MZ334521_MZ334521.1_48	MZ334521	MZ334521.1	48	37287	37673	-1	D			Domain of unknown function (DUF6378) [PF19905.2]	0
MZ334521_MZ334521.1_49	MZ334521	MZ334521.1	49	37696	37884	-1	E				0
MZ334521_MZ334521.1_50	MZ334521	MZ334521.1	50	37881	38207	-1	E				0
MZ334521_MZ334521.1_51	MZ334521	MZ334521.1	51	38310	38648	-1	E				0
MZ334521_MZ334521.1_52	MZ334521	MZ334521.1	52	38648	38935	-1	E				0
MZ334521_MZ334521.1_53	MZ334521	MZ334521.1	53	38932	39225	-1	E				0
MZ334521_MZ334521.1_54	MZ334521	MZ334521.1	54	39253	39720	-1	E				0
MZ334521_MZ334521.1_55	MZ334521	MZ334521.1	55	39884	41098	-1	E				0
MZ334521_MZ334521.1_56	MZ334521	MZ334521.1	56	41193	42410	-1	E				0
MZ334521_MZ334521.1_57	MZ334521	MZ334521.1	57	42403	42588	-1	E				0
MZ334521_MZ334521.1_58	MZ334521	MZ334521.1	58	42588	44093	-1	E				0
MZ334521_MZ334521.1_59	MZ334521	MZ334521.1	59	44228	44542	-1	E				0
MZ334521_MZ334521.1_60	MZ334521	MZ334521.1	60	44623	45609	-1	E				0
MZ334521_MZ334521.1_61	MZ334521	MZ334521.1	61	46297	46794	-1	E				0
MZ334521_MZ334521.1_62	MZ334521	MZ334521.1	62	47060	47566	1	E				0
MZ334521_MZ334521.1_63	MZ334521	MZ334521.1	63	47568	48038	1	D			ERCC4 domain [PF02732.18]	0
MZ334521_MZ334521.1_64	MZ334521	MZ334521.1	64	48035	48223	-1	E				0
MZ334521_MZ334521.1_65	MZ334521	MZ334521.1	65	48216	48482	-1	E				0
MZ334521_MZ334521.1_66	MZ334521	MZ334521.1	66	48515	48700	-1	E				0
MZ334521_MZ334521.1_67	MZ334521	MZ334521.1	67	48736	49965	-1	E				0
MZ334521_MZ334521.1_68	MZ334521	MZ334521.1	68	50052	50219	-1	E				0
MZ334521_MZ334521.1_69	MZ334521	MZ334521.1	69	50219	50407	-1	E				0
MZ334521_MZ334521.1_70	MZ334521	MZ334521.1	70	50407	50721	-1	E				0
MZ334521_MZ334521.1_71	MZ334521	MZ334521.1	71	50718	51035	-1	E				0
MZ334521_MZ334521.1_72	MZ334521	MZ334521.1	72	51035	51382	-1	E				0
MZ334521_MZ334521.1_73	MZ334521	MZ334521.1	73	51438	51752	-1	E				0
MZ334521_MZ334521.1_74	MZ334521	MZ334521.1	74	51903	52304	-1	E				0
MZ334521_MZ334521.1_75	MZ334521	MZ334521.1	75	52376	52678	-1	E				0
MZ334521_MZ334521.1_76	MZ334521	MZ334521.1	76	52635	52841	-1	E				0
MZ334521_MZ334521.1_77	MZ334521	MZ334521.1	77	52841	53161	-1	E				0
MZ334521_MZ334521.1_78	MZ334521	MZ334521.1	78	53228	54217	-1	E				0
MZ334521_MZ334521.1_79	MZ334521	MZ334521.1	79	54224	54382	-1	E				0
MZ334521_MZ334521.1_80	MZ334521	MZ334521.1	80	54488	54859	-1	E				0
MZ334521_MZ334521.1_81	MZ334521	MZ334521.1	81	54929	55126	-1	E				0
MZ334521_MZ334521.1_82	MZ334521	MZ334521.1	82	55117	55362	-1	E				0
MZ334521_MZ334521.1_83	MZ334521	MZ334521.1	83	55364	55726	-1	E				0
MZ334521_MZ334521.1_84	MZ334521	MZ334521.1	84	55726	56535	-1	E				0
MZ334521_MZ334521.1_85	MZ334521	MZ334521.1	85	56555	56764	-1	E				0
MZ334521_MZ334521.1_86	MZ334521	MZ334521.1	86	56766	56933	-1	E				0
MZ334521_MZ334521.1_87	MZ334521	MZ334521.1	87	56934	57560	-1	D			SprT-like family [PF10263.12]	0
MZ334521_MZ334521.1_88	MZ334521	MZ334521.1	88	57562	57720	-1	E				0
MZ334521_MZ334521.1_89	MZ334521	MZ334521.1	89	58015	58248	-1	E				0
MZ334521_MZ334521.1_90	MZ334521	MZ334521.1	90	58257	58508	-1	E				0
MZ334521_MZ334521.1_91	MZ334521	MZ334521.1	91	58505	58771	-1	E				0
MZ334521_MZ334521.1_92	MZ334521	MZ334521.1	92	58850	59056	-1	E				0
MZ334521_MZ334521.1_93	MZ334521	MZ334521.1	93	59056	59268	-1	E				0
MZ334521_MZ334521.1_94	MZ334521	MZ334521.1	94	59270	59539	-1	E				0
MZ334521_MZ334521.1_95	MZ334521	MZ334521.1	95	59577	59720	-1	E				0
MZ334521_MZ334521.1_96	MZ334521	MZ334521.1	96	59820	60482	-1	E				0
