	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
GCA_022706865.1_JAKJBT010000001.1_1	GCA_022706865.1	JAKJBT010000001.1	1	204	572	-1	E															0
GCA_022706865.1_JAKJBT010000001.1_2	GCA_022706865.1	JAKJBT010000001.1	2	682	1629	-1	D										Phage integrase family [PF00589.25]; Phage integrase, N-terminal SAM-like domain [PF13495.9]; Phage integrase SAM-like domain [PF13102.9]					0
GCA_022706865.1_JAKJBT010000001.1_3	GCA_022706865.1	JAKJBT010000001.1	3	1796	2026	-1	E															0
GCA_022706865.1_JAKJBT010000001.1_4	GCA_022706865.1	JAKJBT010000001.1	4	1999	3597	-1	C	K02035	peptide/nickel transport system substrate-binding protein								Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.25]					0
GCA_022706865.1_JAKJBT010000001.1_5	GCA_022706865.1	JAKJBT010000001.1	5	3653	4210	-1	C	K08309	soluble lytic murein transglycosylase [EC:4.2.2.-]								Transglycosylase SLT domain [PF01464.23]	GH23	GH23 lysozyme type G (EC 3.2.1.17); peptidoglycan lyase (EC 4.2.2.n1) also known in the literature as peptidoglycan lytic transglycosylase; chitinase (EC 3.2.1.14)	3.2.1.17,3.2.1.17_or_4.2.2.n1,4.2.2.n1	GH23.hmm	0
GCA_022706865.1_JAKJBT010000001.1_6	GCA_022706865.1	JAKJBT010000001.1	6	4214	4810	-1	C	K00859	dephospho-CoA kinase [EC:2.7.1.24]								Dephospho-CoA kinase [PF01121.23]					0
GCA_022706865.1_JAKJBT010000001.1_7	GCA_022706865.1	JAKJBT010000001.1	7	4829	7438	-1	C	K02335	DNA polymerase I [EC:2.7.7.7]								DNA polymerase family A [PF00476.23]; 5'-3' exonuclease, N-terminal resolvase-like domain [PF02739.19]; 5'-3' exonuclease, C-terminal SAM fold [PF01367.23]; 3'-5' exonuclease [PF01612.23]					0
GCA_022706865.1_JAKJBT010000001.1_8	GCA_022706865.1	JAKJBT010000001.1	8	7462	8727	-1	C	K22129	D-threonate/D-erythronate kinase [EC:2.7.1.219 2.7.1.220]								Sugar-binding N-terminal domain [PF07005.14]; Nucleotide-binding C-terminal domain [PF17042.8]					0
GCA_022706865.1_JAKJBT010000001.1_9	GCA_022706865.1	JAKJBT010000001.1	9	8742	9728	-1	C	K22024	4-phospho-D-threonate 3-dehydrogenase / 4-phospho-D-erythronate 3-dehydrogenase [EC:1.1.1.408 1.1.1.409]								Pyridoxal phosphate biosynthetic protein PdxA [PF04166.15]					0
GCA_022706865.1_JAKJBT010000001.1_10	GCA_022706865.1	JAKJBT010000001.1	10	9786	11027	-1	D										Lactate racemase N-terminal domain [PF09861.12]; Domain of unknown function (DUF362) [PF04015.15]					0
GCA_022706865.1_JAKJBT010000001.1_11	GCA_022706865.1	JAKJBT010000001.1	11	11211	12539	-1	D										Domain of unknown function (DUF4349) [PF14257.9]; Putative zinc-finger [PF13490.9]					0
GCA_022706865.1_JAKJBT010000001.1_12	GCA_022706865.1	JAKJBT010000001.1	12	12565	13158	-1	C	K03088	RNA polymerase sigma-70 factor, ECF subfamily								ECF sigma factor [PF07638.14]; Sigma-70 region 2 [PF04542.17]; Sigma-70, region 4 [PF08281.15]; Sigma-70, region 4 [PF04545.19]					0
GCA_022706865.1_JAKJBT010000001.1_13	GCA_022706865.1	JAKJBT010000001.1	13	13415	14797	-1	D			MER0461979	C82A	MER0461979 - subfamily C82A unassigned peptidases (Thermosinus carboxydivorans) [C82.UPA]#C82A#{peptidase unit: 34-152}~source ZP_01666128~	False	0.581	136.0	6.583e-32	L,D-transpeptidase catalytic domain [PF03734.17]					0
GCA_022706865.1_JAKJBT010000001.1_14	GCA_022706865.1	JAKJBT010000001.1	14	15239	16180	-1	C	K07038	inner membrane protein								LexA-binding, inner membrane-associated putative hydrolase [PF04307.17]					0
GCA_022706865.1_JAKJBT010000001.1_15	GCA_022706865.1	JAKJBT010000001.1	15	16602	19898	-1	D										S-layer homology domain [PF00395.23]					0
