locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
MH674343.1_1												Hypothetical
MH674343.1_2												Hypothetical
MH674343.1_3		K19145					KEGG:K19145	104	5.4e-21	65.7		csx16; CRISPR-associated protein Csx16
MH674343.1_4												Hypothetical
MH674343.1_5												Hypothetical
MH674343.1_6												Hypothetical
MH674343.1_7												Hypothetical
MH674343.1_8												Hypothetical
MH674343.1_9												Hypothetical
MH674343.1_10												Hypothetical
MH674343.1_11					phrog_2324	VOG08218	PHROG:phrog_2324	226	3.9e-46	148.1		Erf-like ssDNA annealing protein
MH674343.1_12		K06919	COG3378		phrog_1156		COG:COG3378	682	3.7e-13	38.5		:
MH674343.1_13	K00558	K00558	COG0270		phrog_116	VOG00281	COG:COG0270	378	5.2e-92	299.8		Dcm:
MH674343.1_14		K10848	COG1948		phrog_24545	VOG01108	VOG:VOG01108	219	1.3e-66	216.2		sp|P0CAF6|VF364_ASFK5 ERCC4 domain-containing protein EP364R
MH674343.1_15												Hypothetical
MH674343.1_16		K00571	COG0863		phrog_67	VOG00306	VOG:VOG00306	327	3e-81	265.3		sp|P14243|MTC9_CITFR Type II methyltransferase M.Cfr9I
MH674343.1_17												Hypothetical
MH674343.1_18												Hypothetical
MH674343.1_19												Hypothetical
MH674343.1_20												Hypothetical
MH674343.1_21												Hypothetical
MH674343.1_22						VOG19023	VOG:VOG19023	184	7.2e-12	36.3		REFSEQ hypothetical protein
MH674343.1_23			COG5410		phrog_38	VOG00331	COG:COG5410	487	1.4e-108	354.7		:
MH674343.1_24			COG5518		phrog_12	VOG00344	COG:COG5518	538	8.8e-52	167.1		:
MH674343.1_25			COG2369		phrog_2468	VOG00318	VOG:VOG00318	273	2.1e-71	231.0		sp|P45918|YQBB_BACSU Uncharacterized protein YqbB
MH674343.1_26					phrog_31676	VOG03893, VOG03893	VOG:VOG03893	340	2.3e-60	158.1		sp|P45920|YQBD_BACSU Uncharacterized protein YqbD
MH674343.1_27					phrog_1623	VOG01409	PHROG:phrog_1623	337	2.3e-70	228.3		virion structural protein
MH674343.1_28												Hypothetical
MH674343.1_29					phrog_5	VOG00648	VOG:VOG00648	148	5.1e-20	63.4		REFSEQ hypothetical protein
MH674343.1_30												Hypothetical
MH674343.1_31												Hypothetical
MH674343.1_32												Hypothetical
MH674343.1_33												Hypothetical
MH674343.1_34												Hypothetical
MH674343.1_35			COG4722		phrog_33		PHROG:phrog_33	992	6.1e-27	86.5		distal tail protein Dit
MH674343.1_36					phrog_12329		PHROG:phrog_12329	623	8.9e-10	27.8		virion structural protein
MH674343.1_37			COG1305				COG:COG1305	301	8.8e-25	78.9		YebA:
MH674343.1_38												Hypothetical
MH674343.1_39												Hypothetical
MH674343.1_40						VOG33748	VOG:VOG33748	107	1.7e-08	25.9		REFSEQ hypothetical protein
MH674343.1_41												Hypothetical
MH674343.1_42												Hypothetical
