	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	heme_regulatory_motif_count
GCA_000888415.1_GU722197.1_1	GCA_000888415.1	GU722197.1	1	1	2730	1	E				0
GCA_000888415.1_GU722197.1_2	GCA_000888415.1	GU722197.1	2	3374	4090	1	E				0
GCA_000888415.1_GU722197.1_3	GCA_000888415.1	GU722197.1	3	4108	4527	1	E				0
GCA_000888415.1_GU722197.1_4	GCA_000888415.1	GU722197.1	4	4528	6048	1	D			ATPase family associated with various cellular activities (AAA) [PF00004.32]	0
GCA_000888415.1_GU722197.1_5	GCA_000888415.1	GU722197.1	5	6086	6646	1	E				0
GCA_000888415.1_GU722197.1_6	GCA_000888415.1	GU722197.1	6	6810	7166	1	E				0
GCA_000888415.1_GU722197.1_7	GCA_000888415.1	GU722197.1	7	7354	7674	1	C	K07491	REP-associated tyrosine transposase	Transposase IS200 like [PF01797.19]	0
GCA_000888415.1_GU722197.1_8	GCA_000888415.1	GU722197.1	8	7671	8933	1	C	K07496	putative transposase	Putative transposase DNA-binding domain [PF07282.14]; Probable transposase [PF01385.22]	0
GCA_000888415.1_GU722197.1_9	GCA_000888415.1	GU722197.1	9	9036	9389	-1	E				0
GCA_000888415.1_GU722197.1_10	GCA_000888415.1	GU722197.1	10	9759	15134	-1	D			PA14 domain [PF07691.15]; Concanavalin A-like lectin/glucanases superfamily [PF13385.9]	0
GCA_000888415.1_GU722197.1_11	GCA_000888415.1	GU722197.1	11	15136	15927	-1	E				0
GCA_000888415.1_GU722197.1_12	GCA_000888415.1	GU722197.1	12	16044	16463	-1	E				0
GCA_000888415.1_GU722197.1_13	GCA_000888415.1	GU722197.1	13	16608	17129	-1	E				0
GCA_000888415.1_GU722197.1_14	GCA_000888415.1	GU722197.1	14	17238	17519	1	E				0
