L1	ID	Function	EC	UNIPROT ID
Virus protein with function beneficial for the host	VOG00001	Putative ankyrin repeat protein R863		YR863_MIMIV
Function unknown	VOG00002	Uncharacterized HTH-type transcriptional regulator R559		YR559_MIMIV
Virus protein with function beneficial for the host	VOG00003	Putative ankyrin repeat protein L122		YL122_MIMIV
Function unknown	VOG00004	Putative MSV199 domain-containing protein 388R		388R_IIV6
Virus protein with function beneficial for the host	VOG00005	Putative ankyrin repeat protein L88		YL088_MIMIV
Function unknown	VOG00006	Putative F-box and FNIP repeat-containing protein L414		YL414_MIMIV
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG00007	Genome polyprotein		POLG_PPVNA
Virus replication	VOG00008	Excisionase		VXIS_BPMD2
Function unknown	VOG00009	Uncharacterized HNH endonuclease L247		YL247_MIMIV
Function unknown	VOG00010	2OG-Fe(II) oxygenase		
Function unknown	VOG00011	Protein 2.8		Y28_BPT7
Function unknown	VOG00012	Protein FP25		FP25_NPVAC
Virus protein with function beneficial for the host	VOG00013	Intron-associated endonuclease 2		TEV2_BPT4
Function unknown	VOG00014	Putative MSV199 domain-containing protein 420R		420R_IIV6
Function unknown	VOG00015	Putative Bro-N domain-containing protein 289L		289L_IIV6
Function unknown	VOG00016	hypothetical protein		
Function unknown	VOG00017	Uncharacterized WD repeat-containing protein alr2800		Y2800_NOSS1
Virus protein with function beneficial for the virus	VOG00018	Endonuclease I		ENDO_BPT7
Function unknown	VOG00019	Putative transcription factor D5		D5_BPT5
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00020	Probable spanin, outer lipoprotein subunit		SPAN2_BPP2
Virus protein with function beneficial for the host	VOG00021	Putative endonuclease		ENDO1_BPT5
Virus replication | Virus structure	VOG00022	Movement and silencing protein TGBp1		TGB1_PVSP
Virus protein with function beneficial for the host	VOG00023	Putative serine/threonine-protein kinase L673		YL673_MIMIV
Function unknown	VOG00024	Protein 7.7		Y77_BPT7
Virus protein with function beneficial for the host | Virus replication	VOG00025	Replicase large subunit		RDRP_TOML
Virus protein with function beneficial for the host	VOG00026	Putative endonuclease		ENDO1_BPT5
Virus structure	VOG00027	Tegument protein US22		US22_HCMVM
Function unknown	VOG00028	hypothetical protein		
Function unknown	VOG00029	putative virion structural protein		
Function unknown	VOG00030	hypothetical protein		
Virus protein with function beneficial for the host	VOG00031	PKHD-type hydroxylase SYNPCC7002_A2658		Y2658_SYNP2
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00032	Genome polyprotein		POLG_HE71
Function unknown	VOG00033	virion structural protein		
Virus protein with function beneficial for the virus | Virus structure	VOG00034	Long tail fiber protein Gp37		FIB37_BPAR1
Virus structure	VOG00035	Major capsid protein		MCP_POV01
Virus protein with function beneficial for the host	VOG00036	ATP-dependent DNA helicase uvsW		UVSW_BPT4
Virus protein with function beneficial for the host	VOG00037	Putative serine/threonine-protein kinase L670		YL670_MIMIV
Virus protein with function beneficial for the host	VOG00038	Glutaredoxin		GLRX_BPT4
Function unknown	VOG00039	Uncharacterized 8.6 kDa protein in ral-gp17 intergenic region		Y8K6_BPP22
Function unknown	VOG00040	Uncharacterized protein L796		YL796_MIMIV
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00041	Kelch repeat and BTB domain-containing protein 1		KBTB1_CWPXG
Function unknown	VOG00042	Lar-like restriction alleviation protein		
Function unknown	VOG00043	hypothetical protein		
Function unknown	VOG00044	Putative KilA-N domain-containing protein 315L		315L_IIV6
Function unknown	VOG00045	hypothetical protein		
Function unknown	VOG00046	Uncharacterized protein L12		YL012_MIMIV
Virus protein with function beneficial for the host	VOG00047	Serine/threonine-protein kinase 1		PK1_NPVHZ
Function unknown	VOG00048	Putative protein p41		VP41_BPAPS
Function unknown	VOG00049	hypothetical protein		
Function unknown	VOG00050	hypothetical protein		
Function unknown	VOG00051	HNH endonuclease		
Virus protein with function beneficial for the host | Virus replication	VOG00052	Deoxyuridine 5'-triphosphate nucleotidohydrolase		DUT_MOUSE
Function unknown	VOG00053	Uncharacterized protein near lysin gene (Fragment)		YLYS_BPPHV
Virus protein with function beneficial for the host	VOG00054	Ribonucleoside-diphosphate reductase 1 subunit alpha		RIR1_ECOLI
Function unknown	VOG00055	DNA packaging protein OPG160		PG160_MONPV
Virus protein with function beneficial for the host | Virus replication	VOG00056	Replication-associated protein		REP_TLCVA
Virus protein with function beneficial for the host | Virus structure	VOG00057	Collagen-like protein 2		COLL2_MIMIV
Function unknown	VOG00058	DNA endonuclease V		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00059	Tail tube protein gp19		TUBE_BPT4
Virus protein with function beneficial for the host	VOG00060	Putative ankyrin repeat protein R873		YR873_MIMIV
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00061	Peptidoglycan transglycosylase gp16		EXLYS_BPT7
Function unknown	VOG00062	hypothetical protein		
Function unknown	VOG00063	Uncharacterized protein R865		YR865_MIMIV
Function unknown	VOG00064	Rz-like spanin		
Virus protein with function beneficial for the host | Virus structure	VOG00065	Head completion protein		HCP_BPT5
Virus protein with function beneficial for the host | Virus replication	VOG00066	DNA primase		PRIM_BPT4
Virus protein with function beneficial for the host	VOG00067	DNA endonuclease I-HmuI		HMUI_BPSP1
Function unknown	VOG00068	hypothetical protein		
Function unknown	VOG00069	Uncharacterized protein YbiI		YBII_ECOLI
Virus protein with function beneficial for the host	VOG00070	Ultraviolet-B receptor UVR8		UVR8_ARATH
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00071	Head completion protein gp16		HCP16_BPSPP
Virus protein with function beneficial for the host	VOG00072	Uncharacterized putative helicase R8		YR008_MIMIV
Function unknown	VOG00073	Exodeoxyribonuclease		EXOD_BPT4
Virus replication	VOG00074	Putative RNA-guided DNA endonuclease		YSNA_STRPR
Function unknown	VOG00075	hypothetical protein		
Virus structure	VOG00076	Ig-like virion protein		IGLVP_BPSK9
Virus protein with function beneficial for the host | Virus structure	VOG00077	Tail tip assembly protein K		TIPK_BPN15
Virus protein with function beneficial for the host | Virus structure	VOG00078	Collar protein p132		COLLR_BPT5
Function unknown	VOG00079	endolysin		
