	prodigal_RW1	prodigal_GIC31	prodigal_RW2	prodigal_DJ	prodigal_Rleg
Protein Count (Total)	285	2988	3076	4821	7564
Protein Count (>Min Score)	3	57	59	84	129
% Proteins > Min Score	1.05	1.91	1.92	1.74	1.71
Average Protein Length	337.58	291.73	298.19	320.78	303.03
GC count	225002	1525438	1571596	3523702	4802878
GC %	72.95	52.27	52.05	65.68	60.53
N25	308429	2918587	947149	5365318	4883137
N50	308429	2918587	705844	5365318	4883137
N75	308429	2918587	342451	5365318	1234209
N90	308429	2918587	98909	5365318	630306
Contig Min Length	308429	2918587	274	5365318	415988
Contig Max Length	308429	2918587	947149	5365318	4883137
