GVOG	num_proteins_in_GVOG	Mean_Length	consensus_NCVOG	NCVOG_descs	consensus_NOGs	nog_descs	nog_categories	consensus_pfams	pfam_descs
GVOGm0003	2866	506	NCVOG0022	NCLDV major capsid protein	2SSZG	Large eukaryotic DNA virus major capsid protein	S	PF16903 | PF04451	Nucleoplasmin; Capsid_N; Major capsid protein N-terminus | Hexon; Capsid_NCLDV; Large eukaryotic DNA virus major capsid protein
GVOGm0020	2618	1043.5	NCVOG0032 | NCVOG0027 | NCVOG0031	DEAD/SNF2-like helicase | DEAD-like helicases superfamily | unclassified DEAD/SNF2-like helicases	KOG0389 | KOG0387 | COG1061 | 2STY7 | COG0553 | KOG4439 | KOG0390 | 2SZJE | KOG1001 | KOG1002 | KOG1000	helicase activity | histone H2A-H2B dimer displacement | Type III restriction enzyme res subunit | Type III restriction enzyme, res subunit | Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair | ATP binding | DNA repair and recombination protein | unknown | helicase activity | pyrimidine dimer repair by nucleotide-excision repair | annealing helicase activity	E | KL | S | L	PF00176 | PF00271 | PF04851	P-loop_NTPase; SNF2_N; SNF2 family N-terminal domain | P-loop_NTPase; Helicase_C; Helicase conserved C-terminal domain | P-loop_NTPase; ResIII; Type III restriction enzyme, res subunit
GVOGm0004	1894	156	NCVOG0052	disulfide (thiol) oxidoreductase, Erv1 / Alr family	KOG3355	flavin-linked sulfhydryl oxidase activity	O	PF04777	; Evr1_Alr; Erv1 / Alr family
GVOGm0022	1532	1347	NCVOG0271	DNA-directed RNA polymerase subunit beta	KOG0215 | KOG0214 | arCOG01762 | KOG0216 | KOG1715 | COG0085 | KOG1088	DNA-directed 5'-3' RNA polymerase activity | DNA-directed 5'-3' RNA polymerase activity | DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates | DNA-directed 5'-3' RNA polymerase activity | structural constituent of ribosome | RNA polymerase activity | tRNA methyltransferase 11-2 homolog	J | K	PF04565 | PF04566 | PF04563 | PF04560 | PF00562 | PF04567 | PF04561	; RNA_pol_Rpb2_3; RNA polymerase Rpb2, domain 3 | ; RNA_pol_Rpb2_4; RNA polymerase Rpb2, domain 4 | ; RNA_pol_Rpb2_1; RNA polymerase beta subunit | ; RNA_pol_Rpb2_7; RNA polymerase Rpb2, domain 7 | LEF-8-like; RNA_pol_Rpb2_6; RNA polymerase Rpb2, domain 6 | ; RNA_pol_Rpb2_5; RNA polymerase Rpb2, domain 5 | ; RNA_pol_Rpb2_2; RNA polymerase Rpb2, domain 2
GVOGm0099	1294	288	NCVOG2167	uncharacterized protein				PF13385	Concanavalin; Laminin_G_3; Concanavalin A-like lectin/glucanases superfamily
GVOGm0239	1277	269	NCVOG0241	Proliferating cell nuclear antigen	arCOG00488 | KOG1636	Sliding clamp subunit that acts as a moving platform for DNA processing. Responsible for tethering the catalytic subunit of DNA polymerase and other proteins to DNA during high-speed replication | DNA polymerase processivity factor activity	L	PF00705 | PF02747	DNA_clamp; PCNA_N; Proliferating cell nuclear antigen, N-terminal domain | DNA_clamp; PCNA_C; Proliferating cell nuclear antigen, C-terminal domain
GVOGm0054	1240	1288	NCVOG0038	DNA polymerase elongation subunit family B	arCOG15272 | arCOG00328 | KOG0969 | KOG4198 | COG0417 | KOG0970 | KOG0968	SMART DNA-directed DNA polymerase B | DNA polymerase | DNA replication proofreading | chloroplast mRNA modification | DNA replication proofreading | leading strand elongation | DNA polymerase activity	ADK | L	PF03104 | PF00136	RNase_H; DNA_pol_B_exo1; DNA polymerase family B, exonuclease domain | DNA_pol_B-like; DNA_pol_B; DNA polymerase family B
GVOGm0047	1201	158	NCVOG0317	Thioredoxin	KOG4277 | arCOG01972 | KOG0912 | KOG0190 | KOG0191	peptidyl-cysteine oxidation | Thioredoxin | cell redox homeostasis | intramolecular oxidoreductase activity, transposing S-S bonds | cell redox homeostasis	CO | O	PF00085	Thioredoxin; Thioredoxin; Thioredoxin
GVOGm0760	1130	280	NCVOG0249	packaging ATPase	2SZS6 | 2SEJ0	Poxvirus A32 protein | unknown	S	no_annot	no_annote
GVOGm0013	1098	490	NCVOG0032 | NCVOG0076 | NCVOG5431	DEAD/SNF2-like helicase | DNA or RNA helicases of superfamily II | superfamily II helicase	arCOG00876 | COG1061 | 2QT4U | COG4096 | arCOG00877 | KOG1123 | COG3886 | COG4889 | COG0537 | KOG1001 | arCOG00874 | COG4951 | COG0553 | arCOG07871 | arCOG00881	PFAM helicase domain protein | Type III restriction enzyme res subunit | DEAD DEAH box helicase | Type I site-specific restriction-modification system, R (Restriction) subunit and related | DEAD DEAH box helicase domain protein | ATP-dependent DNA helicase activity | PLD-like domain | helicase | adenosine 5'-monophosphoramidase activity | helicase activity | COG1061 DNA or RNA helicases of superfamily II | DNA primase small subunit | Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair | COG1061 DNA or RNA helicases of superfamily II | PLD-like domain	FG | KL | L	PF04851 | PF00270	P-loop_NTPase; ResIII; Type III restriction enzyme, res subunit | P-loop_NTPase; DEAD; DEAD/DEAH box helicase
